[1740779291.3372939]	Q_Header<(2621443, 10554, 257, 173, 250, 8, 58, 0, 65)>	Q_Data<(0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 20, 46, 74, 124, 253, 253, 80, 182, 214, 177, 253, 253, 253, 238, 59, 253, 253, 229, 108, 114, 101, 180, 181, 147, 149, 253, 253, 153, 228, 253, 253, 167, 65, 40, 164, 108, 2, 17, 155, 136, 168, 136, 31, 0, 0, 0, 48, 112, 145, 104, 21, 26, 95, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6709131813062126, y=0.7356729052296016, z=-0.05810674568809265, w=-0.07269446860768733)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=0.015555555555555555, z=0.14333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.06, z=-0.03)>	COMP<180>
[1740779291.3470626]	Q_Header<(2621443, 10555, 257, 173, 250, 8, 58, 1, 60)>	Q_Data<(0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 44, 46, 23, 51, 146, 253, 253, 170, 220, 188, 166, 253, 253, 253, 243, 78, 253, 253, 214, 135, 134, 88, 70, 132, 253, 200, 253, 253, 114, 97, 253, 209, 85, 77, 149, 141, 79, 0, 0, 68, 68, 12, 18, 0, 0, 0, 0, 0, 42, 109, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6730290793791804, y=0.7337585555723685, z=-0.057921882318930105, w=-0.07263123283406409)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.01888888888888889, z=0.14555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.21, z=-0.04)>	COMP<180>
[1740779291.3570118]	Q_Header<(2621443, 10556, 257, 173, 250, 8, 58, 2, 60)>	Q_Data<(0, 0, 25, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 25, 51, 77, 120, 101, 253, 251, 253, 253, 212, 176, 253, 253, 253, 191, 119, 253, 253, 108, 128, 109, 74, 77, 163, 253, 253, 116, 109, 80, 76, 105, 66, 0, 75, 146, 95, 85, 110, 42, 16, 75, 146, 121, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6730290793791804, y=0.7337585555723685, z=-0.057921882318930105, w=-0.07263123283406409)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.01888888888888889, z=0.14555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.21, z=-0.04)>	COMP<180>
[1740779291.3686383]	Q_Header<(2621443, 10557, 257, 173, 250, 8, 58, 3, 55)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 54, 191, 253, 192, 147, 200, 240, 253, 204, 138, 253, 253, 238, 134, 114, 253, 253, 138, 72, 84, 34, 47, 103, 209, 253, 165, 78, 93, 81, 79, 49, 0, 34, 97, 0, 176, 209, 149, 138, 172, 210, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6730290793791804, y=0.7337585555723685, z=-0.057921882318930105, w=-0.07263123283406409)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.01888888888888889, z=0.14555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.21, z=-0.04)>	COMP<180>
[1740779291.3770864]	Q_Header<(2621443, 10558, 257, 173, 250, 8, 58, 4, 56)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 69, 253, 253, 253, 130, 253, 180, 172, 127, 223, 253, 253, 176, 119, 67, 186, 215, 139, 73, 93, 37, 0, 74, 168, 171, 153, 135, 57, 91, 72, 8, 24, 0, 31, 56, 185, 222, 162, 197, 224, 229, 197, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6746285159499976, y=0.7323073314365396, z=-0.05767881548654192, w=-0.07263258246453426)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=0.027777777777777776, z=0.14666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=0.1, z=0.01)>	COMP<181>
[1740779291.387047]	Q_Header<(2621443, 10559, 257, 173, 250, 8, 58, 5, 54)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 44, 73, 253, 253, 253, 209, 218, 231, 138, 96, 253, 253, 192, 128, 81, 0, 79, 117, 101, 111, 106, 66, 30, 110, 238, 234, 142, 140, 76, 101, 68, 0, 0, 0, 0, 60, 133, 156, 96, 205, 212, 151, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6746285159499976, y=0.7323073314365396, z=-0.05767881548654192, w=-0.07263258246453426)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=0.027777777777777776, z=0.14666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=0.1, z=0.01)>	COMP<181>
[1740779291.3970222]	Q_Header<(2621443, 10560, 257, 173, 250, 8, 58, 6, 54)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 78, 148, 253, 253, 253, 253, 182, 173, 192, 247, 250, 242, 75, 85, 0, 21, 65, 73, 42, 98, 59, 114, 94, 130, 253, 253, 108, 54, 83, 81, 40, 22, 41, 0, 0, 62, 147, 231, 188, 154, 125, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6746285159499976, y=0.7323073314365396, z=-0.05767881548654192, w=-0.07263258246453426)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=0.027777777777777776, z=0.14666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=0.1, z=0.01)>	COMP<181>
[1740779291.4072826]	Q_Header<(2621443, 10561, 257, 173, 250, 8, 58, 7, 52)>	Q_Data<(0, 0, 62, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 120, 253, 253, 253, 253, 253, 169, 86, 253, 253, 253, 166, 85, 68, 19, 0, 47, 55, 0, 84, 88, 159, 183, 124, 232, 240, 40, 35, 72, 29, 15, 0, 0, 0, 39, 73, 135, 220, 196, 48, 28, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6761862814841318, y=0.7308719849059011, z=-0.05749322837422621, w=-0.07275151615931809)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.027777777777777776, z=0.14333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.03, z=0.06)>	COMP<182>
[1740779291.4169636]	Q_Header<(2621443, 10562, 257, 173, 250, 8, 58, 8, 52)>	Q_Data<(0, 0, 64, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 167, 253, 253, 194, 253, 253, 136, 108, 253, 253, 253, 133, 85, 68, 10, 27, 29, 19, 10, 98, 188, 253, 253, 138, 158, 160, 0, 73, 37, 0, 0, 26, 28, 51, 41, 42, 86, 141, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6761862814841318, y=0.7308719849059011, z=-0.05749322837422621, w=-0.07275151615931809)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.027777777777777776, z=0.14333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.03, z=0.06)>	COMP<182>
[1740779291.426937]	Q_Header<(2621443, 10563, 257, 173, 250, 8, 58, 9, 51)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 90, 235, 253, 253, 253, 253, 188, 90, 91, 247, 253, 253, 133, 72, 50, 16, 10, 5, 0, 21, 106, 247, 253, 253, 166, 105, 97, 73, 118, 84, 54, 0, 132, 136, 37, 47, 0, 21, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6761862814841318, y=0.7308719849059011, z=-0.05749322837422621, w=-0.07275151615931809)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.027777777777777776, z=0.14333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.03, z=0.06)>	COMP<182>
[1740779291.4370573]	Q_Header<(2621443, 10564, 257, 173, 250, 8, 58, 10, 44)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 145, 253, 253, 253, 253, 253, 81, 42, 65, 177, 201, 186, 113, 36, 49, 24, 0, 18, 0, 0, 97, 241, 253, 253, 131, 107, 71, 157, 209, 90, 114, 120, 133, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6761862814841318, y=0.7308719849059011, z=-0.05749322837422621, w=-0.07275151615931809)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.027777777777777776, z=0.14333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.03, z=0.06)>	COMP<182>
