[1740779298.7711885]	Q_Header<(2621443, 11304, 257, 173, 250, 8, 58, 0, 44)>	Q_Data<(0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 225, 206, 253, 253, 253, 253, 253, 253, 200, 35, 253, 253, 253, 121, 129, 7, 40, 8, 10, 16, 56, 121, 143, 126, 106, 0, 20, 100, 193, 133, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8442492937973982, y=0.5268623412419854, z=-0.039001973592867084, w=-0.09021113766863466)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=-0.015555555555555555, z=-0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.04, z=0.06)>	COMP<109>
[1740779298.7829154]	Q_Header<(2621443, 11305, 257, 173, 250, 8, 58, 1, 38)>	Q_Data<(0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 187, 241, 253, 253, 253, 253, 253, 253, 188, 32, 207, 251, 164, 146, 85, 40, 52, 19, 0, 30, 97, 181, 186, 98, 17, 11, 7, 93, 152, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8436811593455568, y=0.5277661133517347, z=-0.038940069425049934, w=-0.09027016093988847)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.01, z=-0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.04, z=0.01)>	COMP<114>
[1740779298.7972364]	Q_Header<(2621443, 11306, 257, 173, 250, 8, 58, 2, 43)>	Q_Data<(0, 0, 10, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 204, 253, 253, 253, 253, 253, 253, 209, 143, 18, 117, 133, 253, 253, 108, 82, 61, 17, 32, 48, 109, 196, 222, 174, 51, 0, 32, 26, 78, 48, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8436811593455568, y=0.5277661133517347, z=-0.038940069425049934, w=-0.09027016093988847)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.01, z=-0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.04, z=0.01)>	COMP<114>
[1740779298.8070822]	Q_Header<(2621443, 11307, 257, 173, 250, 8, 58, 3, 47)>	Q_Data<(0, 0, 52, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 211, 253, 229, 253, 253, 209, 105, 133, 106, 45, 47, 238, 253, 253, 156, 108, 72, 52, 81, 90, 151, 253, 243, 253, 133, 0, 48, 0, 29, 0, 0, 0, 0, 0, 0, 0, 78, 142, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8436811593455568, y=0.5277661133517347, z=-0.038940069425049934, w=-0.09027016093988847)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.01, z=-0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.04, z=0.01)>	COMP<114>
[1740779298.817207]	Q_Header<(2621443, 11308, 257, 173, 250, 8, 58, 4, 44)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 253, 119, 253, 253, 199, 229, 253, 142, 73, 13, 253, 253, 253, 145, 103, 69, 75, 106, 115, 206, 253, 231, 253, 185, 51, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 197, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8429569229402045, y=0.528930902483514, z=-0.0388183768727804, w=-0.09027103678434309)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.0011111111111111111, z=-0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.03, z=0.0)>	COMP<114>
[1740779298.8267918]	Q_Header<(2621443, 11309, 257, 173, 250, 8, 58, 5, 49)>	Q_Data<(0, 0, 60, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 199, 203, 253, 253, 225, 253, 253, 176, 81, 0, 217, 253, 253, 131, 86, 39, 83, 103, 124, 185, 253, 253, 245, 206, 52, 39, 0, 43, 0, 0, 4, 0, 0, 0, 0, 110, 203, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8429569229402045, y=0.528930902483514, z=-0.0388183768727804, w=-0.09027103678434309)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.0011111111111111111, z=-0.07222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.03, z=0.0)>	COMP<114>
[1740779298.8404856]	Q_Header<(2621443, 11310, 257, 173, 250, 8, 58, 6, 54)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 204, 253, 253, 253, 253, 253, 253, 157, 61, 53, 137, 253, 235, 57, 55, 31, 71, 84, 117, 164, 199, 211, 141, 177, 39, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 91, 157, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 31, 34, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8423886097401168, y=0.5298344820427441, z=-0.038695433891844225, w=-0.09033003495257012)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.0, z=-0.07111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=-0.08)>	COMP<112>
[1740779298.8475842]	Q_Header<(2621443, 11311, 257, 173, 250, 8, 58, 7, 55)>	Q_Data<(0, 0, 61, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 249, 253, 253, 253, 247, 204, 163, 141, 70, 91, 253, 253, 232, 173, 89, 69, 49, 67, 103, 232, 253, 253, 253, 124, 0, 61, 51, 0, 0, 0, 0, 0, 0, 0, 38, 82, 69, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 32, 4, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8423886097401168, y=0.5298344820427441, z=-0.038695433891844225, w=-0.09033003495257012)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.0, z=-0.07111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=-0.08)>	COMP<112>
[1740779298.857759]	Q_Header<(2621443, 11312, 257, 173, 250, 8, 58, 8, 51)>	Q_Data<(0, 0, 62, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 241, 253, 253, 253, 202, 115, 201, 150, 63, 144, 253, 253, 253, 253, 164, 99, 72, 57, 91, 202, 253, 253, 253, 188, 36, 88, 89, 0, 48, 0, 0, 0, 0, 0, 41, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8423886097401168, y=0.5298344820427441, z=-0.038695433891844225, w=-0.09033003495257012)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.0, z=-0.07111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=-0.08)>	COMP<112>
[1740779298.8675349]	Q_Header<(2621443, 11313, 257, 173, 250, 8, 58, 9, 55)>	Q_Data<(0, 0, 64, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 224, 253, 245, 253, 191, 161, 190, 118, 41, 174, 253, 253, 253, 253, 204, 120, 112, 87, 35, 99, 253, 253, 253, 194, 66, 100, 98, 46, 47, 0, 0, 0, 0, 0, 0, 63, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 22, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8423886097401168, y=0.5298344820427441, z=-0.038695433891844225, w=-0.09033003495257012)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.0, z=-0.07111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=-0.08)>	COMP<112>
[1740779298.8788106]	Q_Header<(2621443, 11314, 257, 173, 250, 8, 58, 10, 43)>	Q_Data<(0, 0, 63, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 229, 253, 253, 253, 253, 116, 137, 91, 45, 173, 253, 253, 244, 253, 202, 125, 146, 130, 43, 122, 104, 253, 253, 148, 33, 85, 66, 47, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8418446319473463, y=0.5306923131140561, z=-0.03863464453147757, w=-0.09039164068107154)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.0011111111111111111, z=-0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.02, z=-0.05)>	COMP<113>
