[1740779303.7372253]	Q_Header<(2621443, 11804, 257, 173, 250, 8, 58, 0, 43)>	Q_Data<(0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 253, 253, 253, 253, 253, 191, 178, 235, 117, 56, 163, 253, 253, 126, 176, 85, 74, 77, 84, 159, 253, 253, 253, 149, 0, 0, 0, 21, 39, 0, 0, 0, 0, 0, 0, 12, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834088108176769, y=0.45800053311979044, z=-0.03424017844885427, w=-0.0930160997434116)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=-0.011111111111111112, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=0.06, z=-0.08)>	COMP<103>
[1740779303.7470183]	Q_Header<(2621443, 11805, 257, 173, 250, 8, 58, 1, 40)>	Q_Data<(0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 253, 253, 253, 253, 253, 207, 181, 134, 84, 20, 152, 253, 253, 108, 173, 112, 97, 102, 91, 172, 244, 253, 253, 53, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 126, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834132814708812, y=0.4580028509159522, z=-0.03442345521276613, w=-0.09289450147842208)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.013333333333333334, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.07, z=-0.05)>	COMP<103>
[1740779303.759884]	Q_Header<(2621443, 11806, 257, 173, 250, 8, 58, 2, 45)>	Q_Data<(0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 253, 253, 253, 253, 253, 245, 253, 213, 56, 0, 124, 237, 232, 103, 135, 103, 94, 95, 72, 128, 253, 253, 253, 175, 155, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 168, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834132814708812, y=0.4580028509159522, z=-0.03442345521276613, w=-0.09289450147842208)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.013333333333333334, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.07, z=-0.05)>	COMP<103>
[1740779303.768523]	Q_Header<(2621443, 11807, 257, 173, 250, 8, 58, 3, 50)>	Q_Data<(0, 0, 46, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 192, 253, 253, 253, 253, 210, 224, 170, 71, 0, 105, 189, 169, 104, 93, 84, 76, 69, 84, 191, 253, 253, 253, 242, 148, 39, 0, 0, 0, 0, 0, 0, 0, 8, 26, 87, 128, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834132814708812, y=0.4580028509159522, z=-0.03442345521276613, w=-0.09289450147842208)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.013333333333333334, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.07, z=-0.05)>	COMP<103>
[1740779303.772973]	Q_Header<(2621443, 11808, 257, 173, 250, 8, 58, 4, 53)>	Q_Data<(0, 0, 58, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 213, 253, 253, 253, 253, 151, 237, 160, 82, 63, 163, 253, 253, 146, 148, 77, 85, 63, 97, 253, 253, 253, 253, 248, 108, 0, 13, 22, 0, 0, 0, 0, 0, 0, 57, 91, 78, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834132814708812, y=0.4580028509159522, z=-0.03442345521276613, w=-0.09289450147842208)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.013333333333333334, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.07, z=-0.05)>	COMP<103>
[1740779303.7834713]	Q_Header<(2621443, 11809, 257, 173, 250, 8, 58, 5, 53)>	Q_Data<(0, 0, 59, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 217, 253, 253, 253, 253, 103, 253, 213, 96, 89, 253, 253, 253, 234, 253, 91, 132, 112, 70, 253, 253, 253, 253, 202, 38, 0, 69, 56, 0, 0, 0, 0, 0, 0, 66, 105, 85, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834158418019202, y=0.45800417831156626, z=-0.03466769366750661, w=-0.09277270136375008)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.017777777777777778, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=0.09, z=-0.05)>	COMP<103>
[1740779303.7993655]	Q_Header<(2621443, 11810, 257, 173, 250, 8, 58, 6, 53)>	Q_Data<(0, 0, 59, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 242, 253, 253, 253, 253, 184, 161, 182, 73, 94, 253, 253, 253, 253, 253, 115, 173, 166, 47, 185, 253, 219, 253, 107, 0, 65, 111, 77, 0, 0, 0, 0, 0, 0, 33, 85, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834158418019202, y=0.45800417831156626, z=-0.03466769366750661, w=-0.09277270136375008)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.017777777777777778, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=0.09, z=-0.05)>	COMP<103>
[1740779303.815514]	Q_Header<(2621443, 11811, 257, 173, 250, 8, 58, 7, 45)>	Q_Data<(0, 0, 60, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 253, 172, 253, 253, 253, 141, 123, 62, 73, 253, 253, 253, 253, 253, 93, 183, 188, 87, 101, 41, 241, 165, 23, 40, 69, 120, 73, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834036244842798, y=0.4580588781093354, z=-0.03491134953744701, w=-0.09252728303980712)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.017777777777777778, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=0.09, z=0.02)>	COMP<101>
[1740779303.8241222]	Q_Header<(2621443, 11812, 257, 173, 250, 8, 58, 8, 38)>	Q_Data<(0, 0, 61, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 236, 253, 253, 253, 253, 235, 110, 57, 4, 222, 253, 253, 226, 253, 42, 149, 169, 76, 80, 126, 145, 74, 41, 36, 61, 105, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834036244842798, y=0.4580588781093354, z=-0.03491134953744701, w=-0.09252728303980712)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.017777777777777778, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=0.09, z=0.02)>	COMP<101>
[1740779303.8266885]	Q_Header<(2621443, 11813, 257, 173, 250, 8, 58, 9, 38)>	Q_Data<(0, 0, 63, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 163, 135, 253, 253, 253, 243, 94, 17, 80, 204, 253, 253, 139, 156, 54, 95, 123, 47, 20, 70, 38, 104, 0, 0, 34, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834036244842798, y=0.4580588781093354, z=-0.03491134953744701, w=-0.09252728303980712)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.017777777777777778, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=0.09, z=0.02)>	COMP<101>
[1740779303.8440611]	Q_Header<(2621443, 11814, 257, 173, 250, 8, 58, 10, 34)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 55, 253, 253, 253, 253, 253, 93, 61, 105, 224, 253, 191, 71, 43, 53, 68, 68, 21, 19, 0, 105, 140, 29, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.8834247570614739, y=0.4580698356878791, z=-0.03503425525447603, w=-0.09222432001657366)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.016666666666666666, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=0.08, z=0.03)>	COMP<111>
