[1740779326.0985575]	Q_Header<(2621443, 14054, 257, 173, 250, 8, 58, 0, 47)>	Q_Data<(0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 61, 52, 26, 0, 0, 0, 0, 0, 25, 0, 16, 0, 10, 116, 189, 221, 253, 253, 253, 253, 253, 253, 253, 167, 159, 0, 31, 26, 0, 0, 27, 0, 30, 0, 0, 33, 0, 0, 0, 0, 0, 29, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.981696312047039, y=-0.16491814443864086, z=0.031311253921918115, w=-0.08996644889065752)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=-0.005555555555555556, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.1, z=0.01)>	COMP<30>
[1740779326.1143246]	Q_Header<(2621443, 14055, 257, 173, 250, 8, 58, 1, 47)>	Q_Data<(0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 49, 0, 17, 0, 0, 0, 10, 21, 10, 22, 22, 0, 67, 169, 253, 253, 253, 253, 253, 253, 241, 253, 157, 150, 53, 21, 37, 0, 8, 23, 0, 0, 0, 0, 0, 0, 0, 28, 0, 32, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9816871601450049, y=-0.16491660698282787, z=0.03143303204891056, w=-0.09002664518862735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0022222222222222222, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.09, z=-0.01)>	COMP<29>
[1740779326.1172]	Q_Header<(2621443, 14056, 257, 173, 250, 8, 58, 2, 41)>	Q_Data<(0, 0, 32, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 40, 26, 0, 4, 0, 0, 0, 4, 22, 0, 18, 27, 23, 20, 153, 253, 253, 253, 253, 253, 253, 226, 253, 153, 122, 46, 41, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9816871601450049, y=-0.16491660698282787, z=0.03143303204891056, w=-0.09002664518862735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0022222222222222222, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.09, z=-0.01)>	COMP<29>
[1740779326.1271908]	Q_Header<(2621443, 14057, 257, 173, 250, 8, 58, 3, 38)>	Q_Data<(0, 0, 58, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33, 35, 23, 3, 13, 0, 0, 0, 0, 0, 0, 0, 9, 16, 0, 112, 253, 253, 253, 253, 253, 253, 188, 242, 144, 82, 38, 40, 14, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9816871601450049, y=-0.16491660698282787, z=0.03143303204891056, w=-0.09002664518862735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0022222222222222222, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.09, z=-0.01)>	COMP<29>
[1740779326.1374078]	Q_Header<(2621443, 14058, 257, 173, 250, 8, 58, 4, 34)>	Q_Data<(0, 0, 57, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 43, 29, 0, 0, 0, 13, 0, 0, 0, 0, 0, 31, 0, 0, 63, 221, 253, 253, 253, 253, 253, 116, 183, 105, 47, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9816871601450049, y=-0.16491660698282787, z=0.03143303204891056, w=-0.09002664518862735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0022222222222222222, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.09, z=-0.01)>	COMP<29>
[1740779326.1471744]	Q_Header<(2621443, 14059, 257, 173, 250, 8, 58, 5, 33)>	Q_Data<(0, 0, 57, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 38, 27, 0, 19, 0, 0, 0, 0, 0, 0, 6, 27, 0, 0, 23, 163, 253, 253, 253, 253, 212, 84, 91, 62, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.981677990214172, y=-0.1649150664983022, z=0.031554807320363525, w=-0.09008683869411327)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0077777777777777776, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.09, z=-0.09)>	COMP<29>
[1740779326.1571593]	Q_Header<(2621443, 14060, 257, 173, 250, 8, 58, 6, 30)>	Q_Data<(0, 0, 58, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 26, 30, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 104, 253, 253, 253, 160, 225, 183, 81, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.981677990214172, y=-0.1649150664983022, z=0.031554807320363525, w=-0.09008683869411327)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0077777777777777776, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.09, z=-0.09)>	COMP<29>
[1740779326.1671624]	Q_Header<(2621443, 14061, 257, 173, 250, 8, 58, 7, 35)>	Q_Data<(0, 0, 59, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 27, 27, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 50, 157, 253, 253, 168, 253, 253, 166, 79, 0, 11, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.981677990214172, y=-0.1649150664983022, z=0.031554807320363525, w=-0.09008683869411327)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0077777777777777776, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.09, z=-0.09)>	COMP<29>
[1740779326.1796644]	Q_Header<(2621443, 14062, 257, 173, 250, 8, 58, 8, 34)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73, 148, 239, 210, 253, 253, 221, 148, 44, 28, 0, 38, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9816742016358114, y=-0.1649144300435192, z=0.031676753957285884, w=-0.09008649102303269)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.006666666666666667, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.08, z=0.0)>	COMP<24>
[1740779326.1873071]	Q_Header<(2621443, 14063, 257, 173, 250, 8, 58, 9, 39)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 33, 0, 11, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 159, 192, 253, 253, 231, 217, 126, 0, 93, 115, 38, 29, 0, 0, 60, 62, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9816742016358114, y=-0.1649144300435192, z=0.031676753957285884, w=-0.09008649102303269)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.006666666666666667, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.08, z=0.0)>	COMP<24>
[1740779326.1972275]	Q_Header<(2621443, 14064, 257, 173, 250, 8, 58, 10, 35)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 27, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 95, 149, 205, 210, 203, 253, 172, 127, 177, 239, 79, 28, 21, 0, 103, 111, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9816742016358114, y=-0.1649144300435192, z=0.031676753957285884, w=-0.09008649102303269)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.006666666666666667, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.08, z=0.0)>	COMP<24>
