[1740779350.968431]	Q_Header<(2621443, 16554, 257, 173, 250, 8, 58, 0, 31)>	Q_Data<(0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 26, 119, 213, 202, 253, 253, 253, 253, 253, 253, 253, 205, 50, 17, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9244659325429374, y=-0.3694934149082289, z=0.04125826700990465, w=-0.08446958807944975)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=-0.01, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=0.0, z=-0.05)>	COMP<285>
[1740779350.9786184]	Q_Header<(2621443, 16555, 257, 173, 250, 8, 58, 1, 25)>	Q_Data<(0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 101, 78, 89, 197, 253, 219, 253, 253, 253, 253, 253, 253, 253, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245009547703057, y=-0.3694463774493075, z=0.04113775952434053, w=-0.08435071760035402)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.01, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=0.03, z=-0.04)>	COMP<285>
[1740779350.9872642]	Q_Header<(2621443, 16556, 257, 173, 250, 8, 58, 2, 25)>	Q_Data<(0, 0, 7, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 26, 96, 201, 204, 192, 253, 253, 226, 253, 253, 253, 253, 253, 253, 253, 191, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245009547703057, y=-0.3694463774493075, z=0.04113775952434053, w=-0.08435071760035402)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.01, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=0.03, z=-0.04)>	COMP<285>
[1740779350.9973166]	Q_Header<(2621443, 16557, 257, 173, 250, 8, 58, 3, 25)>	Q_Data<(0, 0, 52, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 19, 133, 253, 253, 244, 253, 253, 253, 253, 253, 253, 178, 204, 232, 253, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245009547703057, y=-0.3694463774493075, z=0.04113775952434053, w=-0.08435071760035402)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.01, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=0.03, z=-0.04)>	COMP<285>
[1740779351.0073152]	Q_Header<(2621443, 16558, 257, 173, 250, 8, 58, 4, 39)>	Q_Data<(0, 0, 58, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 53, 68, 94, 96, 207, 253, 253, 172, 253, 248, 253, 253, 253, 253, 219, 253, 125, 218, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245009547703057, y=-0.3694463774493075, z=0.04113775952434053, w=-0.08435071760035402)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.01, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=0.03, z=-0.04)>	COMP<285>
[1740779351.0173612]	Q_Header<(2621443, 16559, 257, 173, 250, 8, 58, 5, 26)>	Q_Data<(0, 0, 58, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 146, 168, 148, 253, 253, 253, 253, 239, 118, 253, 253, 253, 253, 253, 253, 213, 134, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245128955063106, y=-0.3694511491714331, z=0.041199326894220616, w=-0.08416869894389663)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.0077777777777777776, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=0.01, z=-0.09)>	COMP<287>
[1740779351.0273142]	Q_Header<(2621443, 16560, 257, 173, 250, 8, 58, 6, 30)>	Q_Data<(0, 0, 58, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 109, 215, 253, 217, 253, 253, 253, 253, 213, 253, 253, 253, 229, 253, 253, 253, 205, 99, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245128955063106, y=-0.3694511491714331, z=0.041199326894220616, w=-0.08416869894389663)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.0077777777777777776, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=0.01, z=-0.09)>	COMP<287>
[1740779351.0373137]	Q_Header<(2621443, 16561, 257, 173, 250, 8, 58, 7, 29)>	Q_Data<(0, 0, 59, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 26, 172, 210, 198, 253, 253, 253, 253, 253, 253, 253, 253, 253, 95, 167, 253, 253, 148, 114, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245128955063106, y=-0.3694511491714331, z=0.041199326894220616, w=-0.08416869894389663)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.0077777777777777776, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=0.01, z=-0.09)>	COMP<287>
[1740779351.0474195]	Q_Header<(2621443, 16562, 257, 173, 250, 8, 58, 8, 32)>	Q_Data<(0, 0, 60, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 73, 223, 253, 205, 253, 253, 253, 253, 203, 108, 235, 239, 213, 108, 93, 201, 229, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245454648451182, y=-0.36943977414229606, z=0.04119805840840077, w=-0.08386093667132245)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.006666666666666667, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.01, z=0.0)>	COMP<287>
[1740779351.0579176]	Q_Header<(2621443, 16563, 257, 173, 250, 8, 58, 9, 29)>	Q_Data<(0, 0, 62, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 115, 253, 253, 253, 253, 253, 253, 253, 239, 203, 188, 222, 149, 82, 43, 94, 121, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245454648451182, y=-0.36943977414229606, z=0.04119805840840077, w=-0.08386093667132245)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.006666666666666667, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.01, z=0.0)>	COMP<287>
[1740779351.070722]	Q_Header<(2621443, 16564, 257, 173, 250, 8, 58, 10, 27)>	Q_Data<(0, 0, 61, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 253, 253, 253, 253, 253, 253, 253, 217, 253, 241, 232, 104, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9245454648451182, y=-0.36943977414229606, z=0.04119805840840077, w=-0.08386093667132245)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.006666666666666667, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.01, z=0.0)>	COMP<287>
