[1740779368.3973641]	Q_Header<(2621443, 18304, 257, 173, 250, 8, 58, 0, 24)>	Q_Data<(0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 36, 128, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.961103323086985, y=-0.25609891050187267, z=0.052367222404815714, w=-0.08917075982917921)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.03111111111111111, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.33, y=-0.17, z=0.01)>	COMP<309>
[1740779368.4074905]	Q_Header<(2621443, 18305, 257, 173, 250, 8, 58, 1, 29)>	Q_Data<(0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 39, 41, 106, 111, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9612002087825005, y=-0.25574224503420606, z=0.052430212048778756, w=-0.08911304958232479)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=-0.034444444444444444, z=-0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.22, y=-0.19, z=0.09)>	COMP<319>
[1740779368.4213173]	Q_Header<(2621443, 18306, 257, 173, 250, 8, 58, 2, 36)>	Q_Data<(0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 11, 25, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 40, 106, 189, 143, 175, 253, 253, 253, 253, 253, 253, 253, 253, 229, 253, 233, 0, 48, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9612002087825005, y=-0.25574224503420606, z=0.052430212048778756, w=-0.08911304958232479)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=-0.034444444444444444, z=-0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.22, y=-0.19, z=0.09)>	COMP<319>
[1740779368.4274473]	Q_Header<(2621443, 18307, 257, 173, 250, 8, 58, 3, 36)>	Q_Data<(0, 0, 40, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 16, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 13, 55, 213, 253, 253, 253, 253, 253, 253, 253, 125, 239, 219, 149, 106, 147, 111, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9612002087825005, y=-0.25574224503420606, z=0.052430212048778756, w=-0.08911304958232479)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=-0.034444444444444444, z=-0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.22, y=-0.19, z=0.09)>	COMP<319>
[1740779368.4374132]	Q_Header<(2621443, 18308, 257, 173, 250, 8, 58, 4, 32)>	Q_Data<(0, 0, 59, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 38, 38, 58, 99, 253, 253, 253, 253, 253, 253, 253, 253, 253, 133, 87, 28, 82, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9612002087825005, y=-0.25574224503420606, z=0.052430212048778756, w=-0.08911304958232479)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=-0.034444444444444444, z=-0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.22, y=-0.19, z=0.09)>	COMP<319>
[1740779368.4474745]	Q_Header<(2621443, 18309, 257, 173, 250, 8, 58, 5, 28)>	Q_Data<(0, 0, 57, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63, 60, 103, 246, 253, 253, 253, 253, 253, 253, 253, 253, 253, 208, 0, 46, 34, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9613214756520141, y=-0.2553147766763413, z=0.05218602296396648, w=-0.08917401117000588)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.04777777777777778, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.19, y=-0.24, z=-0.11)>	COMP<312>
[1740779368.4574866]	Q_Header<(2621443, 18310, 257, 173, 250, 8, 58, 6, 27)>	Q_Data<(0, 0, 58, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 48, 109, 188, 205, 168, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9613214756520141, y=-0.2553147766763413, z=0.05218602296396648, w=-0.08917401117000588)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.04777777777777778, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.19, y=-0.24, z=-0.11)>	COMP<312>
[1740779368.4674342]	Q_Header<(2621443, 18311, 257, 173, 250, 8, 58, 7, 31)>	Q_Data<(0, 0, 58, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 15, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 40, 62, 96, 228, 253, 253, 189, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 170, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9613214756520141, y=-0.2553147766763413, z=0.05218602296396648, w=-0.08917401117000588)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.04777777777777778, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.19, y=-0.24, z=-0.11)>	COMP<312>
[1740779368.4781058]	Q_Header<(2621443, 18312, 257, 173, 250, 8, 58, 8, 34)>	Q_Data<(0, 0, 60, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 34, 55, 80, 80, 97, 253, 253, 253, 167, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9614417215133196, y=-0.2548260022421349, z=0.05194177913965433, w=-0.08941798641550364)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.04777777777777778, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.29, y=-0.21, z=-0.04)>	COMP<312>
[1740779368.4874306]	Q_Header<(2621443, 18313, 257, 173, 250, 8, 58, 9, 32)>	Q_Data<(0, 0, 61, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 27, 100, 202, 219, 253, 253, 253, 223, 253, 253, 253, 253, 253, 253, 241, 253, 253, 232, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9614417215133196, y=-0.2548260022421349, z=0.05194177913965433, w=-0.08941798641550364)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.04777777777777778, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.29, y=-0.21, z=-0.04)>	COMP<312>
[1740779368.4974668]	Q_Header<(2621443, 18314, 257, 173, 250, 8, 58, 10, 37)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 53, 125, 231, 253, 253, 253, 253, 253, 212, 253, 197, 173, 253, 253, 229, 187, 188, 182, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9614417215133196, y=-0.2548260022421349, z=0.05194177913965433, w=-0.08941798641550364)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.04777777777777778, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.29, y=-0.21, z=-0.04)>	COMP<312>
