[1740779380.8619592]	Q_Header<(2621443, 19554, 257, 173, 250, 8, 58, 0, 36)>	Q_Data<(0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 6, 19, 34, 0, 27, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 79, 184, 253, 253, 253, 253, 253, 253, 253, 253, 177, 253, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9842266813484688, y=-0.1489828431831584, z=0.02325377437639629, w=-0.0925268292772094)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.013333333333333334, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=0.08, z=-0.02)>	COMP<337>
[1740779380.879246]	Q_Header<(2621443, 19555, 257, 173, 250, 8, 58, 1, 39)>	Q_Data<(0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 39, 34, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 10, 0, 0, 0, 153, 253, 253, 253, 253, 253, 253, 253, 253, 232, 241, 0, 0, 26, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9842428796143848, y=-0.14874115698996998, z=0.023620364281952556, w=-0.0926504211369612)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.017777777777777778, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.06, z=-0.07)>	COMP<343>
[1740779380.8842297]	Q_Header<(2621443, 19556, 257, 173, 250, 8, 58, 2, 25)>	Q_Data<(0, 0, 5, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 13, 111, 221, 253, 253, 253, 253, 253, 253, 253, 170, 151, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9842428796143848, y=-0.14874115698996998, z=0.023620364281952556, w=-0.0926504211369612)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.017777777777777778, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.06, z=-0.07)>	COMP<343>
[1740779380.8971837]	Q_Header<(2621443, 19557, 257, 173, 250, 8, 58, 3, 24)>	Q_Data<(0, 0, 55, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 37, 137, 251, 253, 253, 253, 253, 141, 129, 79, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9842428796143848, y=-0.14874115698996998, z=0.023620364281952556, w=-0.0926504211369612)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.017777777777777778, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.06, z=-0.07)>	COMP<343>
[1740779380.9084864]	Q_Header<(2621443, 19558, 257, 173, 250, 8, 58, 4, 34)>	Q_Data<(0, 0, 58, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 0, 0, 0, 0, 9, 21, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 188, 253, 246, 253, 241, 138, 117, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.984258873345148, y=-0.14849943190181975, z=0.023986961256644127, w=-0.09277399773562105)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.01888888888888889, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.08)>	COMP<343>
[1740779380.9158604]	Q_Header<(2621443, 19559, 257, 173, 250, 8, 58, 5, 29)>	Q_Data<(0, 0, 58, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 43, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 165, 180, 253, 248, 193, 227, 142, 159, 132, 88, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.984258873345148, y=-0.14849943190181975, z=0.023986961256644127, w=-0.09277399773562105)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.01888888888888889, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.08)>	COMP<343>
[1740779380.9272547]	Q_Header<(2621443, 19560, 257, 173, 250, 8, 58, 6, 33)>	Q_Data<(0, 0, 58, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 28, 29, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 101, 180, 210, 199, 231, 253, 236, 253, 253, 245, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.984258873345148, y=-0.14849943190181975, z=0.023986961256644127, w=-0.09277399773562105)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.01888888888888889, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.08)>	COMP<343>
[1740779380.9377446]	Q_Header<(2621443, 19561, 257, 173, 250, 8, 58, 7, 36)>	Q_Data<(0, 0, 59, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 34, 27, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 74, 84, 117, 93, 200, 253, 253, 253, 253, 253, 253, 91, 43, 53, 60, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.984258873345148, y=-0.14849943190181975, z=0.023986961256644127, w=-0.09277399773562105)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.01888888888888889, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.08)>	COMP<343>
[1740779380.94107]	Q_Header<(2621443, 19562, 257, 173, 250, 8, 58, 8, 38)>	Q_Data<(0, 0, 60, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 10, 0, 0, 0, 17, 41, 26, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 201, 253, 253, 134, 253, 253, 75, 123, 148, 163, 253, 238, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.984258873345148, y=-0.14849943190181975, z=0.023986961256644127, w=-0.09277399773562105)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.01888888888888889, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.08)>	COMP<343>
[1740779380.9593256]	Q_Header<(2621443, 19563, 257, 173, 250, 8, 58, 9, 42)>	Q_Data<(0, 0, 61, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 19, 32, 21, 33, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37, 0, 11, 55, 164, 182, 245, 253, 203, 253, 253, 253, 217, 253, 253, 253, 253, 86, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9842672151807647, y=-0.14831758234461478, z=0.024292344762615922, w=-0.0928968561022649)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.01888888888888889, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.08, z=-0.04)>	COMP<344>
[1740779380.9606497]	Q_Header<(2621443, 19564, 257, 173, 250, 8, 58, 10, 35)>	Q_Data<(0, 0, 61, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37, 0, 33, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 50, 30, 69, 233, 253, 136, 253, 149, 178, 253, 253, 253, 253, 253, 253, 253, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9842672151807647, y=-0.14831758234461478, z=0.024292344762615922, w=-0.0928968561022649)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.01888888888888889, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.08, z=-0.04)>	COMP<344>
