[1740779403.297673]	Q_Header<(2621443, 21804, 257, 173, 250, 8, 58, 0, 27)>	Q_Data<(0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 15, 90, 253, 253, 253, 253, 200, 84, 134, 156, 102, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794824323309858, y=-0.1649763842591385, z=0.056945233634397414, w=-0.10076803936804944)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.043333333333333335, z=0.056666666666666664)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.65, y=0.13, z=-0.67)>	COMP<246>
[1740779403.3078]	Q_Header<(2621443, 21805, 257, 173, 250, 8, 58, 1, 40)>	Q_Data<(0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 19, 0, 19, 0, 0, 13, 0, 0, 0, 0, 48, 164, 250, 253, 253, 140, 167, 62, 112, 133, 136, 0, 34, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794216823701299, y=-0.16589195068748133, z=0.055968697123039146, w=-0.10040186125125343)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.052222222222222225, y=-0.057777777777777775, z=0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.53, y=0.41, z=0.15)>	COMP<263>
[1740779403.317672]	Q_Header<(2621443, 21806, 257, 173, 250, 8, 58, 2, 36)>	Q_Data<(0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 52, 161, 253, 253, 195, 253, 93, 72, 79, 103, 84, 84, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794216823701299, y=-0.16589195068748133, z=0.055968697123039146, w=-0.10040186125125343)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.052222222222222225, y=-0.057777777777777775, z=0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.53, y=0.41, z=0.15)>	COMP<263>
[1740779403.3277392]	Q_Header<(2621443, 21807, 257, 173, 250, 8, 58, 3, 43)>	Q_Data<(0, 0, 41, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 0, 0, 4, 0, 0, 0, 0, 34, 36, 0, 0, 79, 242, 206, 253, 253, 224, 97, 253, 253, 118, 196, 185, 133, 53, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794216823701299, y=-0.16589195068748133, z=0.055968697123039146, w=-0.10040186125125343)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.052222222222222225, y=-0.057777777777777775, z=0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.53, y=0.41, z=0.15)>	COMP<263>
[1740779403.3379054]	Q_Header<(2621443, 21808, 257, 173, 250, 8, 58, 4, 32)>	Q_Data<(0, 0, 59, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 121, 139, 253, 253, 253, 178, 253, 253, 253, 253, 253, 231, 149, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794216823701299, y=-0.16589195068748133, z=0.055968697123039146, w=-0.10040186125125343)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.052222222222222225, y=-0.057777777777777775, z=0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.53, y=0.41, z=0.15)>	COMP<263>
[1740779403.3477194]	Q_Header<(2621443, 21809, 257, 173, 250, 8, 58, 5, 33)>	Q_Data<(0, 0, 58, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 30, 0, 15, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 153, 205, 250, 253, 253, 253, 253, 253, 253, 229, 253, 242, 107, 44, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794255717577627, y=-0.1666860619723593, z=0.05450408397704755, w=-0.09985294668135475)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05444444444444444, y=-0.08777777777777777, z=0.06111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.3, y=0.49, z=-0.02)>	COMP<255>
[1740779403.3577392]	Q_Header<(2621443, 21810, 257, 173, 250, 8, 58, 6, 38)>	Q_Data<(0, 0, 59, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 0, 0, 0, 0, 0, 0, 0, 19, 18, 0, 0, 0, 0, 0, 0, 0, 35, 9, 0, 0, 6, 0, 15, 95, 95, 225, 253, 253, 253, 253, 253, 253, 253, 253, 253, 105, 116, 76, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794255717577627, y=-0.1666860619723593, z=0.05450408397704755, w=-0.09985294668135475)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05444444444444444, y=-0.08777777777777777, z=0.06111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.3, y=0.49, z=-0.02)>	COMP<255>
[1740779403.3677597]	Q_Header<(2621443, 21811, 257, 173, 250, 8, 58, 7, 41)>	Q_Data<(0, 0, 59, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 42, 140, 186, 253, 253, 253, 253, 253, 253, 232, 253, 0, 162, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9794255717577627, y=-0.1666860619723593, z=0.05450408397704755, w=-0.09985294668135475)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05444444444444444, y=-0.08777777777777777, z=0.06111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.3, y=0.49, z=-0.02)>	COMP<255>
[1740779403.3777256]	Q_Header<(2621443, 21812, 257, 173, 250, 8, 58, 8, 23)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 65, 152, 253, 253, 253, 253, 253, 253, 253, 253, 53, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9795634202816587, y=-0.16778739126140443, z=0.05120902919909724, w=-0.09838969614892104)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06222222222222222, y=-0.11, z=0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.45, y=0.2, z=-0.05)>	COMP<255>
[1740779403.3888915]	Q_Header<(2621443, 21813, 257, 173, 250, 8, 58, 9, 20)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 129, 253, 253, 253, 253, 253, 253, 232, 253, 40, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9795634202816587, y=-0.16778739126140443, z=0.05120902919909724, w=-0.09838969614892104)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06222222222222222, y=-0.11, z=0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.45, y=0.2, z=-0.05)>	COMP<255>
[1740779403.397715]	Q_Header<(2621443, 21814, 257, 173, 250, 8, 58, 10, 41)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 26, 0, 26, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 136, 132, 253, 253, 253, 250, 133, 139, 0, 40, 57, 44, 0, 22, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9795634202816587, y=-0.16778739126140443, z=0.05120902919909724, w=-0.09838969614892104)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06222222222222222, y=-0.11, z=0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.45, y=0.2, z=-0.05)>	COMP<255>
