[1740779418.2678108]	Q_Header<(2621443, 23304, 257, 173, 250, 8, 58, 0, 45)>	Q_Data<(0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 33, 32, 12, 23, 0, 0, 0, 0, 0, 0, 18, 223, 253, 253, 253, 253, 253, 253, 133, 253, 253, 204, 156, 145, 102, 0, 10, 44, 40, 62, 95, 55, 103, 192, 253, 97, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750377271292966, y=-0.19592307380814036, z=0.037292522771580607, w=-0.09759532555115777)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.006666666666666667, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.11, z=-0.02)>	COMP<305>
[1740779418.2778704]	Q_Header<(2621443, 23305, 257, 173, 250, 8, 58, 1, 44)>	Q_Data<(0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 21, 23, 6, 0, 17, 23, 7, 0, 0, 0, 0, 0, 168, 253, 253, 253, 253, 253, 253, 130, 253, 253, 60, 22, 94, 86, 43, 45, 0, 36, 0, 25, 32, 41, 131, 151, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750391292027556, y=-0.19586232022608094, z=0.03741464702355488, w=-0.09765650120340588)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.006666666666666667, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.08, z=-0.15)>	COMP<305>
[1740779418.2877805]	Q_Header<(2621443, 23306, 257, 173, 250, 8, 58, 2, 44)>	Q_Data<(0, 0, 29, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 15, 15, 4, 0, 0, 22, 32, 0, 0, 0, 0, 0, 104, 253, 253, 253, 253, 253, 253, 253, 253, 234, 96, 64, 75, 150, 169, 6, 0, 42, 0, 0, 44, 96, 85, 59, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750391292027556, y=-0.19586232022608094, z=0.03741464702355488, w=-0.09765650120340588)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.006666666666666667, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.08, z=-0.15)>	COMP<305>
[1740779418.2979178]	Q_Header<(2621443, 23307, 257, 173, 250, 8, 58, 3, 40)>	Q_Data<(0, 0, 53, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 26, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 38, 224, 253, 253, 253, 253, 253, 253, 253, 160, 84, 38, 59, 195, 204, 88, 50, 46, 0, 21, 0, 95, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750391292027556, y=-0.19586232022608094, z=0.03741464702355488, w=-0.09765650120340588)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.006666666666666667, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.08, z=-0.15)>	COMP<305>
[1740779418.308446]	Q_Header<(2621443, 23308, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 57, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 19, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 17, 97, 150, 253, 253, 253, 253, 253, 253, 188, 118, 112, 83, 186, 173, 253, 104, 60, 64, 44, 0, 77, 70, 158, 153, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750369243904794, y=-0.19580084215616012, z=0.037475597594726406, w=-0.09777835072760864)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.0044444444444444444, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=0.12, z=-0.04)>	COMP<286>
[1740779418.3178124]	Q_Header<(2621443, 23309, 257, 173, 250, 8, 58, 5, 43)>	Q_Data<(0, 0, 58, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 14, 49, 121, 195, 253, 253, 253, 253, 253, 235, 228, 189, 77, 191, 253, 253, 187, 89, 80, 24, 0, 17, 159, 253, 253, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750369243904794, y=-0.19580084215616012, z=0.037475597594726406, w=-0.09777835072760864)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.0044444444444444444, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=0.12, z=-0.04)>	COMP<286>
[1740779418.3278458]	Q_Header<(2621443, 23310, 257, 173, 250, 8, 58, 6, 49)>	Q_Data<(0, 0, 59, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 15, 7, 10, 0, 15, 14, 11, 0, 16, 0, 0, 0, 27, 91, 116, 253, 253, 253, 253, 253, 253, 253, 162, 202, 226, 253, 253, 253, 108, 58, 60, 26, 37, 182, 253, 253, 250, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750369243904794, y=-0.19580084215616012, z=0.037475597594726406, w=-0.09777835072760864)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.0044444444444444444, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=0.12, z=-0.04)>	COMP<286>
[1740779418.3405418]	Q_Header<(2621443, 23311, 257, 173, 250, 8, 58, 7, 42)>	Q_Data<(0, 0, 59, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 0, 0, 30, 0, 0, 0, 0, 0, 0, 14, 51, 38, 187, 253, 253, 253, 253, 253, 253, 231, 253, 193, 253, 253, 253, 112, 129, 168, 112, 86, 157, 253, 253, 253, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750369243904794, y=-0.19580084215616012, z=0.037475597594726406, w=-0.09777835072760864)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.0044444444444444444, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=0.12, z=-0.04)>	COMP<286>
[1740779418.3478591]	Q_Header<(2621443, 23312, 257, 173, 250, 8, 58, 8, 44)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 12, 21, 17, 0, 0, 0, 0, 20, 35, 23, 90, 188, 253, 253, 253, 253, 253, 253, 253, 149, 130, 253, 195, 107, 168, 236, 183, 114, 162, 253, 253, 253, 154, 17, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750521604209437, y=-0.1956207933739671, z=0.037537219321369664, w=-0.09796298700942814)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.0, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.06, z=0.02)>	COMP<309>
[1740779418.3579009]	Q_Header<(2621443, 23313, 257, 173, 250, 8, 58, 9, 49)>	Q_Data<(0, 0, 62, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 0, 0, 0, 16, 0, 3, 24, 0, 0, 0, 0, 11, 32, 23, 0, 81, 147, 229, 253, 253, 253, 253, 253, 253, 253, 109, 137, 80, 125, 236, 192, 107, 171, 253, 253, 253, 160, 44, 41, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750521604209437, y=-0.1956207933739671, z=0.037537219321369664, w=-0.09796298700942814)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.0, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.06, z=0.02)>	COMP<309>
[1740779418.3679416]	Q_Header<(2621443, 23314, 257, 173, 250, 8, 58, 10, 42)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 8, 0, 0, 0, 0, 0, 0, 0, 21, 7, 0, 0, 42, 115, 178, 207, 253, 253, 253, 253, 253, 222, 217, 82, 86, 204, 164, 73, 157, 253, 253, 253, 129, 32, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9750521604209437, y=-0.1956207933739671, z=0.037537219321369664, w=-0.09796298700942814)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.0, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.06, z=0.02)>	COMP<309>
