[1740779483.16843]	Q_Header<(2621443, 29804, 257, 173, 250, 8, 58, 0, 62)>	Q_Data<(0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 15, 50, 24, 63, 119, 248, 234, 116, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 219, 94, 56, 27, 0, 103, 184, 227, 81, 149, 251, 188, 161, 87, 66, 0, 0, 33, 45, 0, 0, 75, 253, 253, 136, 253, 198, 194, 68, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.21033242688392495, y=-0.9726196234461242, z=0.09881839788887826, w=0.00250250420842743)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=0.016666666666666666, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.0, z=-0.01)>	COMP<89>
[1740779483.1825807]	Q_Header<(2621443, 29805, 257, 173, 250, 8, 58, 1, 60)>	Q_Data<(0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 18, 35, 14, 24, 80, 131, 120, 61, 214, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 220, 85, 56, 0, 21, 142, 253, 253, 80, 237, 247, 206, 150, 28, 8, 31, 0, 33, 0, 0, 11, 0, 252, 253, 253, 253, 184, 182, 189, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20989620465633005, y=-0.9726391152670183, z=0.09954658615716032, w=0.002685499565245281)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03888888888888889, y=0.022222222222222223, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.08)>	COMP<89>
[1740779483.1883914]	Q_Header<(2621443, 29806, 257, 173, 250, 8, 58, 2, 65)>	Q_Data<(0, 0, 15, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 20, 16, 0, 19, 22, 57, 44, 45, 134, 166, 185, 180, 253, 253, 253, 253, 253, 253, 253, 253, 253, 210, 81, 75, 64, 58, 167, 253, 253, 122, 253, 253, 190, 116, 0, 43, 91, 34, 0, 20, 73, 54, 0, 167, 218, 253, 253, 253, 253, 235, 55, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 79, 179, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20989620465633005, y=-0.9726391152670183, z=0.09954658615716032, w=0.002685499565245281)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03888888888888889, y=0.022222222222222223, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.08)>	COMP<89>
[1740779483.198411]	Q_Header<(2621443, 29807, 257, 173, 250, 8, 58, 3, 70)>	Q_Data<(0, 0, 51, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 7, 0, 0, 0, 17, 29, 26, 16, 47, 59, 95, 155, 240, 212, 253, 253, 253, 253, 253, 253, 253, 241, 186, 152, 201, 158, 188, 253, 225, 253, 253, 253, 227, 120, 0, 9, 70, 20, 0, 60, 155, 196, 159, 75, 128, 253, 253, 253, 253, 212, 30, 60, 94, 22, 0, 0, 0, 0, 0, 117, 134, 113, 158, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20989620465633005, y=-0.9726391152670183, z=0.09954658615716032, w=0.002685499565245281)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03888888888888889, y=0.022222222222222223, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.08)>	COMP<89>
[1740779483.2085173]	Q_Header<(2621443, 29808, 257, 173, 250, 8, 58, 4, 68)>	Q_Data<(0, 0, 57, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 11, 0, 21, 11, 0, 23, 0, 33, 16, 18, 102, 144, 157, 253, 253, 253, 253, 253, 253, 253, 253, 253, 239, 253, 253, 220, 253, 185, 253, 253, 253, 253, 148, 25, 78, 171, 200, 110, 190, 253, 253, 253, 91, 48, 253, 253, 253, 131, 133, 146, 189, 217, 123, 0, 0, 0, 0, 48, 0, 126, 106, 101, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20989620465633005, y=-0.9726391152670183, z=0.09954658615716032, w=0.002685499565245281)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03888888888888889, y=0.022222222222222223, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.08)>	COMP<89>
[1740779483.2184653]	Q_Header<(2621443, 29809, 257, 173, 250, 8, 58, 5, 62)>	Q_Data<(0, 0, 57, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 0, 13, 15, 27, 4, 0, 0, 0, 0, 19, 22, 39, 82, 102, 201, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 120, 253, 253, 253, 253, 182, 57, 234, 253, 253, 249, 253, 253, 253, 253, 153, 81, 204, 253, 253, 150, 190, 229, 253, 253, 223, 0, 29, 51, 65, 109, 140, 53, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20953061523253816, y=-0.9726419703890848, z=0.10027928949229835, w=0.0029296444891237497)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04666666666666667, y=0.03, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.05, z=-0.05)>	COMP<85>
[1740779483.2283387]	Q_Header<(2621443, 29810, 257, 173, 250, 8, 58, 6, 60)>	Q_Data<(0, 0, 58, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 14, 0, 0, 16, 14, 0, 0, 4, 23, 23, 0, 49, 53, 96, 137, 242, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 226, 224, 247, 253, 253, 208, 91, 253, 253, 253, 253, 253, 253, 253, 253, 187, 159, 154, 171, 97, 180, 145, 220, 253, 253, 253, 73, 73, 191, 230, 143, 179, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20953061523253816, y=-0.9726419703890848, z=0.10027928949229835, w=0.0029296444891237497)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04666666666666667, y=0.03, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.05, z=-0.05)>	COMP<85>
[1740779483.2384603]	Q_Header<(2621443, 29811, 257, 173, 250, 8, 58, 7, 60)>	Q_Data<(0, 0, 59, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 0, 6, 0, 0, 9, 37, 55, 129, 193, 242, 181, 215, 250, 241, 225, 253, 220, 253, 253, 253, 253, 253, 253, 253, 231, 105, 253, 253, 253, 253, 253, 253, 253, 218, 236, 230, 124, 238, 253, 253, 253, 241, 242, 253, 253, 178, 65, 253, 253, 180, 125, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20953061523253816, y=-0.9726419703890848, z=0.10027928949229835, w=0.0029296444891237497)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04666666666666667, y=0.03, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.05, z=-0.05)>	COMP<85>
[1740779483.2483897]	Q_Header<(2621443, 29812, 257, 173, 250, 8, 58, 8, 54)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 20, 26, 44, 77, 96, 67, 107, 134, 118, 123, 147, 124, 171, 239, 253, 253, 253, 205, 253, 210, 154, 253, 253, 253, 253, 253, 253, 253, 207, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 220, 206, 134, 253, 253, 211, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20916358102342508, y=-0.9726381170672023, z=0.10107233445427252, w=0.0031737689562935816)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05, y=0.03, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.05, z=-0.08)>	COMP<86>
[1740779483.2583742]	Q_Header<(2621443, 29813, 257, 173, 250, 8, 58, 9, 55)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 33, 48, 51, 0, 56, 58, 11, 21, 52, 20, 59, 125, 198, 253, 253, 186, 205, 201, 253, 174, 253, 253, 253, 205, 253, 182, 171, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 248, 161, 227, 253, 253, 199, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20916358102342508, y=-0.9726381170672023, z=0.10107233445427252, w=0.0031737689562935816)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05, y=0.03, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.05, z=-0.08)>	COMP<86>
[1740779483.268695]	Q_Header<(2621443, 29814, 257, 173, 250, 8, 58, 10, 47)>	Q_Data<(0, 0, 62, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 22, 15, 13, 0, 0, 0, 30, 0, 0, 10, 0, 0, 0, 0, 0, 0, 105, 193, 253, 252, 145, 217, 253, 253, 253, 253, 253, 253, 253, 198, 113, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 86, 253, 253, 250, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.20916358102342508, y=-0.9726381170672023, z=0.10107233445427252, w=0.0031737689562935816)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05, y=0.03, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.05, z=-0.08)>	COMP<86>
