[1740779488.1685197]	Q_Header<(2621443, 30304, 257, 173, 250, 8, 58, 0, 60)>	Q_Data<(0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 100, 227, 253, 253, 253, 195, 237, 199, 122, 77, 94, 253, 253, 253, 253, 169, 224, 253, 253, 130, 0, 59, 0, 80, 77, 78, 144, 159, 118, 87, 0, 84, 28, 0, 0, 0, 29, 0, 0, 0, 0, 46, 0, 17, 0, 0, 105, 163, 137, 162, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.17565947350550282, y=-0.9791886495652472, z=0.10131852884612046, w=0.008239759876039917)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04666666666666667, y=0.04888888888888889, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.06, z=0.04)>	COMP<98>
[1740779488.1784866]	Q_Header<(2621443, 30305, 257, 173, 250, 8, 58, 1, 57)>	Q_Data<(0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 95, 232, 253, 253, 253, 171, 221, 229, 147, 149, 53, 253, 253, 253, 253, 253, 253, 253, 253, 144, 71, 4, 0, 80, 34, 103, 126, 121, 75, 50, 26, 78, 33, 0, 45, 0, 0, 40, 0, 0, 91, 128, 68, 73, 0, 0, 25, 113, 104, 124, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.17559225024576966, y=-0.9790931103380733, z=0.10229148815151545, w=0.008971866800878742)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.04777777777777778, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.07, z=-0.03)>	COMP<101>
[1740779488.1884723]	Q_Header<(2621443, 30306, 257, 173, 250, 8, 58, 2, 59)>	Q_Data<(0, 0, 11, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 107, 193, 253, 253, 253, 154, 244, 253, 202, 217, 121, 189, 253, 253, 253, 253, 253, 253, 185, 100, 153, 51, 93, 72, 0, 100, 84, 48, 0, 0, 35, 19, 3, 56, 93, 138, 182, 59, 52, 49, 193, 208, 169, 155, 45, 44, 101, 52, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.17559225024576966, y=-0.9790931103380733, z=0.10229148815151545, w=0.008971866800878742)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.04777777777777778, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.07, z=-0.03)>	COMP<101>
[1740779488.198431]	Q_Header<(2621443, 30307, 257, 173, 250, 8, 58, 3, 58)>	Q_Data<(0, 0, 48, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 78, 127, 253, 253, 253, 156, 228, 253, 231, 237, 186, 181, 253, 253, 253, 253, 253, 174, 213, 253, 253, 166, 152, 86, 0, 79, 25, 33, 0, 0, 0, 0, 0, 62, 99, 242, 253, 184, 99, 106, 250, 248, 233, 199, 0, 107, 158, 96, 48, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.17559225024576966, y=-0.9790931103380733, z=0.10229148815151545, w=0.008971866800878742)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.04777777777777778, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.07, z=-0.03)>	COMP<101>
[1740779488.2085156]	Q_Header<(2621443, 30308, 257, 173, 250, 8, 58, 4, 59)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 36, 96, 217, 253, 200, 253, 106, 252, 253, 225, 216, 160, 253, 253, 253, 253, 253, 91, 253, 253, 253, 253, 144, 156, 50, 43, 0, 0, 0, 28, 46, 0, 22, 71, 76, 253, 253, 253, 140, 121, 240, 230, 231, 188, 19, 80, 156, 118, 69, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1755364116393813, y=-0.97906104975915, z=0.10266072474876194, w=0.009338341787491425)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.042222222222222223, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.18, y=0.07, z=0.0)>	COMP<99>
[1740779488.2200377]	Q_Header<(2621443, 30309, 257, 173, 250, 8, 58, 5, 59)>	Q_Data<(0, 0, 60, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 63, 137, 200, 235, 253, 253, 165, 253, 223, 224, 107, 253, 253, 253, 253, 253, 159, 253, 253, 253, 253, 213, 241, 76, 0, 0, 0, 76, 178, 170, 54, 138, 142, 0, 253, 253, 253, 128, 86, 182, 177, 179, 119, 48, 78, 67, 106, 96, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1755364116393813, y=-0.97906104975915, z=0.10266072474876194, w=0.009338341787491425)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.042222222222222223, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.18, y=0.07, z=0.0)>	COMP<99>
[1740779488.2284331]	Q_Header<(2621443, 30310, 257, 173, 250, 8, 58, 6, 62)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 23, 16, 68, 107, 253, 253, 253, 204, 247, 200, 252, 128, 253, 253, 253, 160, 250, 225, 253, 175, 253, 253, 253, 253, 86, 0, 0, 0, 137, 253, 253, 125, 221, 216, 127, 253, 253, 204, 86, 0, 96, 108, 95, 73, 114, 253, 253, 223, 248, 253, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1755364116393813, y=-0.97906104975915, z=0.10266072474876194, w=0.009338341787491425)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.042222222222222223, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.18, y=0.07, z=0.0)>	COMP<99>
[1740779488.2384827]	Q_Header<(2621443, 30311, 257, 173, 250, 8, 58, 7, 65)>	Q_Data<(0, 0, 60, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 11, 24, 86, 177, 247, 253, 237, 182, 179, 253, 153, 167, 244, 253, 253, 253, 253, 192, 253, 253, 253, 253, 253, 76, 27, 13, 52, 165, 253, 253, 160, 251, 246, 174, 172, 222, 115, 0, 0, 0, 55, 99, 60, 158, 253, 253, 253, 253, 253, 156, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 95, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1755364116393813, y=-0.97906104975915, z=0.10266072474876194, w=0.009338341787491425)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.042222222222222223, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.18, y=0.07, z=0.0)>	COMP<99>
[1740779488.248546]	Q_Header<(2621443, 30312, 257, 173, 250, 8, 58, 8, 66)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 15, 13, 38, 91, 132, 164, 184, 100, 185, 253, 248, 253, 239, 253, 253, 253, 253, 141, 253, 253, 253, 253, 229, 59, 17, 0, 87, 133, 253, 253, 114, 108, 206, 172, 104, 133, 0, 0, 0, 0, 57, 104, 12, 139, 253, 253, 253, 253, 253, 216, 81, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 203, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.17547446810157963, y=-0.978994945512813, z=0.10333157373773019, w=0.010009674006490108)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=0.034444444444444444, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.21, y=0.07, z=-0.01)>	COMP<99>
[1740779488.2584305]	Q_Header<(2621443, 30313, 257, 173, 250, 8, 58, 9, 66)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 28, 24, 34, 55, 80, 105, 26, 152, 242, 253, 253, 253, 253, 253, 253, 253, 99, 253, 253, 253, 200, 128, 0, 0, 21, 89, 25, 253, 240, 229, 253, 216, 144, 82, 29, 69, 38, 0, 38, 51, 81, 0, 53, 188, 253, 253, 253, 253, 253, 141, 63, 0, 0, 0, 0, 0, 0, 0, 57, 108, 20, 177, 236, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.17547446810157963, y=-0.978994945512813, z=0.10333157373773019, w=0.010009674006490108)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=0.034444444444444444, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.21, y=0.07, z=-0.01)>	COMP<99>
[1740779488.2685807]	Q_Header<(2621443, 30314, 257, 173, 250, 8, 58, 10, 73)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 28, 25, 33, 27, 39, 22, 90, 150, 194, 253, 243, 253, 240, 253, 253, 148, 253, 253, 241, 149, 99, 71, 64, 107, 72, 130, 224, 153, 253, 253, 253, 153, 61, 24, 44, 45, 45, 6, 112, 116, 70, 41, 76, 147, 253, 253, 253, 230, 229, 82, 0, 0, 0, 0, 0, 60, 0, 123, 175, 128, 164, 181, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.17547446810157963, y=-0.978994945512813, z=0.10333157373773019, w=0.010009674006490108)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=0.034444444444444444, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.21, y=0.07, z=-0.01)>	COMP<99>
