[1740779513.1401076]	Q_Header<(2621443, 32804, 257, 173, 250, 8, 58, 0, 48)>	Q_Data<(0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 0, 0, 0, 20, 0, 0, 13, 0, 0, 0, 0, 17, 0, 17, 0, 15, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 182, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 164, 232, 39, 85, 28, 63, 87, 0, 132, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6270683356519938, y=-0.7708655907421337, z=0.06396414402990942, w=0.09197897428728388)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.034444444444444444, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.23, z=-0.04)>	COMP<64>
[1740779513.1485353]	Q_Header<(2621443, 32805, 257, 173, 250, 8, 58, 1, 58)>	Q_Data<(0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 0, 16, 10, 0, 0, 0, 0, 0, 0, 0, 12, 0, 29, 0, 30, 48, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 253, 253, 253, 253, 183, 253, 253, 253, 253, 253, 253, 171, 253, 253, 253, 253, 253, 253, 253, 253, 229, 253, 253, 253, 253, 49, 141, 42, 104, 68, 39, 35, 55, 197, 198, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6276972539559302, y=-0.770339074501925, z=0.06378292788642037, w=0.0922258411831399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.03666666666666667, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=0.14, z=0.0)>	COMP<66>
[1740779513.1586506]	Q_Header<(2621443, 32806, 257, 173, 250, 8, 58, 2, 64)>	Q_Data<(0, 0, 16, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 28, 51, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 253, 253, 253, 253, 246, 253, 252, 253, 253, 253, 253, 73, 253, 253, 253, 253, 253, 253, 200, 68, 173, 253, 253, 220, 159, 117, 0, 125, 118, 10, 0, 38, 31, 188, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6276972539559302, y=-0.770339074501925, z=0.06378292788642037, w=0.0922258411831399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.03666666666666667, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=0.14, z=0.0)>	COMP<66>
[1740779513.1696823]	Q_Header<(2621443, 32807, 257, 173, 250, 8, 58, 3, 66)>	Q_Data<(0, 0, 55, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 13, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 253, 253, 253, 253, 186, 253, 253, 253, 253, 253, 253, 126, 253, 253, 253, 253, 253, 253, 101, 148, 208, 253, 253, 66, 58, 101, 58, 112, 98, 0, 0, 0, 13, 128, 125, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 123, 91, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6276972539559302, y=-0.770339074501925, z=0.06378292788642037, w=0.0922258411831399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.03666666666666667, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=0.14, z=0.0)>	COMP<66>
[1740779513.1829]	Q_Header<(2621443, 32808, 257, 173, 250, 8, 58, 4, 51)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 230, 253, 244, 198, 253, 253, 224, 191, 195, 129, 253, 253, 198, 101, 0, 0, 97, 48, 0, 0, 0, 34, 37, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 106, 82, 0, 80, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.628603824588683, y=-0.7695956524166137, z=0.06347684023421986, w=0.09246866630273373)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03333333333333333, z=0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.17, z=-0.02)>	COMP<63>
[1740779513.1885614]	Q_Header<(2621443, 32809, 257, 173, 250, 8, 58, 5, 42)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 156, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 207, 229, 178, 0, 157, 192, 172, 253, 253, 161, 253, 253, 228, 144, 0, 50, 62, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.628603824588683, y=-0.7695956524166137, z=0.06347684023421986, w=0.09246866630273373)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03333333333333333, z=0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.17, z=-0.02)>	COMP<63>
[1740779513.1986017]	Q_Header<(2621443, 32810, 257, 173, 250, 8, 58, 6, 55)>	Q_Data<(0, 0, 59, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 8, 0, 0, 0, 0, 13, 9, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 80, 253, 253, 253, 253, 253, 253, 185, 211, 253, 253, 85, 195, 172, 0, 76, 102, 112, 253, 227, 153, 253, 253, 211, 98, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.628603824588683, y=-0.7695956524166137, z=0.06347684023421986, w=0.09246866630273373)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03333333333333333, z=0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.17, z=-0.02)>	COMP<63>
[1740779513.2086167]	Q_Header<(2621443, 32811, 257, 173, 250, 8, 58, 7, 40)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 138, 253, 253, 253, 253, 253, 253, 214, 253, 253, 253, 139, 213, 203, 82, 0, 0, 48, 168, 149, 56, 252, 253, 175, 115, 54, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.628603824588683, y=-0.7695956524166137, z=0.06347684023421986, w=0.09246866630273373)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03333333333333333, z=0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.17, z=-0.02)>	COMP<63>
[1740779513.2185671]	Q_Header<(2621443, 32812, 257, 173, 250, 8, 58, 8, 39)>	Q_Data<(0, 0, 62, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 124, 253, 253, 253, 253, 253, 253, 198, 253, 162, 189, 132, 216, 216, 77, 12, 0, 0, 74, 76, 96, 166, 212, 158, 188, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6293149171505107, y=-0.7690202653570396, z=0.06323055515157881, w=0.09258759861481183)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.03111111111111111, z=0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.1, z=-0.17)>	COMP<63>
[1740779513.2285657]	Q_Header<(2621443, 32813, 257, 173, 250, 8, 58, 9, 50)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 0, 0, 0, 0, 7, 0, 0, 0, 13, 15, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 190, 253, 253, 253, 253, 253, 123, 253, 234, 230, 151, 198, 197, 187, 143, 0, 42, 25, 0, 131, 161, 211, 221, 190, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6293149171505107, y=-0.7690202653570396, z=0.06323055515157881, w=0.09258759861481183)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.03111111111111111, z=0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.1, z=-0.17)>	COMP<63>
[1740779513.2385492]	Q_Header<(2621443, 32814, 257, 173, 250, 8, 58, 10, 44)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 10, 0, 0, 0, 12, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 230, 253, 253, 253, 253, 230, 253, 253, 253, 253, 181, 216, 253, 231, 41, 126, 99, 50, 112, 191, 253, 253, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6293149171505107, y=-0.7690202653570396, z=0.06323055515157881, w=0.09258759861481183)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.03111111111111111, z=0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.1, z=-0.17)>	COMP<63>
