[1740779515.6386545]	Q_Header<(2621443, 33054, 257, 173, 250, 8, 58, 0, 55)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 0, 0, 0, 0, 0, 0, 20, 22, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 253, 253, 190, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 246, 253, 253, 253, 159, 253, 240, 131, 97, 57, 28, 0, 60, 0, 158, 184, 76, 0, 0, 81, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.692449901949706, y=-0.7147889644542096, z=0.058228048167476384, w=0.07873603997488945)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=0.017777777777777778, z=0.10555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=0.14, z=-0.11)>	COMP<59>
[1740779515.648693]	Q_Header<(2621443, 33055, 257, 173, 250, 8, 58, 1, 65)>	Q_Data<(0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 14, 10, 0, 0, 0, 0, 0, 14, 0, 11, 12, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 253, 253, 253, 253, 253, 253, 241, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 206, 115, 112, 0, 0, 0, 0, 28, 0, 119, 150, 119, 0, 37, 49, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 161, 0, 126, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6936153578248677, y=-0.7136962670755173, z=0.05792335221539946, w=0.07861462344935143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.017777777777777778, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.11, z=0.0)>	COMP<63>
[1740779515.658594]	Q_Header<(2621443, 33056, 257, 173, 250, 8, 58, 2, 56)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 8, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 9, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 222, 158, 125, 253, 253, 160, 253, 253, 253, 253, 253, 201, 68, 0, 0, 0, 0, 0, 0, 0, 63, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 132, 205, 42, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6936153578248677, y=-0.7136962670755173, z=0.05792335221539946, w=0.07861462344935143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.017777777777777778, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.11, z=0.0)>	COMP<63>
[1740779515.668679]	Q_Header<(2621443, 33057, 257, 173, 250, 8, 58, 3, 61)>	Q_Data<(0, 0, 48, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 205, 99, 23, 89, 147, 119, 116, 215, 220, 253, 253, 253, 204, 0, 8, 0, 88, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 67, 141, 0, 174, 43, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6936153578248677, y=-0.7136962670755173, z=0.05792335221539946, w=0.07861462344935143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.017777777777777778, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.11, z=0.0)>	COMP<63>
[1740779515.6786644]	Q_Header<(2621443, 33058, 257, 173, 250, 8, 58, 4, 54)>	Q_Data<(0, 0, 60, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 0, 17, 6, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 230, 253, 253, 253, 137, 106, 100, 77, 93, 73, 152, 212, 21, 253, 253, 253, 171, 0, 0, 53, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6947138605791253, y=-0.7126584990442687, z=0.05761815888127695, w=0.07855357042394433)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.014444444444444444, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.14, z=-0.01)>	COMP<63>
[1740779515.68864]	Q_Header<(2621443, 33059, 257, 173, 250, 8, 58, 5, 54)>	Q_Data<(0, 0, 60, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 0, 10, 0, 3, 0, 0, 0, 21, 10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 171, 253, 253, 158, 81, 243, 197, 88, 8, 0, 119, 151, 71, 156, 253, 253, 113, 49, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6947138605791253, y=-0.7126584990442687, z=0.05761815888127695, w=0.07855357042394433)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.014444444444444444, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.14, z=-0.01)>	COMP<63>
[1740779515.6985693]	Q_Header<(2621443, 33060, 257, 173, 250, 8, 58, 6, 40)>	Q_Data<(0, 0, 60, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 253, 253, 253, 253, 253, 253, 253, 163, 248, 210, 78, 152, 253, 253, 50, 0, 0, 0, 38, 121, 91, 131, 67, 134, 85, 28, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6947138605791253, y=-0.7126584990442687, z=0.05761815888127695, w=0.07855357042394433)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.014444444444444444, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.14, z=-0.01)>	COMP<63>
[1740779515.7092257]	Q_Header<(2621443, 33061, 257, 173, 250, 8, 58, 7, 45)>	Q_Data<(0, 0, 61, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 253, 253, 253, 243, 253, 253, 253, 253, 155, 205, 159, 173, 253, 253, 175, 79, 20, 0, 93, 165, 117, 179, 223, 156, 109, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6947138605791253, y=-0.7126584990442687, z=0.05761815888127695, w=0.07855357042394433)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.014444444444444444, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.14, z=-0.01)>	COMP<63>
[1740779515.7185807]	Q_Header<(2621443, 33062, 257, 173, 250, 8, 58, 8, 41)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 141, 253, 253, 253, 253, 253, 253, 253, 52, 253, 253, 229, 253, 253, 250, 123, 0, 59, 38, 108, 142, 253, 253, 86, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6958430865907783, y=-0.7115897330551604, z=0.05737150262216749, w=0.07842806475477151)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.017777777777777778, y=0.02, z=0.10111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.07, z=-0.14)>	COMP<57>
[1740779515.729674]	Q_Header<(2621443, 33063, 257, 173, 250, 8, 58, 9, 47)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 6, 23, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 165, 173, 253, 253, 253, 253, 253, 189, 253, 253, 253, 249, 253, 249, 142, 81, 86, 202, 90, 120, 253, 253, 231, 253, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6958430865907783, y=-0.7115897330551604, z=0.05737150262216749, w=0.07842806475477151)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.017777777777777778, y=0.02, z=0.10111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.07, z=-0.14)>	COMP<57>
[1740779515.738603]	Q_Header<(2621443, 33064, 257, 173, 250, 8, 58, 10, 39)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 0, 0, 0, 0, 15, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 132, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 194, 89, 103, 139, 253, 226, 34, 253, 253, 253, 253, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6958430865907783, y=-0.7115897330551604, z=0.05737150262216749, w=0.07842806475477151)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.017777777777777778, y=0.02, z=0.10111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=0.07, z=-0.14)>	COMP<57>
