[1740779518.1394985]	Q_Header<(2621443, 33304, 257, 173, 250, 8, 58, 0, 48)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 0, 0, 0, 0, 8, 0, 0, 17, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 230, 253, 253, 223, 238, 173, 253, 253, 253, 203, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83, 94, 193, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7481673510697898, y=-0.6525865000520634, z=0.04296865843964203, w=0.11193823803736291)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=-0.03888888888888889, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.22, y=0.08, z=0.06)>	COMP<58>
[1740779518.148627]	Q_Header<(2621443, 33305, 257, 173, 250, 8, 58, 1, 51)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 26, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 239, 177, 91, 192, 171, 0, 208, 115, 253, 253, 253, 243, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 221, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7486197991912129, y=-0.65224224819872, z=0.043153216308861604, w=0.1108433392035257)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.05333333333333334, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=0.05, z=0.04)>	COMP<64>
[1740779518.1586704]	Q_Header<(2621443, 33306, 257, 173, 250, 8, 58, 2, 48)>	Q_Data<(0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 234, 253, 253, 253, 253, 253, 253, 253, 253, 248, 172, 200, 163, 90, 0, 34, 93, 117, 98, 207, 0, 253, 253, 253, 215, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7486197991912129, y=-0.65224224819872, z=0.043153216308861604, w=0.1108433392035257)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.05333333333333334, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=0.05, z=0.04)>	COMP<64>
[1740779518.1686606]	Q_Header<(2621443, 33307, 257, 173, 250, 8, 58, 3, 48)>	Q_Data<(0, 0, 47, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 13, 6, 0, 23, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 253, 253, 253, 253, 253, 253, 253, 253, 197, 164, 25, 48, 0, 133, 0, 33, 0, 86, 157, 0, 239, 253, 253, 128, 150, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7486197991912129, y=-0.65224224819872, z=0.043153216308861604, w=0.1108433392035257)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.05333333333333334, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=0.05, z=0.04)>	COMP<64>
[1740779518.1787279]	Q_Header<(2621443, 33308, 257, 173, 250, 8, 58, 4, 47)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 253, 253, 253, 253, 253, 253, 253, 253, 131, 123, 93, 61, 150, 253, 178, 50, 0, 44, 82, 45, 135, 142, 119, 53, 191, 47, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7489676603470381, y=-0.6519821161948546, z=0.04339630075028474, w=0.10992508811710665)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03888888888888889, y=-0.05444444444444444, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.19, y=0.0, z=-0.04)>	COMP<64>
[1740779518.1899264]	Q_Header<(2621443, 33309, 257, 173, 250, 8, 58, 5, 46)>	Q_Data<(0, 0, 60, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 17, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 237, 243, 253, 253, 253, 253, 253, 253, 216, 168, 127, 97, 253, 253, 253, 110, 38, 31, 52, 43, 0, 0, 118, 213, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7489676603470381, y=-0.6519821161948546, z=0.04339630075028474, w=0.10992508811710665)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03888888888888889, y=-0.05444444444444444, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.19, y=0.0, z=-0.04)>	COMP<64>
[1740779518.1986203]	Q_Header<(2621443, 33310, 257, 173, 250, 8, 58, 6, 53)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 12, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 253, 253, 253, 253, 253, 190, 253, 207, 107, 159, 253, 253, 253, 168, 60, 110, 108, 40, 66, 153, 253, 253, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7489676603470381, y=-0.6519821161948546, z=0.04339630075028474, w=0.10992508811710665)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03888888888888889, y=-0.05444444444444444, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.19, y=0.0, z=-0.04)>	COMP<64>
[1740779518.2130642]	Q_Header<(2621443, 33311, 257, 173, 250, 8, 58, 7, 39)>	Q_Data<(0, 0, 61, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 70, 253, 253, 253, 253, 253, 149, 252, 186, 204, 184, 229, 253, 253, 178, 118, 219, 211, 76, 36, 194, 253, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7493584460707052, y=-0.6516983081124802, z=0.043519798977634014, w=0.10889105382342087)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.051111111111111114, y=-0.06333333333333334, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.01, z=0.11)>	COMP<62>
[1740779518.2213616]	Q_Header<(2621443, 33312, 257, 173, 250, 8, 58, 8, 50)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 5, 7, 12, 20, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 161, 253, 253, 138, 84, 229, 184, 253, 253, 221, 231, 253, 253, 129, 143, 253, 253, 165, 61, 183, 253, 253, 253, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7493584460707052, y=-0.6516983081124802, z=0.043519798977634014, w=0.10889105382342087)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.051111111111111114, y=-0.06333333333333334, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.01, z=0.11)>	COMP<62>
[1740779518.2285438]	Q_Header<(2621443, 33313, 257, 173, 250, 8, 58, 9, 40)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 108, 34, 180, 201, 247, 155, 253, 253, 251, 253, 253, 253, 253, 61, 253, 253, 213, 0, 165, 253, 253, 253, 111, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7493584460707052, y=-0.6516983081124802, z=0.043519798977634014, w=0.10889105382342087)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.051111111111111114, y=-0.06333333333333334, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.01, z=0.11)>	COMP<62>
[1740779518.2387075]	Q_Header<(2621443, 33314, 257, 173, 250, 8, 58, 10, 37)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 45, 105, 164, 176, 149, 253, 253, 224, 253, 253, 253, 253, 177, 253, 253, 212, 0, 116, 253, 253, 221, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7493584460707052, y=-0.6516983081124802, z=0.043519798977634014, w=0.10889105382342087)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.051111111111111114, y=-0.06333333333333334, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.01, z=0.11)>	COMP<62>
