[1740779520.638919]	Q_Header<(2621443, 33554, 257, 173, 250, 8, 58, 0, 37)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 249, 253, 253, 253, 253, 253, 253, 253, 110, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 74, 68, 78, 0, 73, 0, 0, 139, 199, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757626953154978, y=-0.6237840083496764, z=0.050354384235663706, w=0.08093322848059403)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.015555555555555555, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.28, y=-0.04, z=0.12)>	COMP<59>
[1740779520.6487718]	Q_Header<(2621443, 33555, 257, 173, 250, 8, 58, 1, 66)>	Q_Data<(0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 0, 0, 0, 0, 7, 0, 0, 0, 16, 15, 0, 6, 12, 0, 0, 17, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 253, 253, 253, 253, 253, 253, 253, 253, 215, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 226, 253, 253, 253, 193, 192, 21, 0, 66, 0, 0, 0, 27, 162, 199, 0, 20, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757555499265582, y=-0.6237172277497638, z=0.05010978021162111, w=0.08166490368227654)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.05333333333333334, z=0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.64, y=-0.34, z=0.47)>	COMP<55>
[1740779520.6587408]	Q_Header<(2621443, 33556, 257, 173, 250, 8, 58, 2, 69)>	Q_Data<(0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 12, 15, 0, 25, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 253, 204, 253, 253, 253, 253, 185, 253, 253, 253, 170, 223, 224, 253, 253, 253, 126, 82, 62, 0, 40, 0, 0, 0, 0, 91, 150, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 154, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757555499265582, y=-0.6237172277497638, z=0.05010978021162111, w=0.08166490368227654)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.05333333333333334, z=0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.64, y=-0.34, z=0.47)>	COMP<55>
[1740779520.668825]	Q_Header<(2621443, 33557, 257, 173, 250, 8, 58, 3, 60)>	Q_Data<(0, 0, 36, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 9, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 122, 74, 253, 253, 253, 253, 67, 113, 235, 176, 120, 211, 226, 253, 253, 253, 173, 31, 0, 0, 0, 0, 0, 0, 0, 51, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757555499265582, y=-0.6237172277497638, z=0.05010978021162111, w=0.08166490368227654)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.05333333333333334, z=0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.64, y=-0.34, z=0.47)>	COMP<55>
[1740779520.678669]	Q_Header<(2621443, 33558, 257, 173, 250, 8, 58, 4, 45)>	Q_Data<(0, 0, 62, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 67, 169, 239, 97, 111, 170, 115, 136, 247, 210, 253, 253, 253, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757183037923588, y=-0.6235532450659169, z=0.04980613233885946, w=0.08343747905296676)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06666666666666667, y=0.06333333333333334, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=1.97, y=-1.5, z=0.4)>	COMP<55>
[1740779520.6886322]	Q_Header<(2621443, 33559, 257, 173, 250, 8, 58, 5, 40)>	Q_Data<(0, 0, 60, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 14, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 141, 67, 151, 23, 83, 130, 63, 120, 209, 186, 253, 253, 253, 193, 54, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757183037923588, y=-0.6235532450659169, z=0.04980613233885946, w=0.08343747905296676)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06666666666666667, y=0.06333333333333334, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=1.97, y=-1.5, z=0.4)>	COMP<55>
[1740779520.6986556]	Q_Header<(2621443, 33560, 257, 173, 250, 8, 58, 6, 45)>	Q_Data<(0, 0, 60, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 0, 12, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 168, 253, 253, 199, 78, 0, 44, 112, 142, 54, 31, 69, 167, 118, 118, 253, 235, 170, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757183037923588, y=-0.6235532450659169, z=0.04980613233885946, w=0.08343747905296676)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06666666666666667, y=0.06333333333333334, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=1.97, y=-1.5, z=0.4)>	COMP<55>
[1740779520.7086864]	Q_Header<(2621443, 33561, 257, 173, 250, 8, 58, 7, 43)>	Q_Data<(0, 0, 61, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 253, 253, 253, 253, 253, 120, 253, 253, 100, 109, 101, 88, 143, 251, 253, 139, 0, 0, 94, 113, 43, 146, 198, 188, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757619135757643, y=-0.6233561308693376, z=0.049011551266824445, w=0.0849614936032623)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.09555555555555556, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.01, z=-0.94)>	COMP<66>
[1740779520.718588]	Q_Header<(2621443, 33562, 257, 173, 250, 8, 58, 8, 45)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 0, 11, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 105, 253, 253, 253, 253, 253, 148, 253, 218, 143, 170, 174, 124, 253, 253, 182, 36, 44, 0, 19, 46, 222, 253, 218, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757619135757643, y=-0.6233561308693376, z=0.049011551266824445, w=0.0849614936032623)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.09555555555555556, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.01, z=-0.94)>	COMP<66>
[1740779520.7287865]	Q_Header<(2621443, 33563, 257, 173, 250, 8, 58, 9, 44)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 13, 9, 19, 0, 0, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 157, 253, 253, 253, 253, 253, 253, 253, 47, 253, 253, 51, 253, 253, 198, 15, 51, 170, 95, 83, 253, 253, 120, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757619135757643, y=-0.6233561308693376, z=0.049011551266824445, w=0.0849614936032623)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.09555555555555556, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.01, z=-0.94)>	COMP<66>
[1740779520.7398314]	Q_Header<(2621443, 33564, 257, 173, 250, 8, 58, 10, 52)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 0, 0, 7, 15, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 59, 132, 198, 253, 253, 253, 253, 253, 241, 253, 253, 180, 191, 253, 113, 107, 176, 253, 170, 104, 253, 253, 233, 175, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7757619135757643, y=-0.6233561308693376, z=0.049011551266824445, w=0.0849614936032623)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.09555555555555556, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.01, z=-0.94)>	COMP<66>
