[1740779558.1090455]	Q_Header<(2621443, 37304, 257, 173, 250, 8, 58, 0, 62)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 6, 0, 9, 0, 9, 24, 25, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 49, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 214, 178, 253, 253, 253, 253, 205, 107, 137, 0, 0, 0, 0, 13, 0, 0, 187, 160, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.980567263058126, y=0.16613370409835795, z=-0.03387369793335366, w=0.09869147668150066)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0033333333333333335, z=0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.18, z=-0.06)>	COMP<57>
[1740779558.1190069]	Q_Header<(2621443, 37305, 257, 173, 250, 8, 58, 1, 68)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 8, 6, 0, 0, 0, 0, 0, 10, 17, 14, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 29, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 214, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 209, 253, 253, 253, 253, 118, 145, 128, 253, 253, 253, 205, 84, 0, 0, 0, 0, 0, 0, 0, 82, 177, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9804708757797937, y=0.16674840840577668, z=-0.033813549874377846, w=0.09863302634836571)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.17, z=-0.05)>	COMP<56>
[1740779558.1289692]	Q_Header<(2621443, 37306, 257, 173, 250, 8, 58, 2, 52)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 228, 239, 205, 120, 83, 73, 57, 106, 253, 253, 253, 166, 70, 0, 20, 23, 0, 0, 0, 0, 0, 46, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9804708757797937, y=0.16674840840577668, z=-0.033813549874377846, w=0.09863302634836571)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.17, z=-0.05)>	COMP<56>
[1740779558.139029]	Q_Header<(2621443, 37307, 257, 173, 250, 8, 58, 3, 50)>	Q_Data<(0, 0, 46, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8, 0, 24, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 155, 68, 66, 0, 59, 44, 81, 150, 200, 253, 253, 115, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9804708757797937, y=0.16674840840577668, z=-0.033813549874377846, w=0.09863302634836571)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.17, z=-0.05)>	COMP<56>
[1740779558.1489277]	Q_Header<(2621443, 37308, 257, 173, 250, 8, 58, 4, 47)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 10, 0, 0, 0, 10, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 253, 253, 253, 253, 253, 253, 253, 253, 253, 229, 184, 196, 159, 98, 136, 0, 0, 0, 199, 223, 218, 232, 107, 253, 253, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9803717393676351, y=0.16748474989570356, z=-0.03375330418816475, w=0.09839118689208241)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=-0.0011111111111111111, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.18, z=-0.12)>	COMP<56>
[1740779558.1588628]	Q_Header<(2621443, 37309, 257, 173, 250, 8, 58, 5, 43)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 5, 19, 21, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 225, 183, 241, 253, 253, 103, 178, 29, 229, 253, 244, 188, 194, 253, 253, 34, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9803717393676351, y=0.16748474989570356, z=-0.03375330418816475, w=0.09839118689208241)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=-0.0011111111111111111, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.18, z=-0.12)>	COMP<56>
[1740779558.1688662]	Q_Header<(2621443, 37310, 257, 173, 250, 8, 58, 6, 46)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 23, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 179, 253, 253, 253, 253, 253, 215, 201, 253, 194, 177, 253, 253, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9803717393676351, y=0.16748474989570356, z=-0.03375330418816475, w=0.09839118689208241)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=-0.0011111111111111111, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.18, z=-0.12)>	COMP<56>
[1740779558.1789725]	Q_Header<(2621443, 37311, 257, 173, 250, 8, 58, 7, 39)>	Q_Data<(0, 0, 63, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 10, 25, 27, 20, 8, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 253, 253, 253, 253, 253, 253, 253, 253, 253, 183, 196, 253, 253, 253, 253, 253, 177, 89, 134, 251, 253, 253, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9802986837168357, y=0.16803202019005348, z=-0.03369185439335616, w=0.0982068726791849)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.006666666666666667, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.17, z=-0.06)>	COMP<56>
[1740779558.1889205]	Q_Header<(2621443, 37312, 257, 173, 250, 8, 58, 8, 51)>	Q_Data<(0, 0, 63, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 26, 23, 9, 0, 0, 15, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 187, 54, 253, 253, 253, 253, 253, 253, 253, 145, 251, 253, 253, 253, 253, 253, 223, 196, 247, 253, 253, 237, 253, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9802986837168357, y=0.16803202019005348, z=-0.03369185439335616, w=0.0982068726791849)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.006666666666666667, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.17, z=-0.06)>	COMP<56>
[1740779558.1988423]	Q_Header<(2621443, 37313, 257, 173, 250, 8, 58, 9, 38)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 15, 0, 10, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 60, 154, 220, 240, 253, 253, 253, 253, 218, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 98, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9802986837168357, y=0.16803202019005348, z=-0.03369185439335616, w=0.0982068726791849)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.006666666666666667, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.17, z=-0.06)>	COMP<56>
[1740779558.2089698]	Q_Header<(2621443, 37314, 257, 173, 250, 8, 58, 10, 48)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 25, 0, 0, 14, 0, 0, 7, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 53, 55, 169, 173, 253, 253, 230, 253, 253, 253, 253, 253, 226, 225, 237, 170, 253, 253, 253, 253, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9802986837168357, y=0.16803202019005348, z=-0.03369185439335616, w=0.0982068726791849)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.006666666666666667, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.17, z=-0.06)>	COMP<56>
