[1740779578.0988848]	Q_Header<(2621443, 39304, 257, 173, 250, 8, 58, 0, 28)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 12, 14, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 107, 253, 253, 68, 253, 42, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.857195114089934, y=0.5045878672872034, z=-0.06952045250273675, w=0.07599031024223639)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.01888888888888889, z=0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=0.11, z=-0.05)>	COMP<18>
[1740779578.1090124]	Q_Header<(2621443, 39305, 257, 173, 250, 8, 58, 1, 36)>	Q_Data<(0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 6, 17, 0, 0, 12, 0, 27, 0, 7, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 99, 253, 253, 69, 172, 161, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8569368275949519, y=0.5050678239564265, z=-0.06915309299608836, w=0.07605009167972294)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.016666666666666666, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.1, z=-0.13)>	COMP<18>
[1740779578.1190515]	Q_Header<(2621443, 39306, 257, 173, 250, 8, 58, 2, 40)>	Q_Data<(0, 0, 16, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 0, 8, 0, 0, 0, 0, 6, 0, 11, 0, 0, 0, 0, 7, 0, 17, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 148, 164, 0, 215, 253, 253, 105, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8569368275949519, y=0.5050678239564265, z=-0.06915309299608836, w=0.07605009167972294)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.016666666666666666, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.1, z=-0.13)>	COMP<18>
[1740779578.1290507]	Q_Header<(2621443, 39307, 257, 173, 250, 8, 58, 3, 40)>	Q_Data<(0, 0, 56, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 91, 176, 216, 127, 253, 253, 253, 238, 174, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8569368275949519, y=0.5050678239564265, z=-0.06915309299608836, w=0.07605009167972294)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.016666666666666666, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.1, z=-0.13)>	COMP<18>
[1740779578.1392086]	Q_Header<(2621443, 39308, 257, 173, 250, 8, 58, 4, 48)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 11, 0, 8, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 52, 49, 57, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 76, 0, 235, 237, 203, 253, 172, 253, 253, 253, 253, 248, 221, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8569368275949519, y=0.5050678239564265, z=-0.06915309299608836, w=0.07605009167972294)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.016666666666666666, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.1, z=-0.13)>	COMP<18>
[1740779578.149088]	Q_Header<(2621443, 39309, 257, 173, 250, 8, 58, 5, 51)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 26, 17, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 20, 96, 102, 127, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 39, 0, 0, 0, 0, 0, 0, 74, 0, 0, 101, 204, 188, 125, 253, 253, 253, 253, 253, 253, 253, 253, 253, 218, 243, 54, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.856674578318208, y=0.5055454212175632, z=-0.06884646083947982, w=0.07610951832165898)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.011111111111111112, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.11, z=-0.04)>	COMP<20>
[1740779578.1591513]	Q_Header<(2621443, 39310, 257, 173, 250, 8, 58, 6, 57)>	Q_Data<(0, 0, 60, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 31, 20, 24, 0, 14, 0, 0, 24, 0, 16, 56, 27, 49, 55, 142, 233, 253, 197, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 165, 173, 78, 0, 0, 0, 136, 173, 10, 0, 133, 253, 213, 253, 253, 253, 253, 253, 253, 253, 253, 253, 128, 253, 192, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.856674578318208, y=0.5055454212175632, z=-0.06884646083947982, w=0.07610951832165898)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.011111111111111112, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.11, z=-0.04)>	COMP<20>
[1740779578.1691535]	Q_Header<(2621443, 39311, 257, 173, 250, 8, 58, 7, 58)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 26, 20, 24, 0, 0, 7, 0, 17, 11, 35, 78, 74, 100, 146, 205, 253, 253, 253, 117, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 205, 253, 253, 175, 67, 20, 0, 173, 186, 46, 0, 106, 253, 155, 253, 253, 253, 253, 253, 253, 253, 253, 164, 144, 253, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.856674578318208, y=0.5055454212175632, z=-0.06884646083947982, w=0.07610951832165898)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.011111111111111112, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.11, z=-0.04)>	COMP<20>
[1740779578.1791823]	Q_Header<(2621443, 39312, 257, 173, 250, 8, 58, 8, 58)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 21, 8, 15, 0, 0, 15, 20, 31, 26, 50, 51, 141, 230, 175, 226, 253, 253, 246, 142, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 253, 253, 253, 219, 52, 0, 32, 164, 199, 126, 0, 38, 208, 121, 253, 253, 253, 253, 253, 253, 253, 253, 0, 146, 229, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8563197682412861, y=0.5061624973645749, z=-0.06872530713041256, w=0.07611053107604303)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.005555555555555556, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.1, z=-0.03)>	COMP<16>
[1740779578.189112]	Q_Header<(2621443, 39313, 257, 173, 250, 8, 58, 9, 61)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 17, 0, 0, 7, 25, 61, 45, 139, 211, 188, 253, 129, 253, 253, 253, 197, 123, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 253, 253, 253, 226, 0, 39, 135, 205, 253, 215, 0, 0, 88, 103, 198, 124, 253, 253, 253, 253, 253, 189, 0, 0, 117, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8563197682412861, y=0.5061624973645749, z=-0.06872530713041256, w=0.07611053107604303)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.005555555555555556, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.1, z=-0.03)>	COMP<16>
[1740779578.1991293]	Q_Header<(2621443, 39314, 257, 173, 250, 8, 58, 10, 61)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 25, 18, 0, 16, 0, 8, 6, 47, 105, 127, 234, 253, 187, 253, 73, 253, 253, 253, 129, 73, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 253, 253, 241, 174, 0, 0, 166, 243, 253, 236, 0, 0, 0, 0, 76, 0, 186, 253, 253, 253, 161, 81, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8563197682412861, y=0.5061624973645749, z=-0.06872530713041256, w=0.07611053107604303)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.005555555555555556, z=0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.1, z=-0.03)>	COMP<16>
