[1740779583.099068]	Q_Header<(2621443, 39804, 257, 173, 250, 8, 58, 0, 36)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 28, 18, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 19, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 198, 193, 153, 100, 253, 253, 234, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334780014172091, y=0.5441166068127138, z=-0.065306199583803, w=0.07061614291444866)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.008888888888888889, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.0, z=-0.12)>	COMP<232>
[1740779583.1092772]	Q_Header<(2621443, 39805, 257, 173, 250, 8, 58, 1, 44)>	Q_Data<(0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10, 0, 0, 14, 0, 0, 8, 0, 0, 0, 0, 31, 0, 25, 39, 0, 39, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 103, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334840744972628, y=0.5441205714808947, z=-0.06506253832850631, w=0.07073872600632158)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.014444444444444444, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.01, z=-0.03)>	COMP<231>
[1740779583.1190763]	Q_Header<(2621443, 39806, 257, 173, 250, 8, 58, 2, 50)>	Q_Data<(0, 0, 16, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 0, 25, 13, 4, 0, 0, 0, 0, 34, 49, 36, 29, 22, 56, 101, 114, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 55, 122, 63, 0, 0, 109, 181, 162, 0, 253, 253, 253, 253, 253, 253, 253, 253, 211, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334840744972628, y=0.5441205714808947, z=-0.06506253832850631, w=0.07073872600632158)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.014444444444444444, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.01, z=-0.03)>	COMP<231>
[1740779583.1344898]	Q_Header<(2621443, 39807, 257, 173, 250, 8, 58, 3, 56)>	Q_Data<(0, 0, 57, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 8, 22, 0, 20, 22, 15, 0, 0, 0, 19, 42, 20, 8, 149, 196, 187, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 183, 100, 48, 0, 0, 119, 204, 97, 0, 61, 197, 253, 253, 221, 253, 253, 253, 253, 253, 253, 253, 253, 253, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334840744972628, y=0.5441205714808947, z=-0.06506253832850631, w=0.07073872600632158)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.014444444444444444, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.01, z=-0.03)>	COMP<231>
[1740779583.139146]	Q_Header<(2621443, 39808, 257, 173, 250, 8, 58, 4, 56)>	Q_Data<(0, 0, 60, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 18, 7, 13, 18, 0, 25, 35, 37, 0, 9, 64, 48, 82, 129, 118, 228, 253, 228, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 159, 253, 217, 116, 0, 0, 162, 248, 140, 10, 7, 221, 253, 253, 253, 253, 253, 253, 253, 253, 157, 186, 199, 253, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334840744972628, y=0.5441205714808947, z=-0.06506253832850631, w=0.07073872600632158)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.014444444444444444, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.01, z=-0.03)>	COMP<231>
[1740779583.1491408]	Q_Header<(2621443, 39809, 257, 173, 250, 8, 58, 5, 59)>	Q_Data<(0, 0, 60, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 15, 0, 10, 0, 0, 17, 27, 29, 55, 31, 108, 167, 179, 252, 199, 253, 253, 244, 138, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 148, 162, 253, 253, 149, 10, 0, 152, 253, 251, 67, 39, 194, 243, 253, 253, 253, 253, 253, 253, 253, 133, 115, 86, 207, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334295647265236, y=0.5442469006712861, z=-0.06463580439731882, w=0.07080031454286104)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=-0.02666666666666667, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.03, z=-0.02)>	COMP<232>
[1740779583.159126]	Q_Header<(2621443, 39810, 257, 173, 250, 8, 58, 6, 62)>	Q_Data<(0, 0, 60, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 18, 0, 0, 13, 0, 11, 21, 21, 19, 46, 72, 218, 253, 253, 253, 207, 253, 253, 253, 123, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 134, 135, 253, 253, 148, 52, 30, 112, 253, 253, 121, 63, 107, 145, 178, 189, 253, 253, 253, 253, 253, 181, 0, 0, 136, 43, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334295647265236, y=0.5442469006712861, z=-0.06463580439731882, w=0.07080031454286104)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=-0.02666666666666667, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.03, z=-0.02)>	COMP<232>
[1740779583.1733665]	Q_Header<(2621443, 39811, 257, 173, 250, 8, 58, 7, 58)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 26, 0, 4, 0, 0, 20, 8, 18, 46, 130, 117, 253, 253, 253, 253, 184, 253, 253, 237, 99, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 74, 156, 184, 165, 113, 15, 100, 157, 253, 253, 128, 27, 0, 72, 50, 12, 145, 217, 253, 253, 227, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8334295647265236, y=0.5442469006712861, z=-0.06463580439731882, w=0.07080031454286104)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=-0.02666666666666667, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.03, z=-0.02)>	COMP<232>
[1740779583.1791596]	Q_Header<(2621443, 39812, 257, 173, 250, 8, 58, 8, 54)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 0, 10, 8, 17, 12, 0, 23, 80, 163, 162, 253, 111, 181, 220, 201, 253, 252, 170, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 231, 150, 70, 37, 0, 88, 164, 224, 253, 82, 0, 0, 0, 0, 0, 24, 114, 125, 131, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8333850122455448, y=0.5443797366499205, z=-0.06408775910779421, w=0.07080171482384884)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.028888888888888888, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.03, z=-0.1)>	COMP<232>
[1740779583.1890757]	Q_Header<(2621443, 39813, 257, 173, 250, 8, 58, 9, 51)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 7, 12, 22, 23, 0, 5, 43, 153, 183, 111, 253, 253, 173, 193, 162, 192, 138, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 161, 253, 204, 46, 0, 0, 79, 115, 163, 178, 0, 0, 0, 0, 0, 0, 0, 48, 60, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8333850122455448, y=0.5443797366499205, z=-0.06408775910779421, w=0.07080171482384884)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.028888888888888888, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.03, z=-0.1)>	COMP<232>
[1740779583.1990318]	Q_Header<(2621443, 39814, 257, 173, 250, 8, 58, 10, 44)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 26, 20, 12, 9, 0, 13, 12, 110, 227, 253, 147, 253, 253, 171, 253, 209, 162, 76, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 253, 253, 116, 59, 0, 0, 0, 0, 31, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8333850122455448, y=0.5443797366499205, z=-0.06408775910779421, w=0.07080171482384884)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.028888888888888888, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.03, z=-0.1)>	COMP<232>
