[1740779588.099152]	Q_Header<(2621443, 40304, 257, 173, 250, 8, 58, 0, 59)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 4, 0, 0, 7, 0, 0, 21, 26, 121, 177, 213, 253, 253, 253, 253, 253, 253, 179, 161, 30, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 142, 148, 68, 96, 57, 0, 91, 123, 144, 0, 0, 0, 78, 107, 82, 84, 199, 253, 253, 253, 140, 26, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7952660415597249, y=0.5987993195504575, z=-0.06780817898486988, w=0.06628234237404922)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.015555555555555555, z=0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.05, z=-0.02)>	COMP<246>
[1740779588.109171]	Q_Header<(2621443, 40305, 257, 173, 250, 8, 58, 1, 45)>	Q_Data<(0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 18, 0, 0, 0, 0, 0, 0, 44, 108, 189, 253, 253, 253, 253, 253, 253, 232, 253, 176, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 253, 253, 74, 70, 0, 0, 111, 177, 97, 0, 0, 0, 0, 0, 0, 0, 0, 167, 233, 169, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7950822881012307, y=0.5990429613659, z=-0.06793019011719274, w=0.06616022110245906)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.014444444444444444, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.03, z=0.01)>	COMP<250>
[1740779588.1193593]	Q_Header<(2621443, 40306, 257, 173, 250, 8, 58, 2, 39)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 253, 253, 253, 241, 253, 253, 253, 253, 143, 94, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 253, 253, 107, 59, 0, 0, 131, 152, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7950822881012307, y=0.5990429613659, z=-0.06793019011719274, w=0.06616022110245906)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.014444444444444444, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.03, z=0.01)>	COMP<250>
[1740779588.1291351]	Q_Header<(2621443, 40307, 257, 173, 250, 8, 58, 3, 42)>	Q_Data<(0, 0, 59, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 11, 15, 11, 0, 0, 0, 0, 124, 253, 253, 253, 212, 253, 253, 253, 253, 198, 120, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 253, 253, 171, 0, 0, 0, 71, 58, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7950822881012307, y=0.5990429613659, z=-0.06793019011719274, w=0.06616022110245906)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.014444444444444444, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.03, z=0.01)>	COMP<250>
[1740779588.1391797]	Q_Header<(2621443, 40308, 257, 173, 250, 8, 58, 4, 37)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 27, 24, 0, 0, 0, 0, 32, 127, 253, 253, 253, 239, 213, 231, 253, 253, 137, 101, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 253, 224, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7950822881012307, y=0.5990429613659, z=-0.06793019011719274, w=0.06616022110245906)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.014444444444444444, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.03, z=0.01)>	COMP<250>
[1740779588.1491117]	Q_Header<(2621443, 40309, 257, 173, 250, 8, 58, 5, 37)>	Q_Data<(0, 0, 60, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 41, 19, 10, 0, 0, 39, 77, 176, 253, 253, 253, 207, 253, 253, 216, 188, 49, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 190, 131, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7948694582287228, y=0.5993106972546901, z=-0.06811597292353948, w=0.06610179092848859)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.011111111111111112, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.05, z=-0.01)>	COMP<250>
[1740779588.1590912]	Q_Header<(2621443, 40310, 257, 173, 250, 8, 58, 6, 35)>	Q_Data<(0, 0, 60, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 45, 49, 24, 14, 0, 56, 106, 253, 253, 253, 253, 253, 253, 253, 106, 108, 55, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 111, 123, 22, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7948694582287228, y=0.5993106972546901, z=-0.06811597292353948, w=0.06610179092848859)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.011111111111111112, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.05, z=-0.01)>	COMP<250>
[1740779588.169135]	Q_Header<(2621443, 40311, 257, 173, 250, 8, 58, 7, 34)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 51, 86, 24, 0, 2, 52, 133, 253, 253, 253, 253, 253, 223, 117, 78, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 122, 83, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7948694582287228, y=0.5993106972546901, z=-0.06811597292353948, w=0.06610179092848859)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.011111111111111112, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.05, z=-0.01)>	COMP<250>
[1740779588.179117]	Q_Header<(2621443, 40312, 257, 173, 250, 8, 58, 8, 34)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 138, 125, 52, 19, 6, 87, 180, 188, 253, 253, 253, 253, 227, 157, 74, 41, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 111, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7946342210911631, y=0.5996225968200005, z=-0.0680556998630192, w=0.0661635682973209)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.005555555555555556, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.05, z=0.0)>	COMP<250>
[1740779588.1890585]	Q_Header<(2621443, 40313, 257, 173, 250, 8, 58, 9, 30)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 210, 163, 78, 38, 64, 56, 229, 152, 253, 253, 253, 253, 253, 157, 23, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7946342210911631, y=0.5996225968200005, z=-0.0680556998630192, w=0.0661635682973209)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.005555555555555556, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.05, z=0.0)>	COMP<250>
[1740779588.1990192]	Q_Header<(2621443, 40314, 257, 173, 250, 8, 58, 10, 28)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 236, 247, 201, 62, 71, 126, 195, 253, 253, 253, 253, 249, 253, 253, 112, 76, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7946342210911631, y=0.5996225968200005, z=-0.0680556998630192, w=0.0661635682973209)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.005555555555555556, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.05, z=0.0)>	COMP<250>
