[1740779593.0990846]	Q_Header<(2621443, 40804, 257, 173, 250, 8, 58, 0, 37)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 9, 20, 0, 0, 0, 2, 97, 253, 253, 253, 253, 163, 232, 253, 243, 171, 86, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 23, 189, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7860784804124883, y=0.6106619455335776, z=-0.06982481416196029, w=0.06555231679191027)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.005555555555555556, z=0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.01, z=-0.1)>	COMP<253>
[1740779593.1100934]	Q_Header<(2621443, 40805, 257, 173, 250, 8, 58, 1, 40)>	Q_Data<(0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 58, 33, 13, 0, 16, 33, 40, 128, 253, 253, 163, 253, 253, 162, 251, 218, 133, 49, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 253, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7859405516766356, y=0.6108937626567869, z=-0.06957926760203188, w=0.06530685643348606)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.0, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.01, z=-0.14)>	COMP<253>
[1740779593.1190808]	Q_Header<(2621443, 40806, 257, 173, 250, 8, 58, 2, 33)>	Q_Data<(0, 0, 4, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 79, 38, 0, 11, 34, 68, 59, 134, 253, 253, 253, 253, 253, 161, 165, 166, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 171, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7859405516766356, y=0.6108937626567869, z=-0.06957926760203188, w=0.06530685643348606)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.0, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.01, z=-0.14)>	COMP<253>
[1740779593.1291614]	Q_Header<(2621443, 40807, 257, 173, 250, 8, 58, 3, 40)>	Q_Data<(0, 0, 52, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 122, 47, 17, 14, 13, 57, 51, 164, 228, 253, 253, 253, 253, 149, 153, 103, 23, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 91, 202, 253, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7859405516766356, y=0.6108937626567869, z=-0.06957926760203188, w=0.06530685643348606)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.0, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.01, z=-0.14)>	COMP<253>
[1740779593.1396008]	Q_Header<(2621443, 40808, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 204, 104, 29, 51, 95, 99, 103, 232, 253, 253, 253, 253, 253, 170, 151, 39, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 122, 41, 0, 0, 90, 179, 236, 120, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7859405516766356, y=0.6108937626567869, z=-0.06957926760203188, w=0.06530685643348606)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.0, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.01, z=-0.14)>	COMP<253>
[1740779593.149141]	Q_Header<(2621443, 40809, 257, 173, 250, 8, 58, 5, 41)>	Q_Data<(0, 0, 60, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 243, 209, 144, 71, 95, 230, 253, 130, 253, 253, 253, 174, 199, 215, 132, 105, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 162, 82, 0, 0, 0, 88, 136, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7857662254164525, y=0.6111447269764594, z=-0.06945797456298919, w=0.06518551567071394)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.0044444444444444444, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=0.0, z=-0.07)>	COMP<254>
[1740779593.1591015]	Q_Header<(2621443, 40810, 257, 173, 250, 8, 58, 6, 35)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 125, 105, 129, 117, 253, 253, 253, 181, 253, 201, 253, 253, 236, 108, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 151, 66, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7857662254164525, y=0.6111447269764594, z=-0.06945797456298919, w=0.06518551567071394)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.0044444444444444444, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=0.0, z=-0.07)>	COMP<254>
[1740779593.1690917]	Q_Header<(2621443, 40811, 257, 173, 250, 8, 58, 7, 32)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 237, 214, 169, 168, 253, 253, 253, 253, 144, 100, 253, 253, 222, 128, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 99, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7857662254164525, y=0.6111447269764594, z=-0.06945797456298919, w=0.06518551567071394)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.0044444444444444444, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=0.0, z=-0.07)>	COMP<254>
[1740779593.179124]	Q_Header<(2621443, 40812, 257, 173, 250, 8, 58, 8, 27)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 253, 245, 178, 191, 253, 253, 253, 253, 86, 137, 245, 232, 177, 101, 51, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7856509204318117, y=0.6113330965696883, z=-0.0692754657155148, w=0.06500297003261961)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.0077777777777777776, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=-0.02, z=-0.08)>	COMP<258>
[1740779593.18928]	Q_Header<(2621443, 40813, 257, 173, 250, 8, 58, 9, 27)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 253, 253, 220, 236, 253, 253, 216, 253, 253, 168, 151, 174, 160, 53, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7856509204318117, y=0.6113330965696883, z=-0.0692754657155148, w=0.06500297003261961)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.0077777777777777776, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=-0.02, z=-0.08)>	COMP<258>
[1740779593.1989899]	Q_Header<(2621443, 40814, 257, 173, 250, 8, 58, 10, 19)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 226, 82, 101, 175, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7856509204318117, y=0.6113330965696883, z=-0.0692754657155148, w=0.06500297003261961)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.0077777777777777776, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.14, y=-0.02, z=-0.08)>	COMP<258>
