[1740779690.5697346]	Q_Header<(2621443, 50554, 257, 173, 250, 8, 58, 0, 39)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 253, 192, 253, 253, 230, 147, 210, 73, 38, 57, 9, 89, 253, 253, 142, 108, 138, 134, 145, 56, 0, 22, 0, 11, 65, 107, 137, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7513476884769513, y=-0.6533245863084718, z=0.044433884420082906, w=0.08166557328855897)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.03222222222222222, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.09, z=0.09)>	COMP<169>
[1740779690.579888]	Q_Header<(2621443, 50555, 257, 173, 250, 8, 58, 1, 39)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 253, 232, 253, 253, 76, 211, 234, 147, 67, 53, 53, 86, 192, 219, 184, 175, 163, 157, 154, 46, 0, 0, 0, 29, 122, 171, 212, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7513557260058499, y=-0.6532705390284818, z=0.04419021491699718, w=0.08215473657220747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.03666666666666667, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.07, z=0.04)>	COMP<168>
[1740779690.5898468]	Q_Header<(2621443, 50556, 257, 173, 250, 8, 58, 2, 42)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 112, 248, 253, 253, 253, 139, 199, 246, 190, 85, 0, 59, 134, 214, 216, 253, 253, 156, 147, 129, 16, 0, 0, 31, 49, 174, 205, 235, 184, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7513557260058499, y=-0.6532705390284818, z=0.04419021491699718, w=0.08215473657220747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.03666666666666667, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.07, z=0.04)>	COMP<168>
[1740779690.5998693]	Q_Header<(2621443, 50557, 257, 173, 250, 8, 58, 3, 41)>	Q_Data<(0, 0, 54, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 145, 253, 253, 253, 253, 134, 194, 253, 194, 86, 79, 146, 208, 253, 253, 253, 253, 163, 91, 86, 29, 9, 0, 62, 116, 203, 249, 217, 176, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7513557260058499, y=-0.6532705390284818, z=0.04419021491699718, w=0.08215473657220747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.03666666666666667, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.07, z=0.04)>	COMP<168>
[1740779690.609854]	Q_Header<(2621443, 50558, 257, 173, 250, 8, 58, 4, 42)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 78, 149, 245, 253, 253, 253, 138, 116, 209, 158, 71, 88, 186, 236, 253, 253, 253, 253, 172, 0, 51, 21, 0, 51, 129, 204, 164, 252, 168, 154, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7514001556678875, y=-0.6531950666848941, z=0.043639924563604875, w=0.08264119980296643)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.09, z=0.0)>	COMP<168>
[1740779690.6198554]	Q_Header<(2621443, 50559, 257, 173, 250, 8, 58, 5, 42)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 43, 150, 195, 253, 253, 253, 229, 253, 215, 201, 222, 104, 196, 241, 253, 253, 253, 226, 188, 0, 41, 19, 0, 109, 164, 251, 168, 192, 91, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7514001556678875, y=-0.6531950666848941, z=0.043639924563604875, w=0.08264119980296643)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.09, z=0.0)>	COMP<168>
[1740779690.6297858]	Q_Header<(2621443, 50560, 257, 173, 250, 8, 58, 6, 37)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 119, 168, 252, 253, 253, 253, 253, 253, 253, 253, 253, 226, 175, 241, 236, 253, 253, 253, 194, 36, 3, 10, 15, 102, 117, 220, 191, 110, 42, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7514001556678875, y=-0.6531950666848941, z=0.043639924563604875, w=0.08264119980296643)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.09, z=0.0)>	COMP<168>
[1740779690.639842]	Q_Header<(2621443, 50561, 257, 173, 250, 8, 58, 7, 47)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 12, 119, 121, 191, 253, 253, 194, 253, 253, 253, 253, 253, 253, 253, 139, 231, 230, 253, 188, 253, 180, 79, 52, 0, 11, 75, 119, 150, 144, 80, 19, 21, 29, 19, 0, 0, 0, 0, 0, 35, 51, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7514001556678875, y=-0.6531950666848941, z=0.043639924563604875, w=0.08264119980296643)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.09, z=0.0)>	COMP<168>
[1740779690.6499047]	Q_Header<(2621443, 50562, 257, 173, 250, 8, 58, 8, 51)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 107, 202, 253, 253, 157, 235, 249, 232, 211, 253, 253, 253, 116, 200, 190, 110, 178, 253, 137, 120, 88, 53, 97, 116, 163, 97, 65, 61, 0, 19, 0, 0, 0, 0, 0, 0, 0, 84, 98, 61, 0, 15, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7513913062909654, y=-0.6531873738872481, z=0.04321217162326403, w=0.08300643136672187)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.03777777777777778, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.12, z=-0.01)>	COMP<172>
[1740779690.65995]	Q_Header<(2621443, 50563, 257, 173, 250, 8, 58, 9, 54)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 197, 253, 253, 253, 249, 249, 229, 253, 253, 253, 253, 132, 159, 115, 145, 243, 225, 86, 113, 85, 130, 153, 74, 124, 40, 0, 20, 0, 40, 115, 72, 0, 0, 0, 91, 0, 114, 133, 33, 11, 14, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7513913062909654, y=-0.6531873738872481, z=0.04321217162326403, w=0.08300643136672187)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.03777777777777778, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.12, z=-0.01)>	COMP<172>
[1740779690.6699586]	Q_Header<(2621443, 50564, 257, 173, 250, 8, 58, 10, 53)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 110, 204, 253, 253, 253, 253, 225, 233, 253, 253, 253, 154, 131, 119, 173, 198, 122, 71, 123, 176, 171, 171, 0, 75, 0, 0, 0, 7, 86, 218, 170, 31, 13, 85, 204, 144, 147, 236, 170, 40, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7513913062909654, y=-0.6531873738872481, z=0.04321217162326403, w=0.08300643136672187)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.03777777777777778, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.12, z=-0.01)>	COMP<172>
