[1740779695.569917]	Q_Header<(2621443, 51054, 257, 173, 250, 8, 58, 0, 40)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 121, 168, 253, 253, 253, 253, 162, 229, 231, 139, 99, 46, 113, 118, 253, 149, 253, 169, 172, 97, 72, 0, 0, 62, 185, 253, 159, 235, 121, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.778037943248765, y=-0.6212340304688108, z=0.03973505146739986, w=0.08453616940452965)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.023333333333333334, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.13, z=-0.21)>	COMP<162>
[1740779695.579958]	Q_Header<(2621443, 51055, 257, 173, 250, 8, 58, 1, 41)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 72, 159, 248, 253, 253, 236, 187, 218, 221, 223, 148, 91, 98, 49, 218, 253, 253, 222, 183, 77, 45, 36, 27, 137, 161, 251, 183, 90, 103, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7776520052765249, y=-0.6217065635151623, z=0.040161291850871465, w=0.08441195536436966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.021111111111111112, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.1, z=-0.25)>	COMP<162>
[1740779695.589871]	Q_Header<(2621443, 51056, 257, 173, 250, 8, 58, 2, 40)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 111, 86, 130, 239, 253, 149, 156, 221, 248, 253, 253, 188, 100, 157, 186, 253, 253, 225, 149, 43, 51, 44, 38, 163, 191, 190, 217, 107, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7776520052765249, y=-0.6217065635151623, z=0.040161291850871465, w=0.08441195536436966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.021111111111111112, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.1, z=-0.25)>	COMP<162>
[1740779695.5999177]	Q_Header<(2621443, 51057, 257, 173, 250, 8, 58, 3, 44)>	Q_Data<(0, 0, 51, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 44, 131, 253, 242, 253, 222, 98, 229, 241, 253, 253, 253, 126, 181, 228, 253, 211, 253, 152, 26, 56, 18, 30, 143, 175, 142, 168, 85, 43, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7776520052765249, y=-0.6217065635151623, z=0.040161291850871465, w=0.08441195536436966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.021111111111111112, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.1, z=-0.25)>	COMP<162>
[1740779695.609965]	Q_Header<(2621443, 51058, 257, 173, 250, 8, 58, 4, 54)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 19, 176, 253, 253, 253, 253, 160, 178, 214, 253, 253, 253, 174, 154, 193, 205, 113, 253, 140, 76, 84, 19, 69, 131, 143, 97, 86, 0, 0, 0, 38, 39, 0, 0, 0, 11, 0, 28, 4, 33, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7773191626644645, y=-0.6221116696795609, z=0.04046502864687029, w=0.08434791793359689)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.015555555555555555, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.11, z=-0.15)>	COMP<164>
[1740779695.6199765]	Q_Header<(2621443, 51059, 257, 173, 250, 8, 58, 5, 58)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 184, 253, 253, 236, 253, 162, 237, 220, 253, 253, 253, 204, 112, 106, 160, 128, 195, 79, 140, 117, 51, 110, 99, 93, 52, 0, 0, 0, 0, 60, 52, 0, 0, 0, 93, 76, 80, 100, 144, 37, 44, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7773191626644645, y=-0.6221116696795609, z=0.04046502864687029, w=0.08434791793359689)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.015555555555555555, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.11, z=-0.15)>	COMP<164>
[1740779695.6299143]	Q_Header<(2621443, 51060, 257, 173, 250, 8, 58, 6, 53)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 94, 147, 246, 253, 214, 253, 232, 253, 253, 253, 253, 253, 173, 122, 23, 147, 204, 112, 93, 184, 228, 126, 124, 67, 50, 0, 25, 0, 59, 104, 94, 29, 3, 0, 69, 184, 156, 90, 208, 228, 83, 56, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7773191626644645, y=-0.6221116696795609, z=0.04046502864687029, w=0.08434791793359689)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.015555555555555555, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.11, z=-0.15)>	COMP<164>
[1740779695.640479]	Q_Header<(2621443, 51061, 257, 173, 250, 8, 58, 7, 64)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 88, 201, 253, 253, 182, 253, 253, 253, 253, 253, 136, 156, 130, 44, 167, 253, 180, 120, 208, 253, 204, 108, 86, 2, 0, 6, 0, 102, 189, 195, 144, 35, 35, 88, 217, 173, 142, 253, 253, 74, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7770213629385253, y=-0.6224837703723212, z=0.04058747988014448, w=0.08428768378117221)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.011111111111111112, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=-0.22)>	COMP<166>
[1740779695.649975]	Q_Header<(2621443, 51062, 257, 173, 250, 8, 58, 8, 72)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 54, 207, 253, 253, 253, 252, 253, 253, 253, 253, 252, 210, 146, 86, 145, 236, 181, 152, 194, 253, 253, 95, 90, 29, 39, 0, 32, 109, 229, 253, 226, 60, 85, 65, 201, 163, 202, 253, 253, 58, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 253, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 186, 179, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 128, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7770213629385253, y=-0.6224837703723212, z=0.04058747988014448, w=0.08428768378117221)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.011111111111111112, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=-0.22)>	COMP<166>
[1740779695.660031]	Q_Header<(2621443, 51063, 257, 173, 250, 8, 58, 9, 76)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 191, 253, 253, 253, 162, 163, 210, 253, 253, 253, 218, 169, 132, 143, 172, 163, 181, 146, 253, 253, 99, 76, 84, 102, 43, 93, 82, 219, 253, 253, 120, 64, 31, 153, 104, 247, 253, 213, 151, 130, 51, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 253, 231, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 232, 253, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 224, 68, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7770213629385253, y=-0.6224837703723212, z=0.04058747988014448, w=0.08428768378117221)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.011111111111111112, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=-0.22)>	COMP<166>
[1740779695.6700783]	Q_Header<(2621443, 51064, 257, 173, 250, 8, 58, 10, 85)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 30, 120, 205, 253, 253, 159, 239, 142, 253, 253, 253, 175, 98, 188, 160, 136, 169, 207, 117, 253, 253, 53, 63, 134, 142, 79, 122, 68, 196, 253, 248, 124, 67, 80, 123, 110, 253, 253, 191, 166, 169, 87, 79, 71, 51, 0, 13, 0, 112, 167, 17, 0, 0, 0, 233, 253, 238, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 253, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 143, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7770213629385253, y=-0.6224837703723212, z=0.04058747988014448, w=0.08428768378117221)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.011111111111111112, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=-0.22)>	COMP<166>
