[1740779703.0699182]	Q_Header<(2621443, 51804, 257, 173, 250, 8, 58, 0, 44)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 107, 142, 238, 175, 182, 204, 136, 153, 253, 253, 120, 116, 95, 252, 253, 253, 188, 209, 49, 27, 0, 0, 93, 161, 200, 202, 199, 28, 46, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7761871716292333, y=-0.6235986736286763, z=0.039673009480144815, w=0.08416781549710724)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.013333333333333334, z=0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.1, z=-0.03)>	COMP<194>
[1740779703.0800364]	Q_Header<(2621443, 51805, 257, 173, 250, 8, 58, 1, 49)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 117, 110, 160, 239, 245, 224, 248, 210, 253, 253, 253, 250, 123, 108, 156, 253, 253, 253, 192, 51, 50, 0, 0, 121, 167, 120, 179, 153, 42, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7763696198458712, y=-0.6233540037331669, z=0.03942883446701516, w=0.08441188555399684)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.021111111111111112, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.08, z=-0.07)>	COMP<196>
[1740779703.089993]	Q_Header<(2621443, 51806, 257, 173, 250, 8, 58, 2, 48)>	Q_Data<(0, 0, 15, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 123, 104, 253, 253, 253, 189, 253, 253, 253, 253, 253, 253, 147, 111, 159, 253, 253, 253, 110, 28, 57, 0, 10, 116, 163, 90, 128, 91, 43, 19, 0, 0, 0, 0, 0, 0, 4, 11, 14, 43, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7763696198458712, y=-0.6233540037331669, z=0.03942883446701516, w=0.08441188555399684)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.021111111111111112, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.08, z=-0.07)>	COMP<196>
[1740779703.0999963]	Q_Header<(2621443, 51807, 257, 173, 250, 8, 58, 3, 55)>	Q_Data<(0, 0, 57, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 253, 253, 253, 177, 253, 253, 253, 199, 253, 253, 197, 91, 234, 253, 253, 253, 112, 0, 64, 28, 43, 85, 117, 72, 69, 50, 29, 0, 13, 44, 0, 0, 0, 0, 0, 58, 94, 80, 0, 88, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7763696198458712, y=-0.6233540037331669, z=0.03942883446701516, w=0.08441188555399684)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.021111111111111112, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.08, z=-0.07)>	COMP<196>
[1740779703.110114]	Q_Header<(2621443, 51808, 257, 173, 250, 8, 58, 4, 57)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 253, 253, 253, 245, 253, 253, 209, 253, 253, 253, 227, 60, 205, 233, 239, 223, 83, 46, 59, 55, 88, 78, 65, 46, 0, 18, 0, 32, 57, 69, 27, 0, 52, 150, 153, 117, 176, 114, 62, 76, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.776462428447495, y=-0.6232084465396456, z=0.03912218335441316, w=0.08477490277578766)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.035555555555555556, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.11, z=-0.02)>	COMP<195>
[1740779703.1200926]	Q_Header<(2621443, 51809, 257, 173, 250, 8, 58, 5, 65)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 253, 253, 205, 253, 253, 253, 227, 253, 253, 253, 226, 84, 122, 147, 153, 135, 20, 129, 89, 74, 73, 54, 18, 0, 0, 5, 25, 120, 82, 127, 55, 20, 104, 253, 253, 165, 226, 174, 76, 37, 60, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.776462428447495, y=-0.6232084465396456, z=0.03912218335441316, w=0.08477490277578766)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.035555555555555556, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.11, z=-0.02)>	COMP<195>
[1740779703.1301825]	Q_Header<(2621443, 51810, 257, 173, 250, 8, 58, 6, 76)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 253, 253, 208, 253, 189, 197, 231, 253, 253, 253, 218, 176, 124, 34, 79, 84, 91, 208, 104, 191, 143, 108, 0, 33, 31, 0, 104, 220, 131, 175, 88, 0, 115, 253, 253, 215, 208, 235, 85, 48, 0, 20, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 36, 148, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 160, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.776462428447495, y=-0.6232084465396456, z=0.03912218335441316, w=0.08477490277578766)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.035555555555555556, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.11, z=-0.02)>	COMP<195>
[1740779703.1402526]	Q_Header<(2621443, 51811, 257, 173, 250, 8, 58, 7, 74)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 77, 100, 217, 253, 234, 253, 253, 253, 117, 253, 253, 253, 212, 232, 199, 82, 39, 71, 98, 253, 91, 253, 211, 95, 27, 0, 0, 28, 147, 253, 216, 170, 91, 36, 69, 253, 253, 183, 164, 253, 240, 144, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 253, 171, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 195, 253, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.776462428447495, y=-0.6232084465396456, z=0.03912218335441316, w=0.08477490277578766)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.035555555555555556, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.11, z=-0.02)>	COMP<195>
[1740779703.1501744]	Q_Header<(2621443, 51812, 257, 173, 250, 8, 58, 8, 82)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 115, 107, 128, 241, 213, 253, 253, 253, 158, 253, 253, 228, 209, 253, 240, 118, 56, 86, 120, 253, 253, 253, 237, 77, 91, 68, 30, 18, 152, 253, 229, 175, 69, 91, 64, 130, 145, 102, 253, 253, 253, 229, 201, 57, 0, 33, 0, 0, 0, 27, 109, 94, 0, 0, 0, 178, 253, 220, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 253, 253, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7765366751166233, y=-0.6230969831223458, z=0.0387566445570271, w=0.08508151576770988)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.034444444444444444, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.09, z=-0.08)>	COMP<195>
[1740779703.1607704]	Q_Header<(2621443, 51813, 257, 173, 250, 8, 58, 9, 75)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 138, 91, 59, 151, 149, 220, 253, 253, 144, 225, 253, 169, 235, 253, 253, 218, 101, 85, 188, 253, 253, 253, 215, 67, 117, 135, 146, 134, 124, 245, 205, 124, 76, 121, 135, 93, 12, 107, 253, 253, 253, 253, 253, 127, 0, 95, 0, 0, 58, 95, 208, 145, 16, 52, 0, 180, 253, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 249, 244, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7765366751166233, y=-0.6230969831223458, z=0.0387566445570271, w=0.08508151576770988)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.034444444444444444, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.09, z=-0.08)>	COMP<195>
[1740779703.1702116]	Q_Header<(2621443, 51814, 257, 173, 250, 8, 58, 10, 83)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 29, 99, 63, 55, 115, 115, 253, 253, 183, 91, 93, 177, 253, 253, 253, 253, 201, 72, 205, 253, 253, 158, 137, 44, 91, 138, 227, 253, 101, 178, 157, 87, 117, 129, 142, 84, 54, 108, 215, 253, 199, 251, 253, 148, 34, 113, 44, 0, 63, 143, 243, 148, 59, 93, 0, 117, 224, 132, 0, 0, 34, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 115, 167, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7765366751166233, y=-0.6230969831223458, z=0.0387566445570271, w=0.08508151576770988)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.034444444444444444, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.09, z=-0.08)>	COMP<195>
