[1740779705.5699532]	Q_Header<(2621443, 52054, 257, 173, 250, 8, 58, 0, 37)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 253, 253, 253, 253, 253, 192, 225, 190, 185, 78, 133, 202, 253, 253, 253, 206, 170, 91, 25, 36, 0, 0, 0, 185, 253, 253, 223, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.767622395838962, y=-0.6346296948345016, z=0.03649822634266513, w=0.08166325559613033)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=-0.023333333333333334, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=-0.04)>	COMP<195>
[1740779705.5800397]	Q_Header<(2621443, 52055, 257, 173, 250, 8, 58, 1, 41)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 253, 253, 253, 253, 194, 124, 242, 232, 246, 115, 94, 191, 253, 253, 253, 225, 183, 76, 45, 12, 0, 17, 32, 182, 253, 211, 151, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7671930142309085, y=-0.6351161898239327, z=0.036925359873484456, w=0.08172406094313336)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.027777777777777776, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.09, z=0.06)>	COMP<196>
[1740779705.5899427]	Q_Header<(2621443, 52056, 257, 173, 250, 8, 58, 2, 40)>	Q_Data<(0, 0, 9, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81, 161, 184, 172, 252, 223, 152, 190, 236, 253, 253, 116, 46, 142, 253, 253, 253, 253, 151, 9, 37, 0, 0, 19, 40, 122, 196, 118, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7671930142309085, y=-0.6351161898239327, z=0.036925359873484456, w=0.08172406094313336)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.027777777777777776, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.09, z=0.06)>	COMP<196>
[1740779705.6002455]	Q_Header<(2621443, 52057, 257, 173, 250, 8, 58, 3, 48)>	Q_Data<(0, 0, 59, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 105, 100, 196, 253, 253, 182, 170, 195, 123, 224, 197, 97, 137, 149, 250, 253, 253, 253, 124, 31, 70, 51, 29, 28, 34, 55, 100, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 39, 0, 28, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7671930142309085, y=-0.6351161898239327, z=0.036925359873484456, w=0.08172406094313336)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.027777777777777776, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.09, z=0.06)>	COMP<196>
[1740779705.6101384]	Q_Header<(2621443, 52058, 257, 173, 250, 8, 58, 4, 58)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 98, 253, 253, 253, 206, 226, 135, 216, 126, 204, 183, 188, 167, 253, 249, 253, 253, 175, 53, 120, 85, 76, 67, 16, 0, 12, 0, 16, 0, 0, 47, 0, 0, 0, 45, 47, 51, 93, 0, 90, 40, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7667306864639363, y=-0.6356259647218143, z=0.03747593070282255, w=0.08184889751219061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=-0.028888888888888888, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=0.06)>	COMP<196>
[1740779705.6200662]	Q_Header<(2621443, 52059, 257, 173, 250, 8, 58, 5, 54)>	Q_Data<(0, 0, 60, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 253, 253, 253, 238, 253, 194, 230, 253, 253, 247, 203, 133, 225, 208, 200, 253, 171, 25, 62, 51, 47, 61, 16, 38, 0, 37, 16, 82, 56, 25, 0, 0, 53, 207, 253, 99, 151, 70, 154, 49, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7667306864639363, y=-0.6356259647218143, z=0.03747593070282255, w=0.08184889751219061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=-0.028888888888888888, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=0.06)>	COMP<196>
[1740779705.6300244]	Q_Header<(2621443, 52060, 257, 173, 250, 8, 58, 6, 68)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 110, 145, 242, 253, 253, 225, 253, 253, 221, 253, 253, 253, 148, 138, 153, 119, 133, 215, 136, 80, 83, 90, 105, 101, 46, 31, 38, 67, 51, 154, 119, 72, 55, 0, 93, 253, 253, 146, 253, 182, 155, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7667306864639363, y=-0.6356259647218143, z=0.03747593070282255, w=0.08184889751219061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=-0.028888888888888888, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=0.06)>	COMP<196>
[1740779705.64011]	Q_Header<(2621443, 52061, 257, 173, 250, 8, 58, 7, 77)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 72, 113, 162, 203, 253, 248, 253, 225, 220, 253, 253, 253, 144, 174, 180, 81, 56, 148, 155, 186, 240, 231, 59, 95, 0, 0, 21, 47, 91, 219, 150, 194, 106, 65, 91, 253, 253, 59, 253, 249, 144, 15, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 96, 253, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 162, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 156, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7667306864639363, y=-0.6356259647218143, z=0.03747593070282255, w=0.08184889751219061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=-0.028888888888888888, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=0.06)>	COMP<196>
[1740779705.6501863]	Q_Header<(2621443, 52062, 257, 173, 250, 8, 58, 8, 77)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 54, 103, 253, 253, 240, 130, 178, 244, 253, 253, 84, 192, 184, 93, 72, 169, 188, 253, 253, 253, 141, 0, 61, 56, 44, 60, 113, 227, 67, 253, 156, 109, 58, 227, 253, 34, 231, 253, 173, 55, 80, 56, 0, 33, 28, 0, 0, 0, 0, 0, 0, 0, 0, 192, 253, 253, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 253, 253, 253, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7661625729808675, y=-0.6362207170200401, z=0.03832949062630326, w=0.08215206111943342)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=-0.024444444444444446, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.07)>	COMP<197>
[1740779705.6601253]	Q_Header<(2621443, 52063, 257, 173, 250, 8, 58, 9, 82)>	Q_Data<(0, 0, 64, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 52, 103, 253, 253, 225, 223, 194, 239, 253, 253, 221, 212, 110, 115, 83, 194, 183, 253, 253, 253, 143, 0, 126, 146, 132, 169, 118, 177, 87, 253, 155, 119, 56, 128, 209, 73, 184, 228, 188, 99, 129, 86, 76, 112, 54, 0, 26, 131, 83, 42, 0, 0, 0, 235, 253, 253, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 143, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7661625729808675, y=-0.6362207170200401, z=0.03832949062630326, w=0.08215206111943342)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=-0.024444444444444446, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.07)>	COMP<197>
[1740779705.6714978]	Q_Header<(2621443, 52064, 257, 173, 250, 8, 58, 10, 83)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 84, 46, 135, 253, 253, 253, 253, 253, 204, 253, 179, 253, 253, 240, 240, 196, 176, 114, 253, 253, 253, 115, 0, 150, 204, 221, 253, 128, 120, 139, 223, 166, 105, 80, 80, 127, 37, 193, 253, 166, 114, 161, 110, 121, 155, 55, 0, 120, 253, 253, 106, 56, 0, 0, 210, 253, 253, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 212, 253, 234, 19, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7661625729808675, y=-0.6362207170200401, z=0.03832949062630326, w=0.08215206111943342)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=-0.024444444444444446, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.07)>	COMP<197>
