[1740779710.569988]	Q_Header<(2621443, 52554, 257, 173, 250, 8, 58, 0, 40)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 205, 253, 253, 253, 190, 253, 253, 150, 21, 66, 100, 202, 232, 179, 248, 203, 54, 66, 80, 35, 0, 0, 0, 0, 32, 0, 60, 119, 127, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7193282604994526, y=-0.688138040633927, z=0.04962357876843912, w=0.08105794908301002)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03222222222222222, y=-0.0033333333333333335, z=0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.08, z=0.07)>	COMP<195>
[1740779710.580036]	Q_Header<(2621443, 52555, 257, 173, 250, 8, 58, 1, 40)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 247, 253, 253, 253, 199, 253, 253, 164, 100, 75, 74, 140, 158, 170, 253, 250, 88, 118, 141, 62, 0, 0, 0, 0, 30, 4, 133, 206, 224, 96, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7197780332297591, y=-0.6876129332965712, z=0.04998712873867317, w=0.0812977478387212)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.0077777777777777776, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.12, z=0.01)>	COMP<191>
[1740779710.5900338]	Q_Header<(2621443, 52556, 257, 173, 250, 8, 58, 2, 38)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 234, 253, 253, 253, 253, 253, 253, 206, 154, 84, 79, 73, 104, 197, 253, 207, 102, 130, 157, 64, 0, 0, 7, 0, 0, 96, 193, 246, 252, 110, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7197780332297591, y=-0.6876129332965712, z=0.04998712873867317, w=0.0812977478387212)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.0077777777777777776, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.12, z=0.01)>	COMP<191>
[1740779710.600039]	Q_Header<(2621443, 52557, 257, 173, 250, 8, 58, 3, 47)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 84, 209, 253, 253, 252, 253, 253, 253, 188, 164, 97, 81, 43, 76, 159, 226, 87, 157, 105, 131, 46, 0, 0, 0, 0, 103, 195, 253, 252, 212, 71, 33, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7197780332297591, y=-0.6876129332965712, z=0.04998712873867317, w=0.0812977478387212)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.0077777777777777776, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.12, z=0.01)>	COMP<191>
[1740779710.6100664]	Q_Header<(2621443, 52558, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 154, 152, 193, 117, 235, 253, 252, 253, 120, 138, 104, 89, 54, 49, 121, 150, 228, 244, 40, 84, 30, 0, 0, 10, 0, 164, 253, 253, 216, 149, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7204126160406477, y=-0.6869036330527365, z=0.050293992681309296, w=0.08148359251158727)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.005555555555555556, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.11, z=-0.06)>	COMP<191>
[1740779710.620026]	Q_Header<(2621443, 52559, 257, 173, 250, 8, 58, 5, 42)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 147, 188, 228, 251, 163, 253, 251, 168, 205, 161, 151, 94, 77, 27, 215, 250, 253, 253, 91, 46, 0, 27, 0, 41, 53, 170, 253, 253, 177, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7204126160406477, y=-0.6869036330527365, z=0.050293992681309296, w=0.08148359251158727)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.005555555555555556, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.11, z=-0.06)>	COMP<191>
[1740779710.6300216]	Q_Header<(2621443, 52560, 257, 173, 250, 8, 58, 6, 45)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 148, 174, 248, 253, 253, 253, 253, 105, 118, 79, 188, 142, 114, 88, 180, 158, 253, 253, 152, 84, 21, 31, 0, 66, 117, 112, 253, 253, 121, 26, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7204126160406477, y=-0.6869036330527365, z=0.050293992681309296, w=0.08148359251158727)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.005555555555555556, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.11, z=-0.06)>	COMP<191>
[1740779710.6401687]	Q_Header<(2621443, 52561, 257, 173, 250, 8, 58, 7, 53)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 139, 171, 209, 253, 253, 253, 253, 201, 206, 179, 241, 237, 156, 97, 73, 224, 253, 253, 178, 57, 35, 0, 0, 51, 128, 71, 165, 160, 86, 0, 34, 0, 0, 0, 0, 15, 0, 0, 70, 24, 0, 42, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7208903097937958, y=-0.6864052513708431, z=0.05035428884767433, w=0.08142135917914856)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0044444444444444444, z=0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.1, z=0.0)>	COMP<194>
[1740779710.650067]	Q_Header<(2621443, 52562, 257, 173, 250, 8, 58, 8, 54)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 161, 186, 202, 253, 253, 253, 253, 225, 239, 220, 236, 253, 242, 82, 174, 253, 253, 253, 181, 16, 95, 94, 32, 40, 100, 51, 54, 15, 0, 0, 27, 17, 33, 0, 0, 25, 28, 77, 167, 104, 0, 83, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7208903097937958, y=-0.6864052513708431, z=0.05035428884767433, w=0.08142135917914856)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0044444444444444444, z=0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.1, z=0.0)>	COMP<194>
[1740779710.6600592]	Q_Header<(2621443, 52563, 257, 173, 250, 8, 58, 9, 56)>	Q_Data<(0, 0, 64, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 141, 211, 253, 253, 253, 253, 253, 206, 142, 187, 142, 253, 253, 79, 176, 250, 223, 253, 166, 47, 89, 127, 89, 75, 62, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 95, 142, 164, 253, 183, 91, 80, 71, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7208903097937958, y=-0.6864052513708431, z=0.05035428884767433, w=0.08142135917914856)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0044444444444444444, z=0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.1, z=0.0)>	COMP<194>
[1740779710.6701002]	Q_Header<(2621443, 52564, 257, 173, 250, 8, 58, 10, 57)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 161, 189, 253, 253, 253, 253, 253, 123, 189, 142, 154, 253, 253, 133, 134, 174, 162, 222, 140, 65, 125, 138, 124, 91, 27, 14, 37, 0, 11, 16, 82, 120, 66, 0, 0, 159, 222, 244, 253, 221, 133, 84, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7208903097937958, y=-0.6864052513708431, z=0.05035428884767433, w=0.08142135917914856)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0044444444444444444, z=0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.1, z=0.0)>	COMP<194>
