[1740779713.070078]	Q_Header<(2621443, 52804, 257, 173, 250, 8, 58, 0, 39)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 146, 181, 253, 253, 253, 253, 194, 158, 110, 125, 44, 76, 152, 156, 150, 212, 172, 28, 59, 74, 46, 0, 0, 0, 0, 0, 16, 98, 128, 150, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7234312923881856, y=-0.6847359882985788, z=0.040526312169556676, w=0.07836714582185357)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=0.022222222222222223, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=-0.17)>	COMP<194>
[1740779713.0800881]	Q_Header<(2621443, 52805, 257, 173, 250, 8, 58, 1, 45)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 136, 244, 253, 253, 253, 253, 164, 195, 143, 135, 56, 27, 44, 72, 117, 208, 195, 34, 105, 144, 78, 9, 0, 0, 0, 0, 69, 147, 203, 215, 53, 15, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7229044355656951, y=-0.6853065689405289, z=0.04003928653589125, w=0.0784916501298112)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.015555555555555555, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=-0.19)>	COMP<194>
[1740779713.0900197]	Q_Header<(2621443, 52806, 257, 173, 250, 8, 58, 2, 41)>	Q_Data<(0, 0, 10, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 245, 253, 253, 253, 253, 253, 229, 108, 83, 90, 55, 72, 69, 124, 253, 253, 76, 91, 155, 88, 45, 0, 0, 0, 98, 112, 142, 224, 224, 56, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7229044355656951, y=-0.6853065689405289, z=0.04003928653589125, w=0.0784916501298112)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.015555555555555555, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=-0.19)>	COMP<194>
[1740779713.100066]	Q_Header<(2621443, 52807, 257, 173, 250, 8, 58, 3, 42)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 231, 253, 253, 242, 253, 205, 143, 98, 106, 65, 71, 30, 243, 253, 253, 174, 71, 123, 66, 35, 0, 0, 46, 144, 144, 111, 183, 194, 54, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7229044355656951, y=-0.6853065689405289, z=0.04003928653589125, w=0.0784916501298112)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.015555555555555555, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=-0.19)>	COMP<194>
[1740779713.1101003]	Q_Header<(2621443, 52808, 257, 173, 250, 8, 58, 4, 41)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 104, 209, 141, 253, 253, 253, 166, 203, 125, 137, 78, 42, 81, 253, 253, 253, 253, 52, 84, 35, 35, 0, 18, 87, 162, 166, 185, 99, 132, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7225704172039541, y=-0.6856454148888605, z=0.03979355621395203, w=0.0787326495644143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.014444444444444444, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.09, z=-0.18)>	COMP<192>
[1740779713.1200125]	Q_Header<(2621443, 52809, 257, 173, 250, 8, 58, 5, 40)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 195, 253, 253, 253, 241, 156, 205, 67, 217, 114, 35, 109, 253, 253, 253, 253, 34, 63, 20, 22, 0, 48, 128, 154, 175, 189, 26, 49, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7225704172039541, y=-0.6856454148888605, z=0.03979355621395203, w=0.0787326495644143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.014444444444444444, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.09, z=-0.18)>	COMP<192>
[1740779713.130108]	Q_Header<(2621443, 52810, 257, 173, 250, 8, 58, 6, 47)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 182, 253, 253, 253, 217, 185, 227, 180, 253, 162, 97, 120, 253, 253, 253, 253, 96, 62, 23, 0, 0, 53, 133, 131, 166, 154, 30, 0, 0, 5, 0, 0, 0, 0, 7, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7225704172039541, y=-0.6856454148888605, z=0.03979355621395203, w=0.0787326495644143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.014444444444444444, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.09, z=-0.18)>	COMP<192>
[1740779713.141267]	Q_Header<(2621443, 52811, 257, 173, 250, 8, 58, 7, 49)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 158, 253, 253, 253, 253, 243, 239, 207, 253, 220, 150, 123, 253, 253, 253, 253, 186, 102, 51, 45, 29, 35, 99, 86, 136, 114, 0, 0, 26, 0, 0, 0, 0, 0, 0, 54, 89, 0, 0, 0, 82, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7222371805132032, y=-0.6859818872465048, z=0.039795372407217824, w=0.07885831464743163)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.006666666666666667, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.07)>	COMP<192>
[1740779713.1500282]	Q_Header<(2621443, 52812, 257, 173, 250, 8, 58, 8, 52)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 94, 203, 253, 253, 253, 253, 253, 217, 134, 253, 253, 175, 115, 239, 253, 253, 253, 213, 107, 91, 113, 72, 32, 65, 30, 79, 53, 0, 0, 47, 11, 0, 0, 0, 0, 50, 117, 179, 62, 58, 0, 109, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7222371805132032, y=-0.6859818872465048, z=0.039795372407217824, w=0.07885831464743163)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.006666666666666667, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.07)>	COMP<192>
[1740779713.1600184]	Q_Header<(2621443, 52813, 257, 173, 250, 8, 58, 9, 54)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 139, 224, 253, 223, 253, 253, 253, 209, 170, 253, 253, 167, 88, 177, 253, 253, 253, 184, 89, 118, 145, 95, 60, 0, 36, 37, 37, 0, 0, 0, 42, 22, 0, 0, 62, 126, 135, 210, 122, 87, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7222371805132032, y=-0.6859818872465048, z=0.039795372407217824, w=0.07885831464743163)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.006666666666666667, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.07)>	COMP<192>
[1740779713.1701066]	Q_Header<(2621443, 52814, 257, 173, 250, 8, 58, 10, 63)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 223, 253, 253, 253, 212, 253, 253, 249, 205, 253, 203, 14, 94, 155, 213, 253, 149, 78, 52, 99, 71, 52, 30, 0, 55, 0, 21, 0, 72, 133, 106, 29, 0, 107, 201, 233, 253, 190, 150, 94, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 121, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7222371805132032, y=-0.6859818872465048, z=0.039795372407217824, w=0.07885831464743163)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.006666666666666667, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.07)>	COMP<192>
