[1740779715.570017]	Q_Header<(2621443, 53054, 257, 173, 250, 8, 58, 0, 36)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 87, 253, 253, 253, 253, 240, 253, 206, 145, 122, 164, 214, 214, 221, 164, 83, 32, 19, 50, 18, 0, 0, 0, 0, 0, 0, 13, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6995971802250475, y=-0.7084474324613615, z=0.05377291186339791, w=0.07599009678766219)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.02666666666666667, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.14, z=0.0)>	COMP<192>
[1740779715.5800786]	Q_Header<(2621443, 53055, 257, 173, 250, 8, 58, 1, 39)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 190, 234, 253, 253, 253, 140, 253, 195, 62, 58, 103, 217, 124, 221, 157, 99, 0, 25, 37, 0, 0, 0, 0, 0, 0, 0, 36, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6993406457609779, y=-0.7087400574774372, z=0.05377195923506908, w=0.07562253971878614)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.014444444444444444, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.13, z=-0.04)>	COMP<192>
[1740779715.590012]	Q_Header<(2621443, 53056, 257, 173, 250, 8, 58, 2, 41)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 197, 170, 244, 253, 110, 229, 178, 180, 69, 8, 96, 172, 69, 235, 253, 253, 74, 39, 26, 39, 27, 0, 0, 25, 0, 0, 52, 83, 151, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6993406457609779, y=-0.7087400574774372, z=0.05377195923506908, w=0.07562253971878614)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.014444444444444444, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.13, z=-0.04)>	COMP<192>
[1740779715.6000752]	Q_Header<(2621443, 53057, 257, 173, 250, 8, 58, 3, 42)>	Q_Data<(0, 0, 51, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 224, 239, 189, 245, 253, 175, 134, 73, 28, 65, 100, 57, 253, 253, 253, 135, 78, 68, 88, 30, 26, 0, 29, 0, 64, 152, 100, 253, 173, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6993406457609779, y=-0.7087400574774372, z=0.05377195923506908, w=0.07562253971878614)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.014444444444444444, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.13, z=-0.04)>	COMP<192>
[1740779715.610115]	Q_Header<(2621443, 53058, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 162, 253, 253, 252, 253, 253, 250, 218, 192, 94, 50, 58, 64, 253, 253, 253, 186, 98, 96, 91, 30, 14, 0, 21, 0, 98, 228, 158, 253, 233, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.699055441821811, y=-0.709065490931981, z=0.053529347985482256, w=0.07538055275036555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.0022222222222222222, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.11, z=0.01)>	COMP<191>
[1740779715.6200318]	Q_Header<(2621443, 53059, 257, 173, 250, 8, 58, 5, 41)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 137, 246, 253, 253, 253, 253, 253, 232, 253, 249, 118, 58, 57, 73, 253, 253, 253, 214, 95, 88, 62, 26, 0, 0, 0, 0, 85, 226, 192, 253, 227, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.699055441821811, y=-0.709065490931981, z=0.053529347985482256, w=0.07538055275036555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.0022222222222222222, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.11, z=0.01)>	COMP<191>
[1740779715.6300342]	Q_Header<(2621443, 53060, 257, 173, 250, 8, 58, 6, 46)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 161, 233, 253, 253, 253, 253, 253, 175, 253, 237, 140, 46, 41, 69, 251, 253, 253, 253, 27, 48, 25, 44, 0, 0, 71, 91, 82, 190, 190, 224, 172, 51, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.699055441821811, y=-0.709065490931981, z=0.053529347985482256, w=0.07538055275036555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.0022222222222222222, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.11, z=0.01)>	COMP<191>
[1740779715.6399868]	Q_Header<(2621443, 53061, 257, 173, 250, 8, 58, 7, 43)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 122, 217, 249, 253, 253, 253, 253, 150, 218, 219, 143, 66, 41, 74, 216, 253, 253, 253, 101, 75, 23, 50, 0, 31, 130, 151, 105, 172, 184, 117, 91, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.699055441821811, y=-0.709065490931981, z=0.053529347985482256, w=0.07538055275036555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.0022222222222222222, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.11, z=0.01)>	COMP<191>
[1740779715.65011]	Q_Header<(2621443, 53062, 257, 173, 250, 8, 58, 8, 47)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 180, 237, 253, 253, 253, 253, 114, 207, 253, 138, 40, 49, 108, 178, 253, 253, 253, 157, 99, 0, 45, 0, 67, 187, 189, 91, 119, 133, 85, 37, 0, 0, 0, 0, 14, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6986042331429502, y=-0.7095904957644539, z=0.05297819975258437, w=0.07501175978793341)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=0.0077777777777777776, z=-0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.13, z=-0.04)>	COMP<190>
[1740779715.6600657]	Q_Header<(2621443, 53063, 257, 173, 250, 8, 58, 9, 52)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 199, 243, 253, 253, 253, 253, 209, 253, 253, 179, 171, 153, 93, 64, 253, 253, 253, 136, 96, 20, 20, 19, 90, 227, 227, 104, 0, 76, 58, 0, 24, 29, 0, 0, 0, 0, 47, 70, 87, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6986042331429502, y=-0.7095904957644539, z=0.05297819975258437, w=0.07501175978793341)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=0.0077777777777777776, z=-0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.13, z=-0.04)>	COMP<190>
[1740779715.6700835]	Q_Header<(2621443, 53064, 257, 173, 250, 8, 58, 10, 53)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 204, 178, 253, 253, 253, 193, 253, 253, 253, 224, 247, 232, 22, 154, 253, 253, 253, 160, 97, 17, 0, 54, 102, 218, 215, 97, 48, 46, 0, 0, 58, 63, 0, 0, 0, 0, 31, 62, 120, 36, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6986042331429502, y=-0.7095904957644539, z=0.05297819975258437, w=0.07501175978793341)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=0.0077777777777777776, z=-0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.13, z=-0.04)>	COMP<190>
