[1740779718.0700793]	Q_Header<(2621443, 53304, 257, 173, 250, 8, 58, 0, 43)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 250, 253, 253, 251, 232, 230, 216, 253, 172, 112, 136, 164, 244, 213, 78, 96, 60, 58, 29, 0, 6, 0, 0, 0, 4, 0, 32, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6906075935337971, y=-0.7172797560061144, z=0.05126914525571274, w=0.07708682197376808)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.042222222222222223, y=-0.051111111111111114, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.15, z=0.11)>	COMP<190>
[1740779718.080065]	Q_Header<(2621443, 53305, 257, 173, 250, 8, 58, 1, 34)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 229, 253, 253, 253, 253, 253, 194, 192, 143, 81, 87, 157, 201, 253, 97, 59, 55, 45, 22, 17, 0, 0, 0, 0, 0, 0, 36, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6903800792398942, y=-0.7174191009977646, z=0.05236903085384397, w=0.07708867828485425)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=-0.043333333333333335, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.15, z=0.11)>	COMP<193>
[1740779718.0899804]	Q_Header<(2621443, 53306, 257, 173, 250, 8, 58, 2, 36)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 253, 253, 253, 253, 253, 241, 117, 98, 40, 34, 158, 164, 246, 205, 180, 0, 20, 0, 0, 0, 0, 0, 17, 0, 0, 35, 42, 68, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6903800792398942, y=-0.7174191009977646, z=0.05236903085384397, w=0.07708867828485425)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=-0.043333333333333335, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.15, z=0.11)>	COMP<193>
[1740779718.1000273]	Q_Header<(2621443, 53307, 257, 173, 250, 8, 58, 3, 41)>	Q_Data<(0, 0, 55, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 140, 241, 110, 253, 253, 253, 226, 126, 60, 32, 55, 137, 135, 204, 253, 253, 61, 24, 3, 0, 0, 0, 0, 8, 24, 0, 66, 114, 148, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6903800792398942, y=-0.7174191009977646, z=0.05236903085384397, w=0.07708867828485425)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=-0.043333333333333335, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.15, z=0.11)>	COMP<193>
[1740779718.1101143]	Q_Header<(2621443, 53308, 257, 173, 250, 8, 58, 4, 44)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 143, 115, 204, 215, 253, 253, 165, 253, 175, 144, 80, 59, 108, 111, 197, 253, 253, 91, 74, 30, 14, 0, 18, 6, 0, 42, 0, 120, 189, 220, 167, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6901848835214437, y=-0.7175286072407226, z=0.05334467529162909, w=0.07714836335082285)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=-0.035555555555555556, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.17, z=0.04)>	COMP<194>
[1740779718.1200712]	Q_Header<(2621443, 53309, 257, 173, 250, 8, 58, 5, 44)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 159, 206, 247, 212, 216, 253, 253, 253, 215, 172, 89, 59, 69, 83, 166, 253, 253, 115, 89, 35, 17, 0, 0, 14, 0, 54, 50, 163, 226, 253, 213, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6901848835214437, y=-0.7175286072407226, z=0.05334467529162909, w=0.07714836335082285)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=-0.035555555555555556, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.17, z=0.04)>	COMP<194>
[1740779718.1301112]	Q_Header<(2621443, 53310, 257, 173, 250, 8, 58, 6, 48)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 155, 219, 168, 184, 241, 207, 229, 253, 228, 218, 111, 45, 49, 54, 167, 253, 253, 170, 34, 0, 9, 17, 0, 0, 0, 26, 66, 173, 230, 253, 214, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6901848835214437, y=-0.7175286072407226, z=0.05334467529162909, w=0.07714836335082285)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=-0.035555555555555556, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.17, z=0.04)>	COMP<194>
[1740779718.1402788]	Q_Header<(2621443, 53311, 257, 173, 250, 8, 58, 7, 48)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 145, 236, 84, 144, 253, 253, 181, 168, 229, 253, 176, 58, 65, 80, 233, 253, 154, 173, 108, 67, 0, 38, 0, 0, 43, 34, 150, 157, 202, 228, 167, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6901848835214437, y=-0.7175286072407226, z=0.05334467529162909, w=0.07714836335082285)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=-0.035555555555555556, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.17, z=0.04)>	COMP<194>
[1740779718.1500692]	Q_Header<(2621443, 53312, 257, 173, 250, 8, 58, 8, 43)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 235, 138, 205, 253, 253, 253, 97, 253, 253, 109, 142, 50, 89, 253, 253, 232, 253, 180, 79, 20, 0, 0, 31, 96, 66, 179, 196, 148, 151, 101, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6898600149878876, y=-0.7177522583612809, z=0.05444175293012437, w=0.07720719445807996)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.027777777777777776, y=-0.028888888888888888, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.18, z=-0.04)>	COMP<194>
[1740779718.1600807]	Q_Header<(2621443, 53313, 257, 173, 250, 8, 58, 9, 46)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 211, 111, 215, 253, 253, 246, 176, 253, 253, 253, 238, 100, 106, 253, 253, 253, 253, 216, 83, 48, 0, 0, 46, 151, 167, 71, 132, 110, 95, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6898600149878876, y=-0.7177522583612809, z=0.05444175293012437, w=0.07720719445807996)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.027777777777777776, y=-0.028888888888888888, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.18, z=-0.04)>	COMP<194>
[1740779718.1724875]	Q_Header<(2621443, 53314, 257, 173, 250, 8, 58, 10, 50)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 211, 119, 221, 253, 253, 218, 249, 253, 253, 253, 253, 219, 141, 219, 215, 253, 253, 223, 83, 44, 51, 48, 40, 172, 203, 80, 27, 40, 49, 7, 0, 0, 0, 0, 0, 0, 46, 110, 81, 59, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6898600149878876, y=-0.7177522583612809, z=0.05444175293012437, w=0.07720719445807996)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.027777777777777776, y=-0.028888888888888888, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.18, z=-0.04)>	COMP<194>
