[1740779748.0404346]	Q_Header<(2621443, 56304, 257, 173, 250, 8, 58, 0, 87)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 245, 165, 81, 143, 124, 190, 253, 253, 212, 188, 253, 253, 253, 253, 253, 245, 253, 201, 198, 253, 253, 62, 64, 15, 0, 18, 159, 253, 206, 62, 106, 97, 253, 253, 253, 111, 93, 122, 120, 55, 35, 253, 253, 253, 12, 43, 0, 46, 28, 197, 253, 253, 153, 173, 57, 39, 0, 40, 134, 207, 132, 123, 253, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 152, 184, 0, 0, 0, 0, 0, 0, 81, 59, 221, 180, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7976025222148025, y=-0.5960046395337883, z=0.03198222540867436, w=0.08709663293545479)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.021111111111111112, z=-0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.1, z=0.0)>	COMP<155>
[1740779748.0505638]	Q_Header<(2621443, 56305, 257, 173, 250, 8, 58, 1, 90)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 253, 168, 63, 108, 145, 230, 253, 253, 185, 253, 253, 241, 253, 253, 253, 253, 253, 185, 163, 241, 216, 71, 35, 53, 67, 116, 142, 222, 161, 62, 105, 225, 253, 253, 243, 216, 210, 103, 102, 89, 55, 184, 253, 185, 0, 0, 0, 64, 126, 98, 141, 130, 77, 95, 26, 0, 0, 0, 107, 183, 125, 86, 253, 231, 26, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 129, 0, 0, 0, 0, 0, 0, 214, 236, 253, 253, 191, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7976211586384817, y=-0.5960185655115376, z=0.032410226143023704, w=0.08667141454443252)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.023333333333333334, z=-0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.13, z=-0.03)>	COMP<154>
[1740779748.0604205]	Q_Header<(2621443, 56306, 257, 173, 250, 8, 58, 2, 86)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 228, 162, 31, 113, 203, 253, 243, 167, 190, 253, 253, 172, 249, 253, 253, 216, 253, 65, 159, 245, 99, 125, 54, 99, 160, 209, 80, 141, 103, 87, 167, 253, 253, 209, 140, 253, 253, 95, 161, 227, 112, 73, 140, 96, 0, 0, 0, 104, 182, 94, 182, 188, 46, 0, 0, 33, 23, 0, 59, 101, 37, 41, 237, 181, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 229, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7976211586384817, y=-0.5960185655115376, z=0.032410226143023704, w=0.08667141454443252)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.023333333333333334, z=-0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.13, z=-0.03)>	COMP<154>
[1740779748.0704467]	Q_Header<(2621443, 56307, 257, 173, 250, 8, 58, 3, 83)>	Q_Data<(0, 0, 60, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 183, 183, 158, 117, 232, 253, 208, 82, 171, 253, 253, 201, 204, 253, 253, 201, 215, 209, 123, 215, 83, 133, 116, 171, 247, 253, 220, 80, 137, 129, 161, 253, 253, 44, 219, 235, 253, 105, 221, 253, 162, 50, 91, 17, 0, 38, 0, 148, 224, 171, 244, 253, 80, 108, 118, 222, 146, 0, 0, 0, 0, 0, 81, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 211, 253, 253, 199, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7976211586384817, y=-0.5960185655115376, z=0.032410226143023704, w=0.08667141454443252)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.023333333333333334, z=-0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.13, z=-0.03)>	COMP<154>
[1740779748.0803194]	Q_Header<(2621443, 56308, 257, 173, 250, 8, 58, 4, 77)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 169, 249, 253, 80, 195, 253, 129, 140, 118, 216, 253, 245, 253, 253, 253, 253, 156, 219, 214, 65, 94, 98, 177, 218, 253, 253, 253, 230, 243, 172, 139, 204, 184, 160, 253, 253, 154, 108, 202, 253, 200, 69, 75, 46, 41, 62, 0, 131, 218, 204, 214, 253, 99, 158, 203, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 56, 237, 253, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.797596860530709, y=-0.5960614432157104, z=0.03271441056354913, w=0.0864856712099797)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=-0.017777777777777778, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.11, z=-0.05)>	COMP<154>
[1740779748.0904124]	Q_Header<(2621443, 56309, 257, 173, 250, 8, 58, 5, 77)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 165, 242, 253, 142, 119, 211, 99, 135, 59, 153, 217, 220, 211, 234, 253, 253, 213, 139, 230, 207, 226, 133, 190, 216, 253, 253, 253, 253, 253, 174, 183, 174, 124, 196, 253, 253, 204, 78, 116, 253, 206, 28, 25, 54, 47, 55, 65, 110, 172, 156, 143, 167, 94, 148, 237, 253, 253, 54, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.797596860530709, y=-0.5960614432157104, z=0.03271441056354913, w=0.0864856712099797)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=-0.017777777777777778, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.11, z=-0.05)>	COMP<154>
[1740779748.1003919]	Q_Header<(2621443, 56310, 257, 173, 250, 8, 58, 6, 72)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 99, 189, 251, 200, 176, 214, 154, 101, 30, 108, 178, 120, 204, 253, 195, 235, 187, 106, 187, 253, 253, 179, 143, 253, 253, 253, 253, 253, 253, 170, 253, 253, 176, 220, 253, 253, 253, 0, 200, 200, 183, 0, 35, 167, 128, 0, 80, 50, 113, 107, 43, 78, 69, 97, 224, 253, 253, 49, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.797596860530709, y=-0.5960614432157104, z=0.03271441056354913, w=0.0864856712099797)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=-0.017777777777777778, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.11, z=-0.05)>	COMP<154>
[1740779748.1104321]	Q_Header<(2621443, 56311, 257, 173, 250, 8, 58, 7, 70)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 128, 186, 84, 253, 253, 211, 150, 62, 51, 91, 183, 206, 207, 253, 165, 130, 135, 97, 139, 253, 253, 182, 160, 253, 253, 253, 253, 253, 253, 217, 249, 253, 253, 236, 253, 253, 213, 6, 205, 188, 139, 40, 203, 253, 249, 77, 83, 65, 80, 45, 0, 43, 0, 0, 156, 253, 196, 16, 91, 130, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7975360252379614, y=-0.5961226263487541, z=0.033080624908469816, w=0.08648569279575966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=-0.01, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.12, z=0.06)>	COMP<157>
[1740779748.12042]	Q_Header<(2621443, 56312, 257, 173, 250, 8, 58, 8, 75)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 138, 241, 207, 253, 253, 187, 114, 78, 148, 154, 194, 235, 167, 209, 137, 101, 120, 55, 100, 220, 253, 165, 187, 253, 253, 253, 253, 253, 253, 253, 97, 253, 253, 253, 207, 253, 202, 93, 168, 147, 46, 0, 253, 253, 253, 104, 189, 153, 139, 0, 0, 0, 0, 0, 98, 114, 107, 178, 138, 244, 165, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7975360252379614, y=-0.5961226263487541, z=0.033080624908469816, w=0.08648569279575966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=-0.01, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.12, z=0.06)>	COMP<157>
[1740779748.13057]	Q_Header<(2621443, 56313, 257, 173, 250, 8, 58, 9, 80)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 114, 244, 227, 253, 253, 206, 73, 128, 231, 218, 168, 209, 151, 186, 121, 153, 124, 97, 56, 136, 170, 154, 190, 214, 250, 253, 253, 253, 253, 253, 218, 253, 253, 253, 253, 253, 245, 121, 115, 101, 45, 108, 198, 253, 253, 135, 203, 170, 153, 59, 0, 0, 0, 0, 0, 129, 201, 253, 253, 253, 205, 0, 64, 32, 0, 0, 0, 142, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7975360252379614, y=-0.5961226263487541, z=0.033080624908469816, w=0.08648569279575966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=-0.01, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.12, z=0.06)>	COMP<157>
[1740779748.140543]	Q_Header<(2621443, 56314, 257, 173, 250, 8, 58, 10, 82)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 200, 199, 221, 253, 243, 119, 155, 242, 205, 187, 203, 168, 187, 118, 186, 232, 203, 0, 74, 74, 140, 188, 118, 134, 253, 253, 253, 253, 253, 241, 253, 220, 253, 253, 253, 253, 130, 79, 70, 97, 157, 103, 223, 253, 253, 144, 130, 135, 85, 0, 0, 0, 15, 0, 230, 253, 253, 253, 253, 204, 97, 75, 78, 0, 0, 107, 232, 187, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7975360252379614, y=-0.5961226263487541, z=0.033080624908469816, w=0.08648569279575966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=-0.01, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=-0.12, z=0.06)>	COMP<157>
