[1740779750.5406184]	Q_Header<(2621443, 56554, 257, 173, 250, 8, 58, 0, 85)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 253, 182, 15, 193, 251, 253, 253, 253, 253, 188, 145, 240, 253, 163, 164, 253, 253, 253, 98, 199, 88, 228, 93, 68, 8, 28, 0, 122, 156, 34, 115, 253, 253, 253, 253, 130, 138, 107, 173, 96, 34, 246, 253, 253, 53, 0, 39, 104, 197, 253, 253, 143, 101, 166, 27, 58, 0, 0, 111, 195, 58, 197, 194, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 201, 253, 253, 253, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7972584402046564, y=-0.5966925824100996, z=0.032654514278785116, w=0.08526795597656599)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.011111111111111112, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.12, z=-0.04)>	COMP<156>
[1740779750.550574]	Q_Header<(2621443, 56555, 257, 173, 250, 8, 58, 1, 90)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 252, 172, 59, 104, 143, 253, 220, 183, 253, 253, 216, 181, 143, 253, 180, 253, 253, 253, 196, 144, 204, 183, 41, 81, 79, 119, 120, 59, 89, 46, 190, 253, 253, 230, 124, 253, 253, 93, 109, 138, 102, 138, 236, 142, 65, 0, 38, 127, 253, 253, 33, 126, 12, 117, 43, 0, 0, 0, 87, 151, 0, 147, 160, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 129, 0, 0, 0, 0, 0, 0, 249, 253, 253, 253, 253, 164, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7972269792944712, y=-0.5967911042368197, z=0.03210391908657877, w=0.08508148898610418)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=0.015555555555555555, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.14, z=-0.03)>	COMP<156>
[1740779750.5605469]	Q_Header<(2621443, 56556, 257, 173, 250, 8, 58, 2, 87)>	Q_Data<(0, 0, 22, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 202, 121, 112, 68, 194, 253, 157, 176, 253, 253, 253, 117, 182, 253, 117, 253, 253, 253, 253, 217, 236, 160, 64, 138, 157, 220, 216, 96, 70, 86, 199, 253, 253, 176, 221, 253, 253, 154, 163, 237, 167, 29, 95, 4, 89, 0, 41, 104, 253, 253, 91, 253, 116, 150, 86, 113, 87, 0, 26, 81, 0, 150, 181, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 253, 253, 253, 253, 196, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7972269792944712, y=-0.5967911042368197, z=0.03210391908657877, w=0.08508148898610418)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=0.015555555555555555, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.14, z=-0.03)>	COMP<156>
[1740779750.5705066]	Q_Header<(2621443, 56557, 257, 173, 250, 8, 58, 3, 88)>	Q_Data<(0, 0, 55, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 184, 146, 173, 163, 253, 253, 53, 163, 187, 253, 253, 143, 213, 245, 243, 253, 253, 253, 253, 208, 204, 150, 150, 213, 223, 253, 253, 159, 137, 143, 161, 253, 253, 156, 253, 253, 253, 191, 206, 253, 187, 81, 49, 84, 99, 0, 19, 52, 253, 253, 143, 253, 194, 225, 134, 226, 192, 38, 0, 31, 0, 58, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 114, 250, 253, 253, 154, 0, 0, 0, 76, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7972269792944712, y=-0.5967911042368197, z=0.03210391908657877, w=0.08508148898610418)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=0.015555555555555555, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.14, z=-0.03)>	COMP<156>
[1740779750.5804756]	Q_Header<(2621443, 56558, 257, 173, 250, 8, 58, 4, 80)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 209, 184, 195, 237, 253, 226, 145, 111, 120, 232, 250, 120, 201, 253, 243, 253, 253, 253, 253, 146, 200, 158, 205, 253, 223, 253, 253, 253, 198, 221, 161, 170, 202, 195, 253, 253, 253, 195, 212, 253, 149, 87, 47, 93, 90, 46, 48, 54, 253, 253, 253, 253, 200, 252, 187, 253, 253, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 156, 151, 141, 71, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7971891519344487, y=-0.5968695135722359, z=0.031738638619241505, w=0.08502292999346811)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.01888888888888889, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.14, z=-0.06)>	COMP<155>
[1740779750.5904267]	Q_Header<(2621443, 56559, 257, 173, 250, 8, 58, 5, 78)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 237, 233, 186, 253, 253, 195, 119, 36, 79, 150, 225, 193, 214, 253, 219, 229, 253, 253, 253, 172, 253, 229, 232, 253, 210, 253, 253, 253, 198, 253, 249, 199, 105, 218, 253, 253, 253, 174, 225, 213, 131, 70, 0, 23, 57, 99, 68, 39, 208, 253, 253, 253, 167, 218, 206, 253, 247, 65, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7971891519344487, y=-0.5968695135722359, z=0.031738638619241505, w=0.08502292999346811)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.01888888888888889, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.14, z=-0.06)>	COMP<155>
[1740779750.60046]	Q_Header<(2621443, 56560, 257, 173, 250, 8, 58, 6, 70)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 236, 253, 183, 245, 253, 165, 62, 67, 54, 102, 252, 253, 214, 253, 171, 168, 205, 245, 204, 216, 253, 253, 253, 253, 253, 253, 253, 207, 164, 253, 253, 253, 166, 194, 253, 253, 253, 162, 243, 181, 136, 55, 180, 179, 131, 161, 123, 108, 97, 138, 160, 248, 95, 128, 158, 249, 206, 0, 37, 101, 76, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7971891519344487, y=-0.5968695135722359, z=0.031738638619241505, w=0.08502292999346811)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.01888888888888889, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.14, z=-0.06)>	COMP<155>
[1740779750.6104786]	Q_Header<(2621443, 56561, 257, 173, 250, 8, 58, 7, 74)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 219, 249, 171, 154, 203, 166, 109, 54, 33, 116, 253, 253, 163, 226, 99, 100, 119, 108, 123, 191, 253, 253, 253, 253, 253, 248, 253, 253, 179, 253, 253, 253, 253, 247, 253, 253, 179, 151, 219, 152, 106, 130, 253, 253, 217, 197, 227, 167, 0, 0, 61, 108, 0, 32, 74, 180, 163, 44, 57, 183, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.797161042515338, y=-0.5969095012479907, z=0.0313713173457533, w=0.08514199941113977)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.024444444444444446, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.13, z=-0.06)>	COMP<160>
[1740779750.6204863]	Q_Header<(2621443, 56562, 257, 173, 250, 8, 58, 8, 78)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 145, 146, 167, 162, 171, 234, 166, 100, 115, 115, 253, 253, 98, 149, 181, 175, 78, 46, 38, 136, 204, 234, 253, 253, 253, 253, 253, 253, 166, 253, 253, 253, 253, 253, 253, 253, 182, 121, 147, 102, 32, 179, 253, 253, 253, 253, 253, 187, 95, 90, 11, 0, 26, 0, 44, 77, 150, 253, 253, 245, 180, 0, 0, 18, 0, 0, 0, 65, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.797161042515338, y=-0.5969095012479907, z=0.0313713173457533, w=0.08514199941113977)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.024444444444444446, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.13, z=-0.06)>	COMP<160>
[1740779750.6304407]	Q_Header<(2621443, 56563, 257, 173, 250, 8, 58, 9, 83)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 35, 156, 205, 167, 154, 253, 223, 217, 218, 66, 253, 253, 125, 162, 189, 253, 238, 180, 82, 101, 122, 193, 253, 200, 253, 253, 253, 253, 205, 205, 253, 253, 245, 253, 253, 253, 250, 97, 61, 53, 128, 216, 253, 253, 253, 253, 253, 141, 130, 113, 0, 0, 0, 0, 29, 104, 253, 253, 253, 218, 174, 102, 0, 23, 0, 0, 23, 156, 28, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.797161042515338, y=-0.5969095012479907, z=0.0313713173457533, w=0.08514199941113977)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.024444444444444446, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.13, z=-0.06)>	COMP<160>
[1740779750.6402843]	Q_Header<(2621443, 56564, 257, 173, 250, 8, 58, 10, 82)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 183, 220, 174, 240, 253, 250, 253, 253, 179, 154, 199, 171, 202, 163, 253, 253, 253, 31, 116, 72, 134, 199, 213, 253, 253, 253, 253, 190, 133, 253, 227, 131, 201, 253, 253, 253, 114, 0, 49, 169, 237, 213, 216, 253, 239, 232, 0, 98, 84, 0, 0, 0, 0, 52, 133, 253, 253, 253, 253, 150, 161, 68, 173, 71, 0, 99, 217, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.797161042515338, y=-0.5969095012479907, z=0.0313713173457533, w=0.08514199941113977)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.024444444444444446, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.13, z=-0.06)>	COMP<160>
