[1740779755.5405748]	Q_Header<(2621443, 57054, 257, 173, 250, 8, 58, 0, 67)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 199, 237, 253, 230, 220, 182, 189, 101, 46, 79, 126, 238, 227, 253, 208, 226, 205, 118, 64, 173, 253, 188, 120, 253, 253, 253, 253, 253, 253, 229, 223, 201, 191, 179, 234, 125, 253, 253, 253, 253, 107, 87, 89, 87, 118, 117, 107, 0, 178, 213, 225, 234, 107, 98, 170, 253, 178, 27, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8297490186085253, y=-0.5498498645563961, z=0.027281928011622717, w=0.09185526097872973)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=-0.02666666666666667, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.17, y=-0.11, z=-0.11)>	COMP<143>
[1740779755.5511386]	Q_Header<(2621443, 57055, 257, 173, 250, 8, 58, 1, 83)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 190, 253, 232, 135, 215, 104, 63, 47, 27, 0, 161, 253, 215, 252, 156, 191, 188, 83, 47, 205, 253, 189, 180, 253, 253, 253, 253, 253, 253, 218, 253, 253, 253, 253, 219, 159, 188, 217, 253, 253, 103, 74, 100, 253, 253, 214, 119, 0, 162, 104, 78, 45, 42, 0, 132, 183, 167, 101, 60, 189, 104, 0, 0, 0, 0, 0, 0, 29, 0, 12, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 53, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8300287378586632, y=-0.5494461870875569, z=0.02771034980423804, w=0.0916150551897826)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=-0.025555555555555557, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.17, y=-0.1, z=-0.04)>	COMP<144>
[1740779755.5605273]	Q_Header<(2621443, 57056, 257, 173, 250, 8, 58, 2, 90)>	Q_Data<(0, 0, 17, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 176, 253, 217, 253, 253, 235, 59, 71, 84, 81, 159, 253, 142, 198, 166, 179, 123, 16, 75, 186, 209, 182, 253, 253, 253, 253, 212, 253, 253, 246, 253, 253, 253, 253, 200, 84, 164, 125, 242, 215, 58, 100, 226, 253, 253, 253, 199, 73, 196, 169, 0, 19, 23, 0, 64, 25, 253, 253, 187, 247, 162, 51, 0, 0, 0, 0, 0, 40, 0, 48, 0, 0, 0, 0, 0, 19, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 211, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8300287378586632, y=-0.5494461870875569, z=0.02771034980423804, w=0.0916150551897826)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=-0.025555555555555557, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.17, y=-0.1, z=-0.04)>	COMP<144>
[1740779755.5704944]	Q_Header<(2621443, 57057, 257, 173, 250, 8, 58, 3, 81)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 146, 253, 244, 253, 253, 253, 95, 154, 141, 139, 110, 90, 126, 170, 164, 168, 135, 138, 66, 124, 137, 187, 253, 253, 253, 253, 253, 253, 253, 235, 203, 253, 253, 253, 253, 253, 249, 35, 163, 133, 25, 147, 234, 253, 253, 253, 253, 161, 150, 115, 0, 37, 0, 0, 0, 197, 253, 253, 253, 216, 134, 0, 125, 117, 0, 0, 0, 105, 97, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8300287378586632, y=-0.5494461870875569, z=0.02771034980423804, w=0.0916150551897826)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=-0.025555555555555557, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.17, y=-0.1, z=-0.04)>	COMP<144>
[1740779755.5806155]	Q_Header<(2621443, 57058, 257, 173, 250, 8, 58, 4, 81)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 109, 241, 240, 253, 253, 253, 127, 198, 152, 219, 154, 253, 225, 174, 139, 214, 253, 253, 136, 47, 57, 150, 253, 253, 193, 253, 253, 253, 253, 147, 253, 253, 253, 253, 253, 253, 253, 81, 70, 37, 71, 172, 176, 253, 253, 253, 253, 177, 164, 0, 27, 0, 0, 0, 26, 253, 253, 253, 253, 253, 84, 113, 253, 217, 0, 0, 0, 179, 169, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 253, 253, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8303752363557769, y=-0.5489448640781961, z=0.028075899207913074, w=0.09136874155270842)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.023333333333333334, z=0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.16, y=-0.12, z=-0.02)>	COMP<151>
[1740779755.5906255]	Q_Header<(2621443, 57059, 257, 173, 250, 8, 58, 5, 94)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 79, 181, 201, 170, 253, 253, 122, 150, 82, 253, 189, 253, 218, 197, 49, 253, 253, 253, 194, 137, 116, 64, 189, 253, 200, 241, 253, 253, 253, 150, 253, 253, 198, 159, 241, 253, 253, 70, 0, 30, 45, 123, 96, 204, 253, 239, 253, 147, 126, 0, 21, 0, 0, 0, 35, 253, 253, 253, 253, 253, 203, 186, 253, 253, 0, 0, 16, 178, 188, 110, 0, 0, 0, 0, 0, 0, 28, 51, 0, 39, 0, 0, 0, 0, 0, 0, 78, 222, 253, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8303752363557769, y=-0.5489448640781961, z=0.028075899207913074, w=0.09136874155270842)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.023333333333333334, z=0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.16, y=-0.12, z=-0.02)>	COMP<151>
[1740779755.6005793]	Q_Header<(2621443, 57060, 257, 173, 250, 8, 58, 6, 93)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44, 112, 141, 221, 253, 251, 193, 116, 172, 253, 238, 241, 89, 248, 105, 253, 253, 253, 198, 153, 149, 56, 144, 182, 230, 253, 205, 253, 253, 196, 248, 226, 29, 50, 150, 219, 160, 0, 29, 0, 0, 0, 17, 56, 169, 253, 253, 120, 49, 0, 0, 0, 0, 0, 56, 253, 253, 253, 253, 242, 55, 196, 253, 253, 0, 0, 0, 114, 157, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 70, 154, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8303752363557769, y=-0.5489448640781961, z=0.028075899207913074, w=0.09136874155270842)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.023333333333333334, z=0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.16, y=-0.12, z=-0.02)>	COMP<151>
[1740779755.6105995]	Q_Header<(2621443, 57061, 257, 173, 250, 8, 58, 7, 89)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55, 93, 252, 253, 182, 246, 190, 213, 194, 247, 182, 94, 253, 125, 253, 253, 253, 115, 150, 142, 104, 146, 152, 229, 243, 253, 253, 253, 183, 200, 146, 35, 54, 52, 97, 48, 44, 20, 25, 0, 0, 0, 64, 178, 253, 212, 53, 0, 0, 0, 0, 0, 0, 0, 143, 253, 253, 253, 127, 60, 144, 253, 203, 19, 0, 0, 49, 73, 0, 0, 0, 83, 0, 0, 0, 0, 0, 34, 48, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8307476115284483, y=-0.5483996245377347, z=0.02850335277230074, w=0.09112527984806211)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.024444444444444446, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.1, z=-0.08)>	COMP<151>
[1740779755.6216123]	Q_Header<(2621443, 57062, 257, 173, 250, 8, 58, 8, 80)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 23, 68, 229, 253, 240, 240, 179, 218, 204, 167, 200, 112, 253, 253, 200, 253, 253, 253, 120, 122, 104, 101, 193, 253, 180, 253, 253, 253, 119, 141, 81, 66, 23, 45, 71, 46, 9, 39, 104, 83, 0, 43, 56, 157, 162, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 165, 144, 143, 0, 32, 119, 100, 0, 0, 0, 0, 0, 0, 0, 78, 178, 158, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8307476115284483, y=-0.5483996245377347, z=0.02850335277230074, w=0.09112527984806211)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.024444444444444446, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.1, z=-0.08)>	COMP<151>
[1740779755.6304467]	Q_Header<(2621443, 57063, 257, 173, 250, 8, 58, 9, 74)>	Q_Data<(0, 0, 65, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 158, 234, 243, 253, 180, 244, 253, 127, 216, 183, 230, 253, 188, 253, 253, 253, 139, 104, 56, 100, 253, 253, 107, 253, 253, 253, 211, 218, 135, 164, 118, 99, 132, 76, 98, 133, 160, 148, 0, 30, 47, 110, 107, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 120, 80, 0, 0, 59, 13, 0, 0, 0, 0, 0, 0, 64, 170, 253, 228, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8307476115284483, y=-0.5483996245377347, z=0.02850335277230074, w=0.09112527984806211)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.024444444444444446, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.1, z=-0.08)>	COMP<151>
[1740779755.6405559]	Q_Header<(2621443, 57064, 257, 173, 250, 8, 58, 10, 82)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 40, 85, 126, 189, 233, 181, 248, 253, 194, 182, 162, 181, 253, 253, 253, 253, 253, 202, 166, 76, 177, 253, 253, 95, 253, 253, 253, 253, 253, 128, 204, 188, 177, 224, 67, 215, 253, 94, 118, 77, 81, 80, 135, 110, 0, 0, 121, 146, 91, 0, 0, 0, 0, 0, 30, 70, 160, 79, 0, 0, 0, 0, 68, 40, 101, 184, 171, 89, 217, 199, 253, 224, 112, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8307476115284483, y=-0.5483996245377347, z=0.02850335277230074, w=0.09112527984806211)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.024444444444444446, z=0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.1, z=-0.08)>	COMP<151>
