[1740779763.0306077]	Q_Header<(2621443, 57804, 257, 173, 250, 8, 58, 0, 92)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 247, 154, 48, 84, 145, 226, 235, 211, 253, 217, 253, 125, 253, 175, 204, 240, 253, 253, 253, 207, 169, 173, 77, 91, 66, 159, 225, 196, 70, 88, 63, 253, 253, 78, 172, 253, 235, 90, 253, 196, 126, 43, 69, 0, 0, 28, 68, 154, 253, 253, 253, 253, 150, 69, 0, 179, 139, 0, 0, 0, 0, 96, 0, 94, 0, 0, 0, 0, 12, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 157, 253, 253, 185, 231, 135, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8004733158776854, y=-0.5924662201467551, z=0.03454577939662752, w=0.08386201570842088)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.05555555555555555, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.15, z=0.0)>	COMP<195>
[1740779763.0415776]	Q_Header<(2621443, 57805, 257, 173, 250, 8, 58, 1, 90)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 253, 178, 103, 143, 55, 224, 237, 180, 207, 145, 253, 242, 253, 253, 253, 193, 253, 253, 253, 246, 105, 129, 84, 121, 141, 134, 217, 253, 185, 138, 74, 176, 253, 100, 195, 253, 198, 119, 251, 170, 164, 0, 0, 0, 0, 31, 0, 120, 253, 253, 253, 253, 158, 84, 86, 253, 253, 76, 0, 0, 0, 28, 0, 23, 0, 0, 0, 0, 48, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 191, 103, 121, 36, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.800529445145929, y=-0.5924015549394928, z=0.033446945405609114, w=0.08422770923310324)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.058888888888888886, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.16, z=-0.04)>	COMP<199>
[1740779763.0504816]	Q_Header<(2621443, 57806, 257, 173, 250, 8, 58, 2, 79)>	Q_Data<(0, 0, 15, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 253, 206, 179, 188, 72, 183, 155, 167, 100, 137, 222, 253, 253, 253, 253, 252, 172, 253, 253, 236, 185, 235, 109, 135, 253, 253, 253, 253, 253, 161, 62, 108, 141, 39, 211, 253, 145, 183, 184, 136, 185, 35, 0, 46, 38, 63, 0, 76, 253, 253, 253, 190, 108, 70, 113, 253, 253, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 30, 0, 50, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.800529445145929, y=-0.5924015549394928, z=0.033446945405609114, w=0.08422770923310324)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.058888888888888886, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.16, z=-0.04)>	COMP<199>
[1740779763.0604928]	Q_Header<(2621443, 57807, 257, 173, 250, 8, 58, 3, 78)>	Q_Data<(0, 0, 53, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 233, 234, 188, 177, 106, 114, 140, 171, 53, 111, 188, 232, 252, 253, 253, 243, 128, 253, 253, 199, 238, 253, 118, 199, 253, 253, 253, 253, 253, 138, 139, 202, 177, 82, 213, 253, 168, 207, 242, 239, 172, 83, 42, 138, 123, 130, 94, 79, 195, 253, 246, 119, 0, 0, 112, 253, 253, 111, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.800529445145929, y=-0.5924015549394928, z=0.033446945405609114, w=0.08422770923310324)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.058888888888888886, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.16, z=-0.04)>	COMP<199>
[1740779763.0705187]	Q_Header<(2621443, 57808, 257, 173, 250, 8, 58, 4, 80)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 195, 182, 152, 117, 165, 201, 194, 160, 75, 67, 188, 221, 124, 253, 251, 200, 155, 176, 235, 163, 206, 253, 91, 253, 253, 253, 253, 253, 253, 152, 210, 253, 253, 196, 191, 253, 156, 178, 253, 253, 128, 118, 110, 219, 206, 202, 184, 140, 113, 139, 85, 64, 31, 0, 80, 213, 253, 0, 79, 124, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.800529445145929, y=-0.5924015549394928, z=0.033446945405609114, w=0.08422770923310324)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.058888888888888886, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.16, z=-0.04)>	COMP<199>
[1740779763.0806427]	Q_Header<(2621443, 57809, 257, 173, 250, 8, 58, 5, 82)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 139, 110, 253, 101, 253, 253, 172, 133, 71, 59, 184, 203, 91, 211, 165, 149, 136, 10, 124, 137, 145, 200, 161, 253, 253, 253, 253, 253, 253, 171, 212, 253, 253, 253, 209, 253, 190, 117, 220, 246, 63, 105, 147, 253, 253, 224, 253, 233, 174, 47, 0, 55, 0, 20, 24, 42, 109, 6, 40, 253, 253, 45, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 147, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8005806857785831, y=-0.5923332740322595, z=0.03265309650770313, w=0.08453184796853988)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.056666666666666664, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.15, z=-0.18)>	COMP<199>
[1740779763.0905292]	Q_Header<(2621443, 57810, 257, 173, 250, 8, 58, 6, 84)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 81, 185, 253, 139, 253, 253, 159, 50, 52, 85, 147, 152, 151, 157, 87, 98, 63, 102, 80, 107, 102, 32, 225, 253, 253, 253, 253, 253, 253, 100, 169, 253, 253, 253, 250, 253, 253, 122, 135, 173, 33, 38, 133, 253, 253, 186, 253, 253, 241, 82, 0, 29, 0, 0, 47, 116, 125, 185, 199, 253, 253, 0, 0, 0, 0, 0, 0, 65, 69, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 98, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8005806857785831, y=-0.5923332740322595, z=0.03265309650770313, w=0.08453184796853988)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.056666666666666664, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.15, z=-0.18)>	COMP<199>
[1740779763.1005297]	Q_Header<(2621443, 57811, 257, 173, 250, 8, 58, 7, 86)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 72, 141, 248, 171, 253, 253, 188, 145, 130, 103, 124, 99, 157, 199, 156, 116, 226, 188, 88, 76, 76, 114, 225, 253, 253, 253, 253, 253, 253, 142, 122, 253, 248, 226, 253, 253, 253, 125, 72, 70, 70, 0, 94, 253, 253, 94, 226, 253, 241, 79, 9, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 104, 78, 51, 0, 0, 0, 172, 155, 47, 60, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 133, 184, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8005806857785831, y=-0.5923332740322595, z=0.03265309650770313, w=0.08453184796853988)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.056666666666666664, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.15, z=-0.18)>	COMP<199>
[1740779763.1106336]	Q_Header<(2621443, 57812, 257, 173, 250, 8, 58, 8, 93)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 56, 100, 220, 172, 253, 253, 209, 195, 107, 163, 165, 154, 217, 253, 228, 209, 253, 253, 77, 120, 101, 95, 166, 157, 83, 162, 200, 253, 253, 194, 106, 138, 201, 145, 253, 253, 253, 112, 46, 0, 61, 44, 60, 162, 230, 253, 134, 205, 166, 10, 0, 0, 0, 0, 0, 47, 253, 253, 253, 253, 253, 142, 214, 158, 0, 0, 55, 231, 218, 99, 0, 0, 0, 10, 0, 0, 0, 0, 64, 102, 0, 0, 0, 0, 0, 0, 0, 165, 231, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8006354847755728, y=-0.5922676280120566, z=0.03185940867913165, w=0.084775323094471)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.052222222222222225, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.15, z=-0.08)>	COMP<194>
[1740779763.120622]	Q_Header<(2621443, 57813, 257, 173, 250, 8, 58, 9, 90)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 115, 183, 140, 149, 186, 195, 182, 245, 253, 214, 209, 253, 253, 253, 232, 253, 253, 23, 188, 126, 45, 97, 21, 178, 253, 253, 234, 253, 219, 201, 215, 170, 21, 222, 253, 253, 89, 0, 12, 0, 58, 46, 0, 190, 253, 253, 140, 57, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 152, 253, 196, 0, 0, 68, 231, 206, 81, 0, 42, 0, 45, 0, 0, 0, 0, 64, 98, 0, 0, 0, 0, 0, 0, 0, 81, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8006354847755728, y=-0.5922676280120566, z=0.03185940867913165, w=0.084775323094471)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.052222222222222225, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.15, z=-0.08)>	COMP<194>
[1740779763.1306822]	Q_Header<(2621443, 57814, 257, 173, 250, 8, 58, 10, 86)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 8, 83, 115, 137, 253, 253, 204, 175, 253, 253, 233, 233, 252, 253, 253, 211, 206, 253, 143, 210, 91, 78, 20, 146, 202, 215, 253, 214, 253, 238, 192, 214, 124, 50, 160, 225, 143, 75, 98, 67, 0, 53, 5, 0, 176, 253, 253, 79, 58, 0, 0, 0, 0, 0, 0, 0, 190, 253, 253, 253, 253, 129, 218, 165, 0, 0, 61, 181, 155, 28, 0, 37, 136, 153, 0, 0, 0, 0, 52, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8006354847755728, y=-0.5922676280120566, z=0.03185940867913165, w=0.084775323094471)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.052222222222222225, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.15, z=-0.08)>	COMP<194>
