[1740779765.5306292]	Q_Header<(2621443, 58054, 257, 173, 250, 8, 58, 0, 84)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 106, 67, 45, 87, 131, 169, 167, 152, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 221, 203, 253, 250, 64, 69, 97, 179, 206, 78, 176, 122, 97, 213, 253, 226, 57, 201, 214, 209, 253, 253, 245, 0, 0, 40, 51, 0, 18, 151, 253, 253, 253, 253, 178, 119, 16, 253, 223, 0, 0, 0, 0, 40, 116, 106, 17, 0, 0, 43, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 197, 253, 253, 253, 142, 101, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7993993254987604, y=-0.5938883284036756, z=0.033020923501170446, w=0.08465807929043144)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=0.0, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.15, z=0.0)>	COMP<193>
[1740779765.5415525]	Q_Header<(2621443, 58055, 257, 173, 250, 8, 58, 1, 80)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 215, 203, 126, 151, 95, 156, 241, 232, 238, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 113, 138, 129, 250, 253, 253, 130, 156, 31, 130, 188, 67, 164, 173, 84, 203, 253, 253, 248, 0, 54, 34, 28, 29, 48, 122, 253, 253, 253, 253, 189, 167, 116, 253, 253, 63, 45, 0, 0, 0, 63, 31, 0, 0, 0, 20, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 253, 211, 65, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7990097362454514, y=-0.5942982050127538, z=0.03350823811769557, w=0.08526595382590295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.005555555555555556, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=-0.02)>	COMP<193>
[1740779765.552182]	Q_Header<(2621443, 58056, 257, 173, 250, 8, 58, 2, 76)>	Q_Data<(0, 0, 16, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 253, 253, 220, 206, 115, 183, 253, 253, 170, 226, 253, 253, 253, 253, 253, 253, 243, 253, 253, 253, 233, 253, 147, 180, 242, 253, 253, 253, 253, 253, 178, 117, 86, 47, 253, 253, 186, 158, 220, 253, 181, 18, 65, 0, 0, 42, 40, 22, 219, 253, 179, 186, 141, 166, 166, 253, 253, 89, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 111, 81, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7990097362454514, y=-0.5942982050127538, z=0.03350823811769557, w=0.08526595382590295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.005555555555555556, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=-0.02)>	COMP<193>
[1740779765.5605574]	Q_Header<(2621443, 58057, 257, 173, 250, 8, 58, 3, 73)>	Q_Data<(0, 0, 55, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 253, 253, 253, 217, 150, 188, 253, 253, 122, 151, 199, 241, 253, 253, 253, 242, 216, 208, 253, 253, 187, 194, 151, 219, 253, 253, 253, 253, 253, 253, 253, 253, 118, 197, 253, 253, 248, 98, 182, 253, 91, 77, 65, 12, 79, 73, 131, 86, 70, 91, 71, 91, 50, 121, 163, 253, 253, 118, 0, 70, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7990097362454514, y=-0.5942982050127538, z=0.03350823811769557, w=0.08526595382590295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.005555555555555556, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=-0.02)>	COMP<193>
[1740779765.5705695]	Q_Header<(2621443, 58058, 257, 173, 250, 8, 58, 4, 81)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 240, 253, 250, 171, 211, 189, 190, 208, 85, 112, 112, 97, 212, 253, 253, 178, 184, 139, 187, 236, 253, 155, 126, 253, 253, 253, 253, 253, 253, 253, 253, 253, 129, 253, 253, 253, 215, 87, 178, 253, 71, 99, 38, 53, 163, 0, 230, 184, 66, 68, 0, 44, 0, 43, 134, 253, 246, 150, 0, 160, 160, 71, 0, 20, 0, 0, 0, 0, 0, 0, 67, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7990097362454514, y=-0.5942982050127538, z=0.03350823811769557, w=0.08526595382590295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.005555555555555556, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=-0.02)>	COMP<193>
[1740779765.5806384]	Q_Header<(2621443, 58059, 257, 173, 250, 8, 58, 5, 81)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 183, 217, 181, 81, 228, 205, 134, 117, 52, 89, 97, 205, 211, 253, 237, 127, 141, 95, 116, 208, 253, 188, 109, 253, 253, 253, 253, 253, 253, 253, 253, 253, 208, 253, 253, 253, 171, 80, 148, 199, 66, 36, 111, 152, 183, 233, 253, 231, 37, 135, 46, 0, 0, 0, 65, 205, 177, 205, 109, 222, 237, 93, 0, 34, 0, 0, 0, 0, 0, 0, 120, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 148, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7987111813715926, y=-0.5946083087973448, z=0.033874729150331184, w=0.08575494496615373)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=0.005555555555555556, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.15, z=-0.04)>	COMP<192>
[1740779765.5905905]	Q_Header<(2621443, 58060, 257, 173, 250, 8, 58, 6, 81)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 112, 60, 176, 51, 208, 253, 176, 45, 82, 110, 150, 253, 221, 175, 134, 113, 173, 137, 73, 165, 222, 173, 166, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 127, 94, 127, 91, 119, 163, 199, 251, 253, 231, 219, 85, 98, 41, 0, 0, 0, 0, 115, 0, 140, 253, 253, 253, 61, 54, 0, 0, 0, 0, 36, 149, 47, 95, 42, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 126, 219, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7987111813715926, y=-0.5946083087973448, z=0.033874729150331184, w=0.08575494496615373)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=0.005555555555555556, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.15, z=-0.04)>	COMP<192>
[1740779765.6005776]	Q_Header<(2621443, 58061, 257, 173, 250, 8, 58, 7, 88)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68, 99, 102, 160, 234, 253, 245, 139, 116, 150, 101, 243, 207, 73, 105, 216, 253, 253, 146, 97, 129, 127, 180, 253, 253, 253, 253, 253, 253, 233, 214, 253, 253, 253, 161, 253, 253, 142, 52, 64, 99, 204, 183, 201, 253, 253, 212, 154, 152, 68, 0, 0, 0, 0, 0, 52, 169, 227, 253, 253, 253, 33, 108, 0, 0, 0, 0, 121, 226, 132, 31, 0, 0, 0, 0, 0, 0, 52, 80, 0, 0, 0, 0, 0, 0, 0, 0, 14, 144, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7987111813715926, y=-0.5946083087973448, z=0.033874729150331184, w=0.08575494496615373)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.035555555555555556, y=0.005555555555555556, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.15, z=-0.04)>	COMP<192>
[1740779765.6106567]	Q_Header<(2621443, 58062, 257, 173, 250, 8, 58, 8, 82)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 116, 214, 230, 253, 253, 253, 219, 186, 150, 121, 107, 221, 191, 204, 253, 253, 253, 231, 0, 70, 82, 146, 203, 253, 253, 253, 249, 253, 212, 237, 253, 253, 205, 200, 253, 252, 120, 41, 0, 97, 214, 179, 156, 191, 253, 241, 85, 125, 86, 0, 0, 0, 0, 0, 0, 216, 253, 253, 253, 253, 41, 161, 114, 0, 0, 0, 170, 253, 168, 0, 0, 0, 0, 0, 0, 0, 31, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7984906106343165, y=-0.5948089742112379, z=0.03430299061125867, w=0.08624577532688343)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03888888888888889, y=0.0033333333333333335, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.13, z=-0.09)>	COMP<192>
[1740779765.6205957]	Q_Header<(2621443, 58063, 257, 173, 250, 8, 58, 9, 77)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 109, 211, 250, 253, 253, 216, 253, 223, 215, 226, 206, 253, 253, 249, 253, 253, 253, 253, 53, 78, 20, 78, 91, 167, 188, 253, 253, 164, 226, 253, 253, 174, 111, 177, 253, 102, 80, 30, 0, 48, 169, 119, 21, 109, 253, 253, 63, 74, 77, 0, 0, 0, 0, 0, 0, 175, 253, 253, 253, 253, 0, 162, 166, 0, 0, 0, 141, 230, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7984906106343165, y=-0.5948089742112379, z=0.03430299061125867, w=0.08624577532688343)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03888888888888889, y=0.0033333333333333335, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.13, z=-0.09)>	COMP<192>
[1740779765.6305285]	Q_Header<(2621443, 58064, 257, 173, 250, 8, 58, 10, 82)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 144, 226, 253, 253, 225, 253, 224, 253, 253, 253, 253, 253, 228, 249, 253, 253, 219, 0, 124, 68, 109, 161, 127, 199, 253, 253, 253, 212, 229, 253, 76, 61, 96, 144, 73, 59, 38, 40, 4, 112, 0, 52, 153, 253, 253, 139, 35, 0, 0, 0, 0, 0, 0, 0, 56, 199, 253, 253, 253, 22, 140, 139, 0, 0, 0, 56, 155, 74, 0, 0, 68, 29, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7984906106343165, y=-0.5948089742112379, z=0.03430299061125867, w=0.08624577532688343)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03888888888888889, y=0.0033333333333333335, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.13, z=-0.09)>	COMP<192>
