[1740779773.030419]	Q_Header<(2621443, 58804, 257, 173, 250, 8, 58, 0, 46)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 253, 240, 253, 253, 253, 253, 253, 253, 253, 253, 208, 93, 0, 64, 100, 199, 192, 250, 191, 101, 56, 35, 17, 0, 39, 77, 122, 153, 147, 91, 0, 0, 6, 0, 0, 0, 0, 0, 66, 87, 42, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.687740915031055, y=-0.7203335356049442, z=0.049499279560719346, w=0.07537806443586731)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.17, z=-0.08)>	COMP<185>
[1740779773.0405815]	Q_Header<(2621443, 58805, 257, 173, 250, 8, 58, 1, 45)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 253, 236, 253, 253, 253, 253, 253, 253, 253, 180, 116, 135, 47, 98, 90, 198, 217, 253, 253, 160, 87, 73, 43, 0, 71, 103, 90, 111, 75, 23, 0, 0, 0, 0, 0, 0, 0, 0, 129, 177, 99, 35, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.687191625520819, y=-0.7208828749468331, z=0.04931617669604954, w=0.07525599735919442)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.0011111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.17, z=0.04)>	COMP<188>
[1740779773.0504827]	Q_Header<(2621443, 58806, 257, 173, 250, 8, 58, 2, 49)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 245, 253, 253, 253, 253, 253, 253, 253, 253, 208, 185, 190, 53, 72, 120, 194, 211, 253, 253, 211, 78, 84, 45, 0, 89, 118, 18, 28, 30, 0, 33, 42, 51, 51, 0, 0, 70, 99, 181, 233, 135, 96, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.687191625520819, y=-0.7208828749468331, z=0.04931617669604954, w=0.07525599735919442)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.0011111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.17, z=0.04)>	COMP<188>
[1740779773.0614648]	Q_Header<(2621443, 58807, 257, 173, 250, 8, 58, 3, 53)>	Q_Data<(0, 0, 55, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 220, 190, 253, 253, 253, 253, 233, 242, 253, 253, 178, 169, 122, 132, 167, 168, 253, 253, 238, 75, 65, 0, 33, 79, 96, 0, 0, 0, 0, 78, 95, 158, 135, 27, 0, 110, 170, 170, 210, 152, 98, 113, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.687191625520819, y=-0.7208828749468331, z=0.04931617669604954, w=0.07525599735919442)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.0011111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.17, z=0.04)>	COMP<188>
[1740779773.0705469]	Q_Header<(2621443, 58808, 257, 173, 250, 8, 58, 4, 59)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 212, 153, 253, 253, 253, 253, 174, 251, 253, 253, 183, 219, 186, 126, 111, 127, 253, 253, 227, 85, 133, 145, 53, 29, 0, 0, 0, 0, 0, 131, 159, 213, 187, 90, 10, 131, 218, 167, 126, 238, 127, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.687191625520819, y=-0.7208828749468331, z=0.04931617669604954, w=0.07525599735919442)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.0011111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.17, z=0.04)>	COMP<188>
[1740779773.080566]	Q_Header<(2621443, 58809, 257, 173, 250, 8, 58, 5, 63)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 248, 147, 221, 253, 253, 253, 148, 253, 253, 253, 206, 121, 188, 109, 72, 144, 242, 211, 176, 73, 253, 253, 119, 61, 50, 0, 0, 0, 0, 140, 183, 207, 210, 122, 57, 118, 215, 167, 145, 253, 192, 56, 0, 0, 0, 0, 0, 0, 0, 23, 73, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6865262047307589, y=-0.7215605256336265, z=0.04895039262038305, w=0.07507354479185929)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.006666666666666667, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.18, z=0.06)>	COMP<186>
[1740779773.0905442]	Q_Header<(2621443, 58810, 257, 173, 250, 8, 58, 6, 68)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 252, 149, 233, 253, 253, 253, 154, 253, 253, 253, 140, 253, 201, 116, 72, 124, 195, 165, 86, 173, 253, 253, 186, 84, 50, 48, 64, 0, 94, 133, 172, 151, 197, 122, 97, 104, 165, 125, 143, 252, 163, 59, 110, 122, 0, 0, 0, 0, 0, 110, 182, 112, 50, 38, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6865262047307589, y=-0.7215605256336265, z=0.04895039262038305, w=0.07507354479185929)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.006666666666666667, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.18, z=0.06)>	COMP<186>
[1740779773.1005626]	Q_Header<(2621443, 58811, 257, 173, 250, 8, 58, 7, 75)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 225, 188, 253, 253, 253, 245, 224, 253, 244, 204, 253, 253, 223, 169, 137, 101, 114, 98, 117, 242, 253, 253, 213, 75, 0, 85, 96, 84, 171, 171, 182, 174, 206, 205, 69, 108, 94, 25, 89, 157, 102, 70, 204, 218, 0, 0, 0, 0, 0, 179, 253, 248, 149, 118, 67, 0, 0, 0, 0, 0, 0, 131, 241, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6865262047307589, y=-0.7215605256336265, z=0.04895039262038305, w=0.07507354479185929)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.006666666666666667, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.18, z=0.06)>	COMP<186>
[1740779773.1107085]	Q_Header<(2621443, 58812, 257, 173, 250, 8, 58, 8, 87)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 235, 218, 253, 253, 253, 206, 247, 242, 203, 230, 253, 253, 196, 224, 241, 178, 98, 122, 145, 253, 253, 253, 218, 77, 0, 96, 109, 148, 236, 197, 184, 201, 253, 253, 176, 109, 88, 86, 138, 183, 96, 103, 253, 253, 75, 0, 0, 0, 5, 190, 253, 253, 211, 177, 137, 34, 33, 0, 0, 0, 58, 253, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 109, 168, 47, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6860133854474897, y=-0.7220840180808942, z=0.04870450903799793, w=0.07488776013737276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.0033333333333333335, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.17, z=-0.02)>	COMP<186>
[1740779773.1206121]	Q_Header<(2621443, 58813, 257, 173, 250, 8, 58, 9, 88)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 253, 200, 220, 253, 130, 253, 182, 137, 146, 226, 253, 253, 164, 253, 253, 163, 224, 234, 128, 209, 253, 253, 220, 85, 32, 91, 133, 194, 253, 184, 154, 216, 253, 253, 253, 90, 127, 108, 140, 176, 74, 110, 253, 253, 109, 0, 0, 0, 0, 99, 253, 253, 192, 187, 163, 54, 11, 0, 0, 24, 83, 253, 253, 253, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 219, 244, 149, 182, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6860133854474897, y=-0.7220840180808942, z=0.04870450903799793, w=0.07488776013737276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.0033333333333333335, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.17, z=-0.02)>	COMP<186>
[1740779773.1307483]	Q_Header<(2621443, 58814, 257, 173, 250, 8, 58, 10, 90)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 233, 146, 130, 180, 179, 194, 127, 67, 128, 216, 253, 253, 174, 242, 253, 132, 253, 253, 121, 118, 253, 253, 171, 67, 0, 69, 128, 184, 230, 152, 86, 165, 253, 253, 253, 81, 120, 76, 104, 131, 7, 79, 215, 230, 91, 0, 0, 0, 88, 183, 207, 236, 125, 142, 150, 13, 19, 0, 0, 22, 80, 253, 253, 253, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 82, 253, 253, 253, 218, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.6860133854474897, y=-0.7220840180808942, z=0.04870450903799793, w=0.07488776013737276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.0033333333333333335, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.17, z=-0.02)>	COMP<186>
