[1740779790.5308826]	Q_Header<(2621443, 60554, 257, 173, 250, 8, 58, 0, 84)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 245, 253, 153, 253, 253, 253, 253, 172, 200, 182, 143, 100, 253, 250, 205, 109, 33, 84, 119, 154, 253, 253, 253, 253, 50, 121, 253, 253, 125, 155, 165, 145, 185, 253, 253, 166, 89, 26, 56, 79, 86, 86, 195, 253, 253, 73, 45, 60, 32, 0, 90, 253, 253, 123, 105, 79, 0, 0, 0, 0, 64, 0, 225, 253, 253, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 253, 253, 215, 48, 177, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7188911143780738, y=-0.6893493161645412, z=0.04486202827881511, w=0.07733359160443366)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.021111111111111112, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.15, z=-0.06)>	COMP<170>
[1740779790.5414436]	Q_Header<(2621443, 60555, 257, 173, 250, 8, 58, 1, 86)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 253, 253, 127, 253, 253, 157, 253, 90, 86, 116, 136, 184, 225, 253, 244, 154, 155, 178, 215, 162, 253, 253, 253, 252, 40, 122, 253, 253, 142, 173, 112, 89, 226, 253, 253, 238, 119, 32, 28, 69, 73, 116, 182, 253, 226, 70, 31, 48, 46, 155, 201, 202, 253, 90, 99, 51, 0, 0, 0, 12, 55, 106, 253, 253, 253, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 253, 253, 253, 253, 173, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186953958647868, y=-0.689520330113333, z=0.04473916986572303, w=0.07769844916652854)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=-0.02)>	COMP<177>
[1740779790.5507607]	Q_Header<(2621443, 60556, 257, 173, 250, 8, 58, 2, 84)>	Q_Data<(0, 0, 14, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 247, 253, 135, 253, 253, 207, 253, 230, 154, 105, 174, 201, 182, 253, 191, 253, 253, 251, 253, 150, 253, 253, 253, 164, 69, 94, 190, 192, 142, 157, 13, 46, 245, 253, 253, 248, 157, 73, 0, 0, 150, 178, 132, 206, 152, 55, 0, 36, 71, 241, 253, 252, 117, 20, 109, 31, 0, 0, 0, 0, 0, 109, 253, 253, 253, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 215, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186953958647868, y=-0.689520330113333, z=0.04473916986572303, w=0.07769844916652854)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=-0.02)>	COMP<177>
[1740779790.5607529]	Q_Header<(2621443, 60557, 257, 173, 250, 8, 58, 3, 82)>	Q_Data<(0, 0, 57, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 210, 253, 140, 211, 253, 253, 253, 253, 253, 169, 202, 253, 244, 234, 100, 253, 253, 253, 253, 189, 164, 253, 253, 18, 95, 25, 101, 0, 73, 114, 74, 60, 202, 253, 253, 190, 207, 190, 87, 0, 176, 226, 91, 117, 99, 54, 0, 0, 62, 253, 253, 253, 253, 146, 188, 183, 113, 121, 0, 0, 0, 67, 253, 253, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 253, 253, 253, 201, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186953958647868, y=-0.689520330113333, z=0.04473916986572303, w=0.07769844916652854)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=-0.02)>	COMP<177>
[1740779790.5718474]	Q_Header<(2621443, 60558, 257, 173, 250, 8, 58, 4, 81)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 128, 153, 114, 136, 186, 253, 253, 253, 253, 179, 253, 253, 253, 228, 206, 253, 253, 253, 253, 253, 201, 253, 248, 139, 118, 100, 123, 190, 216, 153, 51, 103, 125, 253, 253, 113, 234, 248, 139, 29, 141, 218, 114, 0, 51, 25, 0, 0, 46, 248, 253, 253, 253, 199, 249, 253, 230, 253, 96, 0, 0, 0, 95, 165, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 155, 207, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186953958647868, y=-0.689520330113333, z=0.04473916986572303, w=0.07769844916652854)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=-0.02)>	COMP<177>
[1740779790.5808365]	Q_Header<(2621443, 60559, 257, 173, 250, 8, 58, 5, 77)>	Q_Data<(0, 0, 62, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 104, 199, 200, 110, 133, 206, 233, 94, 159, 134, 253, 253, 253, 253, 165, 253, 253, 253, 253, 253, 253, 253, 238, 166, 133, 124, 171, 253, 253, 253, 183, 169, 32, 178, 186, 104, 230, 253, 169, 97, 33, 149, 140, 0, 52, 36, 0, 0, 46, 159, 253, 253, 253, 226, 253, 253, 253, 253, 152, 0, 50, 32, 62, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186224831942408, y=-0.6895699690104071, z=0.04461636106803041, w=0.07800233850197383)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.016666666666666666, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.15, z=-0.07)>	COMP<172>
[1740779790.590708]	Q_Header<(2621443, 60560, 257, 173, 250, 8, 58, 6, 73)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 117, 215, 204, 94, 83, 122, 154, 253, 228, 125, 253, 253, 253, 253, 140, 249, 253, 253, 253, 253, 253, 235, 183, 127, 106, 193, 224, 253, 253, 253, 253, 245, 157, 72, 93, 125, 250, 240, 201, 183, 153, 175, 144, 0, 71, 107, 42, 0, 44, 49, 211, 253, 253, 207, 214, 253, 253, 253, 141, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186224831942408, y=-0.6895699690104071, z=0.04461636106803041, w=0.07800233850197383)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.016666666666666666, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.15, z=-0.07)>	COMP<172>
[1740779790.6007159]	Q_Header<(2621443, 60561, 257, 173, 250, 8, 58, 7, 80)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 129, 156, 95, 149, 186, 201, 253, 253, 148, 241, 253, 253, 228, 252, 253, 239, 253, 253, 253, 253, 163, 206, 83, 62, 253, 253, 253, 253, 253, 253, 253, 175, 153, 138, 187, 253, 220, 214, 227, 188, 184, 141, 65, 245, 253, 161, 65, 134, 81, 147, 170, 159, 138, 140, 181, 202, 222, 86, 0, 0, 47, 55, 0, 0, 29, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186224831942408, y=-0.6895699690104071, z=0.04461636106803041, w=0.07800233850197383)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.016666666666666666, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.15, z=-0.07)>	COMP<172>
[1740779790.6108224]	Q_Header<(2621443, 60562, 257, 173, 250, 8, 58, 8, 81)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 150, 213, 114, 203, 217, 253, 253, 253, 126, 204, 253, 253, 193, 253, 253, 226, 232, 253, 253, 217, 160, 253, 186, 170, 253, 253, 253, 253, 253, 253, 253, 212, 229, 245, 253, 214, 134, 205, 212, 147, 132, 101, 126, 253, 253, 253, 101, 160, 104, 136, 133, 78, 61, 67, 85, 109, 109, 156, 80, 0, 142, 128, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186180661242694, y=-0.6895657305140135, z=0.044432983874508926, w=0.0781849620099532)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.008888888888888889, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.14, z=-0.11)>	COMP<172>
[1740779790.6207995]	Q_Header<(2621443, 60563, 257, 173, 250, 8, 58, 9, 87)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49, 160, 226, 161, 217, 227, 253, 253, 238, 126, 151, 194, 184, 253, 253, 253, 230, 145, 191, 140, 122, 159, 253, 214, 253, 253, 253, 253, 253, 253, 253, 253, 236, 253, 253, 253, 110, 170, 204, 160, 56, 82, 0, 110, 253, 253, 253, 121, 172, 204, 94, 98, 0, 19, 0, 0, 78, 193, 253, 253, 129, 221, 179, 0, 72, 97, 0, 0, 0, 91, 43, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186180661242694, y=-0.6895657305140135, z=0.044432983874508926, w=0.0781849620099532)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.008888888888888889, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.14, z=-0.11)>	COMP<172>
[1740779790.6307302]	Q_Header<(2621443, 60564, 257, 173, 250, 8, 58, 10, 80)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 45, 121, 196, 202, 176, 253, 253, 252, 156, 110, 83, 105, 218, 253, 253, 253, 199, 131, 205, 116, 33, 123, 190, 213, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 244, 253, 169, 228, 193, 104, 0, 32, 83, 100, 253, 253, 253, 170, 244, 253, 106, 65, 11, 0, 0, 0, 95, 246, 253, 253, 186, 253, 198, 42, 188, 167, 33, 0, 18, 141, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7186180661242694, y=-0.6895657305140135, z=0.044432983874508926, w=0.0781849620099532)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.008888888888888889, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.14, z=-0.11)>	COMP<172>
