[1740779828.040874]	Q_Header<(2621443, 64304, 257, 173, 250, 8, 58, 0, 37)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 192, 115, 185, 253, 253, 253, 253, 253, 215, 83, 121, 181, 202, 253, 253, 253, 253, 215, 103, 36, 28, 0, 0, 0, 0, 73, 228, 253, 180, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.49402329829024033, y=-0.86475439710602, z=0.0662237804107871, w=0.06127988528334585)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.0, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.08, z=0.0)>	COMP<190>
[1740779828.043092]	Q_Header<(2621443, 64305, 257, 173, 250, 8, 58, 1, 43)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 161, 150, 209, 253, 253, 253, 232, 253, 152, 83, 64, 133, 197, 253, 253, 253, 253, 229, 109, 63, 32, 0, 0, 0, 0, 48, 163, 253, 238, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4940108759538818, y=-0.8647936868532927, z=0.06591694415989528, w=0.06115627597056951)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=0.0, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=-0.02)>	COMP<190>
[1740779828.0608323]	Q_Header<(2621443, 64306, 257, 173, 250, 8, 58, 2, 48)>	Q_Data<(0, 0, 8, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 155, 185, 221, 253, 253, 253, 253, 253, 198, 94, 94, 64, 144, 106, 228, 212, 253, 182, 102, 47, 0, 0, 0, 0, 13, 119, 149, 253, 233, 80, 14, 0, 0, 0, 0, 0, 0, 0, 0, 63, 78, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4940108759538818, y=-0.8647936868532927, z=0.06591694415989528, w=0.06115627597056951)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=0.0, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=-0.02)>	COMP<190>
[1740779828.0620916]	Q_Header<(2621443, 64307, 257, 173, 250, 8, 58, 3, 50)>	Q_Data<(0, 0, 56, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 177, 206, 203, 253, 253, 252, 253, 253, 250, 237, 219, 95, 78, 71, 117, 135, 150, 137, 126, 115, 82, 0, 0, 44, 51, 145, 188, 204, 170, 49, 0, 0, 0, 0, 0, 0, 0, 0, 53, 98, 109, 85, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4940108759538818, y=-0.8647936868532927, z=0.06591694415989528, w=0.06115627597056951)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=0.0, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=-0.02)>	COMP<190>
[1740779828.071133]	Q_Header<(2621443, 64308, 257, 173, 250, 8, 58, 4, 58)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 190, 232, 192, 253, 253, 227, 253, 253, 253, 253, 253, 142, 54, 83, 55, 91, 156, 169, 191, 246, 190, 50, 30, 72, 68, 125, 159, 128, 104, 0, 0, 0, 24, 0, 53, 0, 0, 63, 113, 28, 107, 120, 102, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4940108759538818, y=-0.8647936868532927, z=0.06591694415989528, w=0.06115627597056951)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=0.0, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=-0.02)>	COMP<190>
[1740779828.0812385]	Q_Header<(2621443, 64309, 257, 173, 250, 8, 58, 5, 64)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 187, 216, 193, 253, 233, 230, 253, 238, 253, 253, 253, 202, 170, 114, 75, 36, 195, 205, 246, 253, 253, 77, 11, 63, 65, 91, 104, 76, 62, 0, 0, 0, 104, 65, 91, 0, 29, 103, 179, 63, 253, 211, 161, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4940241918144108, y=-0.8648169970124027, z=0.06573561336596496, w=0.06091378100207339)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.008888888888888889, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.14, z=0.06)>	COMP<194>
[1740779828.0910943]	Q_Header<(2621443, 64310, 257, 173, 250, 8, 58, 6, 64)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 171, 148, 142, 173, 189, 125, 253, 202, 241, 253, 253, 253, 253, 185, 128, 73, 215, 211, 246, 253, 253, 74, 99, 144, 87, 76, 20, 42, 39, 0, 27, 99, 196, 167, 80, 0, 40, 127, 220, 151, 253, 234, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 148, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4940241918144108, y=-0.8648169970124027, z=0.06573561336596496, w=0.06091378100207339)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.008888888888888889, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.14, z=0.06)>	COMP<194>
[1740779828.1009593]	Q_Header<(2621443, 64311, 257, 173, 250, 8, 58, 7, 60)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 179, 216, 97, 144, 223, 213, 253, 253, 253, 253, 253, 253, 253, 253, 250, 96, 188, 181, 186, 238, 218, 0, 191, 253, 205, 68, 23, 18, 0, 0, 105, 173, 251, 237, 101, 0, 17, 84, 179, 166, 253, 202, 104, 0, 0, 0, 0, 0, 0, 0, 0, 69, 183, 252, 183, 0, 88, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4940241918144108, y=-0.8648169970124027, z=0.06573561336596496, w=0.06091378100207339)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.008888888888888889, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.14, z=0.06)>	COMP<194>
[1740779828.1115625]	Q_Header<(2621443, 64312, 257, 173, 250, 8, 58, 8, 80)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 165, 201, 143, 172, 200, 247, 253, 253, 253, 180, 227, 253, 177, 253, 253, 61, 128, 133, 102, 154, 172, 91, 253, 253, 253, 126, 54, 0, 0, 0, 188, 253, 243, 229, 128, 48, 58, 0, 109, 118, 200, 113, 64, 24, 0, 0, 0, 0, 0, 0, 0, 97, 238, 253, 216, 64, 107, 15, 0, 0, 0, 0, 0, 89, 153, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 29, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.49403716088358085, y=-0.8648397000938297, z=0.06567630159509921, w=0.060549155373920464)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.022222222222222223, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=0.0)>	COMP<190>
[1740779828.1235268]	Q_Header<(2621443, 64313, 257, 173, 250, 8, 58, 9, 81)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 129, 155, 171, 166, 112, 145, 253, 253, 207, 147, 170, 194, 253, 253, 253, 131, 97, 125, 48, 120, 129, 121, 253, 253, 253, 163, 64, 13, 35, 0, 224, 253, 204, 172, 95, 179, 190, 20, 55, 45, 73, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 72, 223, 253, 207, 71, 72, 0, 0, 0, 0, 0, 0, 154, 253, 234, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 146, 45, 118, 214, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.49403716088358085, y=-0.8648397000938297, z=0.06567630159509921, w=0.060549155373920464)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.022222222222222223, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=0.0)>	COMP<190>
[1740779828.132965]	Q_Header<(2621443, 64314, 257, 173, 250, 8, 58, 10, 83)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 79, 198, 132, 120, 253, 253, 253, 245, 253, 252, 201, 253, 253, 253, 222, 237, 217, 74, 116, 31, 125, 253, 253, 253, 141, 45, 0, 66, 53, 210, 253, 157, 91, 144, 253, 253, 57, 37, 0, 31, 0, 26, 62, 58, 9, 0, 0, 0, 0, 50, 68, 148, 249, 164, 54, 38, 0, 0, 0, 0, 0, 0, 197, 253, 253, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 199, 228, 253, 240, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.49403716088358085, y=-0.8648397000938297, z=0.06567630159509921, w=0.060549155373920464)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.022222222222222223, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=0.0)>	COMP<190>
