[1740779858.0310163]	Q_Header<(2621443, 1768, 257, 173, 250, 8, 58, 0, 32)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 238, 231, 201, 253, 253, 253, 148, 148, 215, 253, 253, 253, 253, 63, 84, 49, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.26922577383714064, y=-0.9586781295987232, z=0.0800170005668763, w=0.045288035408560044)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=0.01, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.12, z=0.04)>	COMP<168>
[1740779858.0411882]	Q_Header<(2621443, 1769, 257, 173, 250, 8, 58, 1, 30)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 253, 253, 253, 253, 253, 246, 111, 148, 109, 253, 253, 253, 253, 110, 115, 63, 22, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.26966159355685637, y=-0.9585865384360411, z=0.07971435970693853, w=0.045167401365340365)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.008888888888888889, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.01)>	COMP<168>
[1740779858.0510526]	Q_Header<(2621443, 1770, 257, 173, 250, 8, 58, 2, 33)>	Q_Data<(0, 0, 10, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 253, 253, 199, 253, 253, 168, 64, 179, 135, 253, 253, 253, 253, 225, 110, 63, 54, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.26966159355685637, y=-0.9585865384360411, z=0.07971435970693853, w=0.045167401365340365)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.008888888888888889, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.01)>	COMP<168>
[1740779858.0610023]	Q_Header<(2621443, 1771, 257, 173, 250, 8, 58, 3, 31)>	Q_Data<(0, 0, 56, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 252, 253, 253, 253, 253, 158, 70, 213, 226, 253, 253, 253, 253, 253, 136, 63, 57, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.26966159355685637, y=-0.9585865384360411, z=0.07971435970693853, w=0.045167401365340365)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.008888888888888889, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.01)>	COMP<168>
[1740779858.0708551]	Q_Header<(2621443, 1772, 257, 173, 250, 8, 58, 4, 38)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 193, 216, 253, 253, 213, 236, 152, 248, 253, 253, 253, 253, 253, 253, 236, 71, 60, 21, 0, 33, 33, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.26966159355685637, y=-0.9585865384360411, z=0.07971435970693853, w=0.045167401365340365)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.008888888888888889, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.01)>	COMP<168>
[1740779858.081136]	Q_Header<(2621443, 1773, 257, 173, 250, 8, 58, 5, 40)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 187, 225, 253, 253, 148, 253, 154, 253, 253, 253, 199, 253, 253, 253, 253, 146, 71, 45, 0, 34, 5, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2700229206977103, y=-0.9585081253699915, z=0.07946877096483246, w=0.04510554665361843)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.008888888888888889, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.1, z=0.05)>	COMP<170>
[1740779858.0910184]	Q_Header<(2621443, 1774, 257, 173, 250, 8, 58, 6, 39)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 199, 174, 253, 253, 253, 253, 160, 236, 253, 253, 207, 233, 253, 253, 253, 181, 124, 26, 10, 0, 0, 18, 0, 0, 0, 0, 0, 24, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2700229206977103, y=-0.9585081253699915, z=0.07946877096483246, w=0.04510554665361843)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.008888888888888889, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.1, z=0.05)>	COMP<170>
[1740779858.1010551]	Q_Header<(2621443, 1775, 257, 173, 250, 8, 58, 7, 42)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 194, 148, 169, 150, 253, 253, 239, 226, 253, 253, 189, 166, 253, 253, 253, 208, 170, 44, 55, 6, 0, 4, 0, 0, 0, 22, 0, 70, 120, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2700229206977103, y=-0.9585081253699915, z=0.07946877096483246, w=0.04510554665361843)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.008888888888888889, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.1, z=0.05)>	COMP<170>
[1740779858.1110976]	Q_Header<(2621443, 1776, 257, 173, 250, 8, 58, 8, 39)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 127, 65, 252, 253, 236, 253, 253, 195, 253, 253, 142, 130, 253, 253, 253, 253, 253, 183, 109, 0, 0, 0, 0, 0, 3, 0, 0, 140, 236, 168, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2704385167853807, y=-0.9584057840399083, z=0.07922121299648481, w=0.0452256693608592)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.015555555555555555, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.06)>	COMP<175>
[1740779858.121084]	Q_Header<(2621443, 1777, 257, 173, 250, 8, 58, 9, 41)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 135, 143, 253, 253, 253, 253, 253, 131, 186, 221, 138, 83, 246, 253, 253, 253, 253, 253, 153, 58, 46, 0, 0, 0, 0, 0, 0, 173, 253, 226, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2704385167853807, y=-0.9584057840399083, z=0.07922121299648481, w=0.0452256693608592)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.015555555555555555, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.06)>	COMP<175>
[1740779858.1312456]	Q_Header<(2621443, 1778, 257, 173, 250, 8, 58, 10, 49)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 139, 187, 253, 253, 253, 253, 253, 253, 164, 116, 116, 50, 166, 211, 173, 253, 253, 253, 174, 84, 41, 11, 0, 0, 0, 21, 38, 155, 253, 223, 43, 11, 0, 6, 0, 0, 0, 0, 0, 0, 100, 134, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2704385167853807, y=-0.9584057840399083, z=0.07922121299648481, w=0.0452256693608592)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.015555555555555555, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.11, z=0.06)>	COMP<175>
