[1740779863.0310588]	Q_Header<(2621443, 2268, 257, 173, 250, 8, 58, 0, 39)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 188, 218, 247, 253, 253, 253, 253, 212, 253, 253, 142, 11, 68, 213, 253, 253, 253, 253, 137, 62, 0, 0, 26, 0, 0, 13, 0, 57, 155, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33434151307602666, y=-0.9383290292133687, z=0.07299606601659873, w=0.04925403451119998)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03333333333333333, y=-0.022222222222222223, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.15, z=-0.08)>	COMP<169>
[1740779863.0418212]	Q_Header<(2621443, 2269, 257, 173, 250, 8, 58, 1, 40)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 139, 182, 253, 242, 253, 253, 195, 253, 253, 253, 75, 74, 183, 112, 253, 253, 253, 253, 219, 128, 0, 0, 14, 0, 0, 0, 0, 119, 246, 217, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33471404059849535, y=-0.9382246958570516, z=0.07287537645415819, w=0.048888757571005616)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.01888888888888889, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.14, z=-0.03)>	COMP<161>
[1740779863.051156]	Q_Header<(2621443, 2270, 257, 173, 250, 8, 58, 2, 49)>	Q_Data<(0, 0, 39, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 181, 165, 253, 203, 253, 253, 243, 253, 253, 253, 116, 67, 179, 95, 205, 217, 253, 253, 253, 163, 0, 15, 44, 0, 0, 0, 0, 141, 253, 253, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 82, 15, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33471404059849535, y=-0.9382246958570516, z=0.07287537645415819, w=0.048888757571005616)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.01888888888888889, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.14, z=-0.03)>	COMP<161>
[1740779863.0711637]	Q_Header<(2621443, 2271, 257, 173, 250, 8, 58, 3, 48)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 169, 169, 253, 253, 253, 253, 253, 253, 253, 215, 109, 19, 137, 100, 108, 196, 253, 253, 253, 154, 37, 30, 35, 0, 14, 0, 53, 131, 251, 233, 57, 41, 0, 0, 0, 0, 0, 0, 0, 59, 132, 179, 49, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33471404059849535, y=-0.9382246958570516, z=0.07287537645415819, w=0.048888757571005616)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.01888888888888889, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.14, z=-0.03)>	COMP<161>
[1740779863.0747488]	Q_Header<(2621443, 2272, 257, 173, 250, 8, 58, 4, 52)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 119, 110, 253, 253, 253, 253, 253, 253, 253, 161, 143, 137, 80, 96, 15, 166, 253, 253, 190, 108, 27, 0, 12, 0, 50, 0, 96, 124, 180, 168, 11, 0, 0, 0, 0, 21, 0, 0, 0, 116, 217, 228, 45, 159, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33495396610969946, y=-0.938151860982542, z=0.07287445982780269, w=0.04864400710448806)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.015555555555555555, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=0.05)>	COMP<160>
[1740779863.0915918]	Q_Header<(2621443, 2273, 257, 173, 250, 8, 58, 5, 53)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 63, 132, 231, 253, 253, 253, 253, 253, 253, 236, 240, 241, 134, 43, 52, 82, 239, 242, 75, 123, 84, 60, 0, 0, 55, 25, 105, 105, 100, 76, 0, 0, 0, 0, 71, 82, 0, 0, 0, 141, 239, 185, 159, 164, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33495396610969946, y=-0.938151860982542, z=0.07287445982780269, w=0.04864400710448806)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.015555555555555555, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=0.05)>	COMP<160>
[1740779863.0927782]	Q_Header<(2621443, 2274, 257, 173, 250, 8, 58, 6, 58)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 216, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 209, 81, 91, 78, 121, 124, 86, 163, 200, 121, 31, 0, 64, 0, 82, 36, 26, 15, 0, 0, 0, 154, 248, 222, 0, 9, 0, 123, 187, 152, 146, 90, 12, 0, 0, 0, 0, 0, 0, 0, 0, 23, 91, 0, 0, 24, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33495396610969946, y=-0.938151860982542, z=0.07287445982780269, w=0.04864400710448806)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.015555555555555555, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=0.05)>	COMP<160>
[1740779863.1012738]	Q_Header<(2621443, 2275, 257, 173, 250, 8, 58, 7, 61)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89, 239, 253, 253, 253, 253, 253, 253, 253, 249, 253, 253, 241, 133, 105, 117, 103, 121, 98, 228, 253, 166, 88, 73, 121, 69, 64, 0, 0, 13, 0, 17, 99, 253, 253, 253, 76, 0, 37, 79, 77, 181, 124, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 166, 94, 22, 139, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.33495396610969946, y=-0.938151860982542, z=0.07287445982780269, w=0.04864400710448806)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.015555555555555555, z=0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=0.05)>	COMP<160>
[1740779863.1112914]	Q_Header<(2621443, 2276, 257, 173, 250, 8, 58, 8, 72)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 78, 200, 202, 221, 253, 253, 253, 253, 253, 200, 253, 253, 219, 186, 91, 199, 128, 106, 109, 253, 253, 173, 113, 159, 248, 157, 70, 0, 0, 3, 0, 57, 165, 253, 253, 238, 79, 0, 0, 56, 0, 145, 90, 35, 0, 23, 0, 0, 0, 0, 0, 0, 0, 159, 219, 161, 52, 191, 171, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 166, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.3353311353015914, y=-0.9379994334391804, z=0.07305995066545412, w=0.04870663377696941)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.0011111111111111111, z=0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.19, z=0.05)>	COMP<160>
[1740779863.1212907]	Q_Header<(2621443, 2277, 257, 173, 250, 8, 58, 9, 69)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57, 120, 99, 223, 253, 253, 253, 238, 253, 176, 238, 207, 193, 200, 206, 198, 192, 97, 84, 231, 253, 144, 112, 217, 253, 253, 126, 0, 0, 0, 0, 67, 167, 253, 253, 161, 40, 51, 0, 0, 40, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 179, 169, 52, 181, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 194, 218, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.3353311353015914, y=-0.9379994334391804, z=0.07305995066545412, w=0.04870663377696941)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.0011111111111111111, z=0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.19, z=0.05)>	COMP<160>
[1740779863.131433]	Q_Header<(2621443, 2278, 257, 173, 250, 8, 58, 10, 78)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 81, 204, 252, 253, 253, 253, 253, 194, 112, 169, 164, 188, 206, 253, 253, 224, 87, 63, 151, 215, 128, 86, 203, 253, 253, 164, 41, 0, 19, 35, 124, 143, 185, 177, 100, 112, 128, 43, 0, 23, 0, 26, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 61, 68, 45, 86, 117, 57, 0, 0, 0, 0, 0, 0, 32, 66, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 253, 253, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.3353311353015914, y=-0.9379994334391804, z=0.07305995066545412, w=0.04870663377696941)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.0011111111111111111, z=0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.19, z=0.05)>	COMP<160>
