[1740779873.0311217]	Q_Header<(2621443, 3268, 257, 173, 250, 8, 58, 0, 34)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 237, 253, 253, 253, 130, 253, 233, 224, 253, 253, 172, 253, 253, 253, 253, 253, 117, 99, 16, 0, 0, 0, 0, 0, 15, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.27288948788512374, y=-0.9580123913766275, z=0.0773319125811791, w=0.04199238820509173)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.03777777777777778, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.17, z=0.05)>	COMP<155>
[1740779873.0412114]	Q_Header<(2621443, 3269, 257, 173, 250, 8, 58, 1, 32)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 235, 252, 253, 219, 253, 239, 153, 176, 253, 183, 183, 203, 253, 253, 253, 253, 253, 253, 183, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2720962480366609, y=-0.9582573113897658, z=0.07745404637921101, w=0.041321031835087355)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.17, z=0.01)>	COMP<155>
[1740779873.051126]	Q_Header<(2621443, 3270, 257, 173, 250, 8, 58, 2, 44)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 190, 194, 233, 226, 253, 253, 129, 226, 253, 174, 151, 53, 233, 253, 253, 253, 253, 253, 253, 116, 79, 42, 22, 0, 0, 19, 0, 0, 68, 86, 18, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2720962480366609, y=-0.9582573113897658, z=0.07745404637921101, w=0.041321031835087355)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.17, z=0.01)>	COMP<155>
[1740779873.061184]	Q_Header<(2621443, 3271, 257, 173, 250, 8, 58, 3, 50)>	Q_Data<(0, 0, 60, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 89, 116, 206, 253, 253, 253, 241, 245, 253, 238, 149, 106, 168, 253, 253, 252, 253, 253, 253, 176, 133, 85, 56, 0, 34, 9, 15, 36, 105, 148, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 65, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2720962480366609, y=-0.9582573113897658, z=0.07745404637921101, w=0.041321031835087355)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.17, z=0.01)>	COMP<155>
[1740779873.0712423]	Q_Header<(2621443, 3272, 257, 173, 250, 8, 58, 4, 49)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 145, 201, 242, 253, 253, 253, 253, 184, 253, 246, 123, 73, 132, 253, 253, 218, 253, 253, 253, 216, 159, 101, 66, 25, 31, 0, 54, 103, 106, 170, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 69, 70, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2720962480366609, y=-0.9582573113897658, z=0.07745404637921101, w=0.041321031835087355)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.17, z=0.01)>	COMP<155>
[1740779873.0813243]	Q_Header<(2621443, 3273, 257, 173, 250, 8, 58, 5, 49)>	Q_Data<(0, 0, 62, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 196, 253, 253, 253, 253, 253, 222, 192, 253, 253, 147, 63, 85, 207, 194, 179, 253, 253, 253, 213, 142, 83, 52, 25, 0, 0, 84, 141, 34, 148, 44, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 141, 96, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2714848796691033, y=-0.9584368402526819, z=0.0776368630708407, w=0.0408325954358431)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03888888888888889, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.19, z=0.06)>	COMP<155>
[1740779873.0911736]	Q_Header<(2621443, 3274, 257, 173, 250, 8, 58, 6, 51)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 182, 253, 236, 253, 253, 253, 253, 253, 253, 253, 186, 38, 96, 116, 117, 147, 253, 253, 253, 219, 76, 60, 9, 10, 22, 57, 89, 139, 24, 94, 0, 0, 0, 0, 53, 86, 0, 0, 0, 85, 68, 133, 119, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2714848796691033, y=-0.9584368402526819, z=0.0776368630708407, w=0.0408325954358431)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03888888888888889, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.19, z=0.06)>	COMP<155>
[1740779873.1012373]	Q_Header<(2621443, 3275, 257, 173, 250, 8, 58, 7, 53)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 125, 201, 174, 253, 253, 253, 253, 253, 253, 253, 205, 94, 163, 68, 79, 117, 253, 253, 253, 175, 146, 85, 55, 0, 59, 91, 51, 108, 48, 52, 12, 0, 0, 0, 121, 183, 78, 0, 0, 139, 144, 253, 253, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2714848796691033, y=-0.9584368402526819, z=0.0776368630708407, w=0.0408325954358431)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03888888888888889, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.19, z=0.06)>	COMP<155>
[1740779873.1120942]	Q_Header<(2621443, 3276, 257, 173, 250, 8, 58, 8, 64)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 91, 170, 188, 253, 253, 190, 253, 253, 253, 196, 180, 230, 159, 148, 70, 170, 253, 247, 99, 216, 135, 104, 0, 69, 66, 28, 59, 30, 0, 0, 0, 0, 62, 188, 237, 116, 0, 0, 124, 145, 253, 253, 86, 79, 0, 0, 0, 0, 0, 0, 0, 0, 74, 162, 117, 24, 46, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.27087785400302805, y=-0.9586317203631273, z=0.07763781664980886, w=0.04028377278999516)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=-0.03888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.19, z=0.03)>	COMP<157>
[1740779873.1213458]	Q_Header<(2621443, 3277, 257, 173, 250, 8, 58, 9, 77)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 128, 217, 126, 253, 253, 251, 253, 253, 253, 198, 208, 204, 253, 253, 110, 115, 157, 218, 98, 238, 156, 126, 0, 104, 107, 107, 27, 0, 0, 30, 11, 29, 124, 248, 253, 165, 50, 0, 41, 129, 253, 253, 35, 72, 12, 0, 0, 0, 0, 0, 0, 0, 130, 253, 215, 78, 71, 102, 0, 0, 0, 0, 0, 0, 0, 83, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.27087785400302805, y=-0.9586317203631273, z=0.07763781664980886, w=0.04028377278999516)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=-0.03888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.19, z=0.03)>	COMP<157>
[1740779873.131488]	Q_Header<(2621443, 3278, 257, 173, 250, 8, 58, 10, 80)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 123, 212, 153, 214, 253, 253, 253, 216, 253, 204, 142, 155, 253, 253, 253, 147, 102, 172, 105, 198, 137, 110, 21, 202, 253, 229, 0, 8, 0, 0, 0, 94, 160, 236, 253, 185, 60, 0, 0, 90, 184, 181, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 159, 253, 253, 126, 64, 91, 0, 0, 0, 0, 0, 0, 0, 147, 195, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 201, 136, 243, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.27087785400302805, y=-0.9586317203631273, z=0.07763781664980886, w=0.04028377278999516)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=-0.03888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.19, z=0.03)>	COMP<157>
