[1740779885.5314312]	Q_Header<(2621443, 4518, 257, 173, 250, 8, 58, 0, 46)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 252, 253, 253, 253, 253, 244, 253, 253, 253, 253, 242, 125, 193, 103, 100, 74, 0, 38, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 36, 20, 79, 0, 47, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 46, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.12598001527664662, y=-0.9878810790952158, z=0.08630607635716005, w=0.02777175724364061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.01888888888888889, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=0.07)>	COMP<196>
[1740779885.5425336]	Q_Header<(2621443, 4519, 257, 173, 250, 8, 58, 1, 50)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 251, 253, 253, 253, 253, 253, 253, 253, 253, 253, 251, 201, 178, 142, 166, 104, 30, 45, 7, 0, 0, 12, 27, 0, 0, 10, 0, 0, 0, 0, 42, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1260392393882226, y=-0.9878668714277883, z=0.08624379915523415, w=0.028198609490246412)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.027777777777777776, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.1, z=0.11)>	COMP<197>
[1740779885.5534549]	Q_Header<(2621443, 4520, 257, 173, 250, 8, 58, 2, 47)>	Q_Data<(0, 0, 17, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 212, 249, 253, 253, 253, 253, 224, 177, 221, 253, 209, 248, 131, 143, 184, 123, 45, 31, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 37, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1260392393882226, y=-0.9878668714277883, z=0.08624379915523415, w=0.028198609490246412)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.027777777777777776, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.1, z=0.11)>	COMP<197>
[1740779885.5612621]	Q_Header<(2621443, 4521, 257, 173, 250, 8, 58, 3, 37)>	Q_Data<(0, 0, 59, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 247, 190, 253, 253, 253, 253, 155, 155, 112, 253, 253, 176, 230, 89, 138, 116, 49, 13, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1260392393882226, y=-0.9878668714277883, z=0.08624379915523415, w=0.028198609490246412)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.027777777777777776, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.1, z=0.11)>	COMP<197>
[1740779885.5712433]	Q_Header<(2621443, 4522, 257, 173, 250, 8, 58, 4, 34)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 250, 134, 253, 253, 253, 253, 163, 144, 154, 253, 253, 253, 253, 169, 66, 120, 18, 22, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1260392393882226, y=-0.9878668714277883, z=0.08624379915523415, w=0.028198609490246412)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.027777777777777776, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.1, z=0.11)>	COMP<197>
[1740779885.5813293]	Q_Header<(2621443, 4523, 257, 173, 250, 8, 58, 5, 42)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 253, 152, 253, 253, 253, 251, 176, 135, 149, 253, 253, 253, 253, 253, 186, 109, 60, 61, 71, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1260982173171287, y=-0.98785074892436, z=0.08618135665623702, w=0.02868642891531969)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.035555555555555556, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.1, z=0.01)>	COMP<197>
[1740779885.5912597]	Q_Header<(2621443, 4524, 257, 173, 250, 8, 58, 6, 38)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 253, 139, 253, 253, 253, 253, 163, 124, 134, 253, 253, 253, 253, 253, 253, 125, 109, 90, 110, 41, 0, 0, 0, 21, 15, 16, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1260982173171287, y=-0.98785074892436, z=0.08618135665623702, w=0.02868642891531969)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.035555555555555556, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.1, z=0.01)>	COMP<197>
[1740779885.601275]	Q_Header<(2621443, 4525, 257, 173, 250, 8, 58, 7, 35)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 231, 165, 253, 175, 253, 253, 145, 91, 253, 253, 253, 237, 253, 253, 253, 253, 123, 93, 110, 46, 0, 27, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1260982173171287, y=-0.98785074892436, z=0.08618135665623702, w=0.02868642891531969)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.035555555555555556, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.1, z=0.01)>	COMP<197>
[1740779885.6113613]	Q_Header<(2621443, 4526, 257, 173, 250, 8, 58, 8, 35)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 182, 189, 253, 223, 253, 253, 142, 171, 253, 253, 253, 108, 253, 253, 253, 253, 121, 128, 117, 45, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.12615693746553863, y=-0.9878326235509157, z=0.08611874154033625, w=0.029235207085627966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.04111111111111111, z=0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.09, z=0.13)>	COMP<199>
[1740779885.6212945]	Q_Header<(2621443, 4527, 257, 173, 250, 8, 58, 9, 32)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 146, 161, 253, 122, 253, 253, 107, 201, 253, 253, 253, 192, 253, 253, 253, 253, 197, 253, 253, 93, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.12615693746553863, y=-0.9878326235509157, z=0.08611874154033625, w=0.029235207085627966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.04111111111111111, z=0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.09, z=0.13)>	COMP<199>
[1740779885.6312635]	Q_Header<(2621443, 4528, 257, 173, 250, 8, 58, 10, 42)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 145, 185, 235, 253, 253, 253, 253, 239, 253, 253, 253, 198, 194, 247, 243, 253, 253, 253, 253, 227, 57, 52, 60, 0, 0, 0, 0, 0, 29, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.12615693746553863, y=-0.9878326235509157, z=0.08611874154033625, w=0.029235207085627966)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.04111111111111111, z=0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.09, z=0.13)>	COMP<199>
