[1740780010.5022264]	Q_Header<(2621443, 17018, 257, 173, 250, 8, 58, 0, 54)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 114, 209, 253, 253, 253, 253, 253, 121, 97, 48, 35, 42, 123, 132, 31, 52, 0, 27, 130, 253, 253, 253, 253, 253, 152, 106, 71, 42, 0, 36, 67, 73, 54, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 72, 23, 0, 79, 119, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32738251540205826, y=-0.9396073498535956, z=0.09972837997146965, w=-0.0036009635363015357)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.012222222222222223, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=0.02)>	COMP<197>
[1740780010.5123181]	Q_Header<(2621443, 17019, 257, 173, 250, 8, 58, 1, 59)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 210, 253, 253, 253, 253, 253, 209, 110, 97, 51, 42, 90, 118, 57, 16, 0, 0, 94, 170, 253, 253, 253, 253, 167, 91, 36, 50, 0, 44, 110, 161, 123, 52, 39, 0, 27, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 45, 86, 42, 0, 50, 77, 71, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32696348123400065, y=-0.9397529812506827, z=0.09973088077960744, w=-0.0036010538347593874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=0.008888888888888889, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.02, z=0.16)>	COMP<195>
[1740780010.5223053]	Q_Header<(2621443, 17020, 257, 173, 250, 8, 58, 2, 57)>	Q_Data<(0, 0, 7, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 240, 253, 253, 253, 253, 253, 253, 160, 112, 74, 41, 61, 86, 60, 0, 0, 0, 50, 138, 253, 253, 253, 231, 155, 71, 0, 46, 0, 56, 155, 233, 157, 83, 14, 0, 40, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 74, 0, 0, 55, 56, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32696348123400065, y=-0.9397529812506827, z=0.09973088077960744, w=-0.0036010538347593874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=0.008888888888888889, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.02, z=0.16)>	COMP<195>
[1740780010.5333326]	Q_Header<(2621443, 17021, 257, 173, 250, 8, 58, 3, 57)>	Q_Data<(0, 0, 59, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 143, 253, 252, 161, 253, 253, 253, 253, 161, 47, 64, 85, 68, 74, 90, 45, 0, 12, 0, 57, 186, 253, 253, 243, 75, 0, 21, 0, 0, 66, 166, 243, 153, 75, 0, 0, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32696348123400065, y=-0.9397529812506827, z=0.09973088077960744, w=-0.0036010538347593874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=0.008888888888888889, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.02, z=0.16)>	COMP<195>
[1740780010.5423942]	Q_Header<(2621443, 17022, 257, 173, 250, 8, 58, 4, 57)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 148, 253, 239, 220, 253, 253, 253, 253, 178, 208, 118, 129, 97, 88, 91, 40, 0, 7, 0, 0, 104, 224, 253, 239, 133, 70, 47, 0, 0, 53, 137, 185, 119, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 38, 32, 32, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32696348123400065, y=-0.9397529812506827, z=0.09973088077960744, w=-0.0036010538347593874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=0.008888888888888889, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.02, z=0.16)>	COMP<195>
[1740780010.552275]	Q_Header<(2621443, 17023, 257, 173, 250, 8, 58, 5, 47)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 152, 253, 247, 253, 245, 253, 253, 253, 253, 253, 209, 123, 106, 117, 79, 49, 21, 0, 0, 15, 63, 118, 151, 127, 68, 62, 60, 0, 0, 42, 93, 87, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32647110240304755, y=-0.9399242806144947, z=0.09972962821584964, w=-0.0036010086075490386)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.012222222222222223, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.17, y=0.02, z=0.15)>	COMP<197>
[1740780010.562303]	Q_Header<(2621443, 17024, 257, 173, 250, 8, 58, 6, 58)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 146, 253, 253, 253, 213, 253, 253, 219, 253, 253, 228, 134, 181, 160, 109, 96, 33, 0, 0, 0, 0, 72, 81, 10, 43, 69, 62, 0, 0, 23, 45, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 18, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32647110240304755, y=-0.9399242806144947, z=0.09972962821584964, w=-0.0036010086075490386)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.012222222222222223, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.17, y=0.02, z=0.15)>	COMP<197>
[1740780010.5721996]	Q_Header<(2621443, 17025, 257, 173, 250, 8, 58, 7, 48)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 124, 222, 237, 253, 253, 253, 206, 253, 201, 253, 129, 253, 253, 184, 133, 126, 16, 21, 0, 15, 0, 16, 18, 0, 0, 49, 51, 0, 16, 0, 14, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32647110240304755, y=-0.9399242806144947, z=0.09972962821584964, w=-0.0036010086075490386)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.012222222222222223, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.17, y=0.02, z=0.15)>	COMP<197>
[1740780010.58226]	Q_Header<(2621443, 17026, 257, 173, 250, 8, 58, 8, 43)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 181, 213, 253, 253, 253, 253, 253, 253, 133, 219, 253, 253, 155, 169, 126, 91, 73, 34, 27, 17, 0, 0, 0, 0, 0, 0, 41, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 26, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32610644579280973, y=-0.9400508100506936, z=0.0997301015207657, w=-0.0036010256975062276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.013333333333333334, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.18, y=0.01, z=0.05)>	COMP<197>
[1740780010.5921814]	Q_Header<(2621443, 17027, 257, 173, 250, 8, 58, 9, 44)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 164, 204, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 142, 253, 138, 142, 136, 71, 25, 0, 0, 12, 0, 0, 0, 0, 44, 82, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 47, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32610644579280973, y=-0.9400508100506936, z=0.0997301015207657, w=-0.0036010256975062276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.013333333333333334, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.18, y=0.01, z=0.05)>	COMP<197>
[1740780010.6021926]	Q_Header<(2621443, 17028, 257, 173, 250, 8, 58, 10, 43)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 163, 197, 253, 253, 253, 253, 253, 253, 253, 239, 253, 125, 186, 253, 170, 150, 179, 85, 46, 6, 0, 0, 0, 0, 0, 31, 30, 71, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 47, 61, 44, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32610644579280973, y=-0.9400508100506936, z=0.0997301015207657, w=-0.0036010256975062276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.013333333333333334, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.18, y=0.01, z=0.05)>	COMP<197>
