[1740780013.0024195]	Q_Header<(2621443, 17268, 257, 173, 250, 8, 58, 0, 51)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 140, 253, 253, 253, 253, 253, 253, 253, 192, 141, 54, 44, 51, 25, 37, 30, 18, 0, 35, 113, 241, 253, 253, 253, 168, 53, 74, 0, 0, 38, 98, 176, 138, 97, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3070736446054798, y=-0.9466120362127582, z=0.0980243039627113, w=-0.004760831699309765)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.015555555555555555, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=0.03, z=0.0)>	COMP<190>
[1740780013.0125]	Q_Header<(2621443, 17269, 257, 173, 250, 8, 58, 1, 59)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 151, 253, 253, 253, 253, 233, 237, 253, 237, 140, 96, 120, 70, 100, 120, 29, 6, 0, 29, 72, 168, 253, 253, 246, 156, 35, 0, 0, 0, 43, 84, 211, 198, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3070665390111168, y=-0.946651166778458, z=0.09765582636012461, w=-0.005004861100956386)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.01888888888888889, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.0, z=-0.04)>	COMP<193>
[1740780013.022364]	Q_Header<(2621443, 17270, 257, 173, 250, 8, 58, 2, 55)>	Q_Data<(0, 0, 32, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 135, 253, 253, 253, 173, 199, 253, 253, 253, 188, 197, 192, 126, 150, 206, 74, 0, 0, 0, 39, 97, 133, 164, 181, 98, 73, 58, 24, 0, 45, 50, 187, 176, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 65, 0, 0, 72, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3070665390111168, y=-0.946651166778458, z=0.09765582636012461, w=-0.005004861100956386)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.01888888888888889, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.0, z=-0.04)>	COMP<193>
[1740780013.0323007]	Q_Header<(2621443, 17271, 257, 173, 250, 8, 58, 3, 49)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 118, 228, 253, 253, 253, 253, 253, 253, 253, 177, 248, 203, 155, 173, 239, 89, 22, 0, 0, 17, 58, 98, 124, 80, 0, 10, 49, 38, 0, 41, 25, 114, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 64, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3070665390111168, y=-0.946651166778458, z=0.09765582636012461, w=-0.005004861100956386)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.01888888888888889, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.0, z=-0.04)>	COMP<193>
[1740780013.0429897]	Q_Header<(2621443, 17272, 257, 173, 250, 8, 58, 4, 48)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 199, 253, 253, 253, 253, 253, 253, 253, 204, 224, 144, 185, 143, 183, 47, 27, 0, 6, 0, 0, 51, 81, 44, 20, 41, 31, 14, 0, 0, 0, 45, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 61, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3071287460699184, y=-0.9466547797186873, z=0.09741205857066569, w=-0.005249020699923088)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.016666666666666666, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.01, z=-0.05)>	COMP<193>
[1740780013.0524023]	Q_Header<(2621443, 17273, 257, 173, 250, 8, 58, 5, 50)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 209, 253, 253, 253, 253, 226, 253, 253, 253, 150, 129, 171, 126, 118, 124, 68, 35, 7, 0, 12, 30, 67, 47, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 98, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3071287460699184, y=-0.9466547797186873, z=0.09741205857066569, w=-0.005249020699923088)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.016666666666666666, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.01, z=-0.05)>	COMP<193>
[1740780013.0621884]	Q_Header<(2621443, 17274, 257, 173, 250, 8, 58, 6, 47)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 205, 253, 253, 253, 253, 253, 253, 253, 253, 135, 253, 253, 109, 185, 111, 91, 71, 13, 0, 0, 31, 42, 33, 0, 15, 20, 0, 50, 0, 17, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 91, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3071287460699184, y=-0.9466547797186873, z=0.09741205857066569, w=-0.005249020699923088)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.016666666666666666, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.01, z=-0.05)>	COMP<193>
[1740780013.0722117]	Q_Header<(2621443, 17275, 257, 173, 250, 8, 58, 7, 42)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 162, 253, 253, 253, 253, 253, 253, 253, 253, 205, 253, 253, 253, 171, 90, 89, 91, 50, 0, 0, 0, 0, 23, 42, 0, 0, 55, 65, 0, 26, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3071287460699184, y=-0.9466547797186873, z=0.09741205857066569, w=-0.005249020699923088)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.016666666666666666, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.01, z=-0.05)>	COMP<193>
[1740780013.0822992]	Q_Header<(2621443, 17276, 257, 173, 250, 8, 58, 8, 34)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 161, 253, 253, 253, 253, 253, 253, 253, 253, 234, 253, 253, 253, 253, 240, 149, 70, 80, 0, 0, 0, 0, 0, 0, 0, 0, 44, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3071286471016361, y=-0.9466544746713785, z=0.0974120271808846, w=-0.005310054113243709)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0022222222222222222, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.0, z=-0.08)>	COMP<192>
[1740780013.091949]	Q_Header<(2621443, 17277, 257, 173, 250, 8, 58, 9, 38)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 143, 210, 253, 253, 253, 253, 253, 253, 253, 145, 175, 253, 253, 253, 253, 253, 71, 95, 34, 17, 40, 24, 0, 0, 0, 0, 11, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3071286471016361, y=-0.9466544746713785, z=0.0974120271808846, w=-0.005310054113243709)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0022222222222222222, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.0, z=-0.08)>	COMP<192>
[1740780013.1021643]	Q_Header<(2621443, 17278, 257, 173, 250, 8, 58, 10, 34)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 84, 137, 253, 253, 253, 253, 253, 253, 253, 213, 247, 253, 253, 253, 253, 253, 240, 137, 82, 36, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3071286471016361, y=-0.9466544746713785, z=0.0974120271808846, w=-0.005310054113243709)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0022222222222222222, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=0.0, z=-0.08)>	COMP<192>
