[1740780018.0027368]	Q_Header<(2621443, 17768, 257, 173, 250, 8, 58, 0, 55)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 120, 239, 253, 240, 253, 253, 249, 240, 108, 94, 40, 56, 0, 0, 28, 35, 42, 19, 44, 28, 145, 253, 253, 253, 158, 46, 44, 0, 0, 0, 67, 145, 187, 67, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 67, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30675949100732663, y=-0.9470115922144211, z=0.0949697111037406, w=-0.006957935132279196)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=-0.0033333333333333335, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.03, z=0.14)>	COMP<192>
[1740780018.0123892]	Q_Header<(2621443, 17769, 257, 173, 250, 8, 58, 1, 59)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 123, 234, 253, 227, 253, 253, 253, 154, 149, 129, 123, 137, 93, 60, 90, 47, 37, 38, 29, 14, 94, 195, 253, 227, 147, 21, 20, 0, 0, 0, 51, 126, 150, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 65, 0, 74, 0, 84, 82, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3067686259417719, y=-0.9470397930983949, z=0.09466735750809555, w=-0.0068360696588695685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.0, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.0, z=0.09)>	COMP<192>
[1740780018.0222943]	Q_Header<(2621443, 17770, 257, 173, 250, 8, 58, 2, 55)>	Q_Data<(0, 0, 13, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 117, 217, 253, 253, 253, 253, 228, 253, 253, 253, 214, 204, 156, 99, 124, 45, 0, 25, 17, 0, 55, 128, 135, 100, 95, 64, 57, 0, 0, 0, 0, 69, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 43, 33, 85, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3067686259417719, y=-0.9470397930983949, z=0.09466735750809555, w=-0.0068360696588695685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.0, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.0, z=0.09)>	COMP<192>
[1740780018.0322478]	Q_Header<(2621443, 17771, 257, 173, 250, 8, 58, 3, 47)>	Q_Data<(0, 0, 62, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 99, 191, 253, 253, 253, 253, 141, 253, 253, 253, 253, 237, 191, 155, 164, 81, 23, 0, 0, 0, 0, 57, 79, 0, 95, 136, 121, 62, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3067686259417719, y=-0.9470397930983949, z=0.09466735750809555, w=-0.0068360696588695685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.0, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.0, z=0.09)>	COMP<192>
[1740780018.0424113]	Q_Header<(2621443, 17772, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 146, 253, 253, 253, 253, 253, 253, 253, 253, 253, 231, 207, 191, 163, 86, 52, 29, 0, 0, 19, 50, 69, 0, 81, 115, 91, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 99, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30675279360242896, y=-0.9470519495282312, z=0.0946014385363639, w=-0.006774683662926704)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.008888888888888889, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=0.23)>	COMP<190>
[1740780018.0523891]	Q_Header<(2621443, 17773, 257, 173, 250, 8, 58, 5, 42)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 160, 253, 253, 253, 253, 253, 253, 253, 253, 253, 228, 229, 239, 198, 21, 82, 79, 29, 16, 18, 9, 21, 0, 0, 39, 10, 0, 32, 35, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 76, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30675279360242896, y=-0.9470519495282312, z=0.0946014385363639, w=-0.006774683662926704)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.008888888888888889, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=0.23)>	COMP<190>
[1740780018.0623713]	Q_Header<(2621443, 17774, 257, 173, 250, 8, 58, 6, 45)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 204, 253, 253, 253, 253, 253, 253, 253, 253, 253, 237, 253, 253, 202, 89, 143, 152, 88, 54, 0, 0, 29, 14, 0, 0, 0, 28, 58, 74, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 117, 81, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30675279360242896, y=-0.9470519495282312, z=0.0946014385363639, w=-0.006774683662926704)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.008888888888888889, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=0.23)>	COMP<190>
[1740780018.0754085]	Q_Header<(2621443, 17775, 257, 173, 250, 8, 58, 7, 47)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 211, 253, 253, 207, 253, 253, 253, 253, 253, 236, 212, 253, 253, 208, 101, 71, 167, 108, 66, 0, 16, 22, 0, 0, 0, 0, 21, 73, 90, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 100, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3066961057870942, y=-0.9470653678603664, z=0.0946638129504046, w=-0.006591677497513667)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.015555555555555555, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.01, z=0.21)>	COMP<193>
[1740780018.0822735]	Q_Header<(2621443, 17776, 257, 173, 250, 8, 58, 8, 45)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 184, 253, 253, 253, 253, 253, 253, 253, 172, 214, 130, 253, 171, 253, 253, 226, 137, 58, 27, 0, 26, 29, 0, 0, 0, 0, 10, 53, 76, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3066961057870942, y=-0.9470653678603664, z=0.0946638129504046, w=-0.006591677497513667)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.015555555555555555, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.01, z=0.21)>	COMP<193>
[1740780018.0921814]	Q_Header<(2621443, 17777, 257, 173, 250, 8, 58, 9, 40)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 148, 216, 172, 177, 253, 253, 253, 253, 253, 239, 148, 253, 253, 253, 253, 253, 172, 107, 90, 0, 0, 41, 8, 0, 0, 0, 0, 25, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3066961057870942, y=-0.9470653678603664, z=0.0946638129504046, w=-0.006591677497513667)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.015555555555555555, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.01, z=0.21)>	COMP<193>
[1740780018.1021883]	Q_Header<(2621443, 17778, 257, 173, 250, 8, 58, 10, 35)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 105, 113, 166, 70, 253, 242, 253, 253, 253, 253, 251, 253, 253, 253, 253, 253, 253, 253, 207, 34, 70, 53, 67, 58, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3066961057870942, y=-0.9470653678603664, z=0.0946638129504046, w=-0.006591677497513667)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.015555555555555555, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.01, z=0.21)>	COMP<193>
