[1740780035.5024083]	Q_Header<(2621443, 19518, 257, 173, 250, 8, 58, 0, 49)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42, 163, 253, 253, 253, 253, 186, 250, 253, 253, 138, 253, 242, 253, 232, 108, 91, 82, 74, 45, 0, 21, 0, 0, 0, 64, 79, 84, 53, 25, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 97, 69, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2421283757350896, y=-0.9660110417845382, z=0.090332744161314, w=-0.006042528156736544)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03777777777777778, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.09, z=-0.01)>	COMP<186>
[1740780035.5133169]	Q_Header<(2621443, 19519, 257, 173, 250, 8, 58, 1, 48)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31, 163, 253, 253, 253, 253, 253, 212, 253, 253, 182, 253, 253, 253, 253, 170, 124, 80, 104, 75, 0, 0, 0, 0, 3, 20, 83, 96, 73, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 118, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24255989574779824, y=-0.965905976398819, z=0.09027329788902708, w=-0.0064088548197078045)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.035555555555555556, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.07, z=-0.05)>	COMP<186>
[1740780035.522415]	Q_Header<(2621443, 19520, 257, 173, 250, 8, 58, 2, 52)>	Q_Data<(0, 0, 25, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 161, 253, 253, 253, 175, 253, 215, 220, 253, 188, 253, 253, 253, 253, 253, 162, 107, 106, 79, 43, 0, 27, 0, 0, 0, 72, 52, 60, 0, 54, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 46, 112, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24255989574779824, y=-0.965905976398819, z=0.09027329788902708, w=-0.0064088548197078045)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.035555555555555556, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.07, z=-0.05)>	COMP<186>
[1740780035.5337076]	Q_Header<(2621443, 19521, 257, 173, 250, 8, 58, 3, 43)>	Q_Data<(0, 0, 61, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 229, 253, 253, 233, 253, 253, 253, 253, 161, 212, 253, 253, 253, 253, 253, 230, 165, 93, 44, 0, 0, 0, 0, 34, 40, 0, 38, 0, 9, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24255989574779824, y=-0.965905976398819, z=0.09027329788902708, w=-0.0064088548197078045)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.035555555555555556, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.07, z=-0.05)>	COMP<186>
[1740780035.5423915]	Q_Header<(2621443, 19522, 257, 173, 250, 8, 58, 4, 37)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 144, 238, 253, 221, 253, 253, 253, 253, 118, 164, 205, 253, 253, 253, 253, 253, 241, 224, 91, 36, 65, 105, 52, 29, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24304744334348358, y=-0.9657809382280111, z=0.09027302076971677, w=-0.006775054297118703)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.028888888888888888, z=-0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.06, z=0.08)>	COMP<182>
[1740780035.55237]	Q_Header<(2621443, 19523, 257, 173, 250, 8, 58, 5, 34)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 104, 154, 253, 253, 253, 253, 253, 253, 156, 155, 214, 253, 253, 253, 253, 253, 253, 253, 192, 75, 105, 134, 67, 29, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24304744334348358, y=-0.9657809382280111, z=0.09027302076971677, w=-0.006775054297118703)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.028888888888888888, z=-0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.06, z=0.08)>	COMP<182>
[1740780035.562414]	Q_Header<(2621443, 19524, 257, 173, 250, 8, 58, 6, 41)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 55, 113, 235, 253, 253, 253, 253, 253, 171, 209, 253, 253, 253, 253, 253, 253, 253, 253, 253, 98, 84, 114, 60, 21, 65, 56, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 6, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24304744334348358, y=-0.9657809382280111, z=0.09027302076971677, w=-0.006775054297118703)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.028888888888888888, z=-0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.06, z=0.08)>	COMP<182>
[1740780035.5724478]	Q_Header<(2621443, 19525, 257, 173, 250, 8, 58, 7, 57)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 14, 44, 139, 207, 253, 253, 253, 212, 253, 182, 234, 253, 253, 253, 253, 253, 253, 253, 253, 253, 65, 162, 196, 136, 27, 44, 49, 12, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 78, 117, 0, 0, 0, 120, 132, 138, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24304744334348358, y=-0.9657809382280111, z=0.09027302076971677, w=-0.006775054297118703)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.028888888888888888, z=-0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.06, z=0.08)>	COMP<182>
[1740780035.5834913]	Q_Header<(2621443, 19526, 257, 173, 250, 8, 58, 8, 58)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 136, 132, 253, 253, 253, 253, 253, 208, 213, 253, 253, 253, 253, 253, 253, 248, 253, 246, 111, 253, 253, 253, 115, 167, 53, 0, 0, 0, 0, 66, 49, 0, 0, 0, 0, 0, 18, 194, 236, 61, 0, 66, 184, 193, 214, 128, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 44, 152, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24377777194425349, y=-0.9655894722478944, z=0.0903332755326728, w=-0.007019139652876602)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.022222222222222223, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.07, z=0.13)>	COMP<185>
[1740780035.5924628]	Q_Header<(2621443, 19527, 257, 173, 250, 8, 58, 9, 68)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 90, 118, 252, 253, 253, 253, 253, 150, 85, 253, 253, 253, 235, 188, 181, 169, 221, 141, 185, 253, 253, 253, 245, 253, 193, 91, 0, 0, 33, 98, 59, 0, 0, 0, 0, 14, 162, 253, 253, 127, 0, 73, 177, 198, 232, 113, 70, 0, 0, 0, 0, 0, 0, 0, 41, 0, 18, 211, 253, 0, 112, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24377777194425349, y=-0.9655894722478944, z=0.0903332755326728, w=-0.007019139652876602)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.022222222222222223, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.07, z=0.13)>	COMP<185>
[1740780035.6024933]	Q_Header<(2621443, 19528, 257, 173, 250, 8, 58, 10, 61)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 73, 177, 226, 222, 253, 253, 253, 253, 253, 253, 253, 253, 160, 109, 120, 118, 120, 40, 200, 253, 253, 253, 253, 253, 253, 206, 84, 56, 14, 38, 27, 0, 0, 0, 0, 42, 235, 253, 253, 157, 0, 66, 111, 160, 188, 70, 40, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 231, 253, 0, 125, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24377777194425349, y=-0.9655894722478944, z=0.0903332755326728, w=-0.007019139652876602)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.022222222222222223, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.07, z=0.13)>	COMP<185>
