[1740780038.0024455]	Q_Header<(2621443, 19768, 257, 173, 250, 8, 58, 0, 48)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 56, 176, 171, 253, 253, 253, 242, 253, 253, 253, 248, 208, 202, 195, 237, 177, 85, 36, 0, 0, 0, 33, 58, 0, 114, 243, 253, 186, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 50, 74, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2780113078626708, y=-0.9564077265001211, z=0.08880492929532074, w=-0.010375833663370809)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.006666666666666667, z=-0.04111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.16, z=0.0)>	COMP<190>
[1740780038.0124686]	Q_Header<(2621443, 19769, 257, 173, 250, 8, 58, 1, 46)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 57, 175, 175, 150, 253, 253, 253, 253, 253, 253, 253, 204, 212, 186, 221, 184, 54, 26, 0, 0, 0, 44, 51, 44, 78, 193, 231, 169, 27, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27856297488546056, y=-0.9562327185649672, z=0.0889887855790976, w=-0.010131782171557066)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.012222222222222223, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.15, z=0.03)>	COMP<183>
[1740780038.0224314]	Q_Header<(2621443, 19770, 257, 173, 250, 8, 58, 2, 47)>	Q_Data<(0, 0, 19, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45, 133, 220, 191, 253, 253, 253, 253, 253, 253, 253, 192, 164, 102, 90, 97, 63, 0, 23, 22, 2, 27, 0, 49, 49, 107, 152, 103, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 62, 0, 35, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27856297488546056, y=-0.9562327185649672, z=0.0889887855790976, w=-0.010131782171557066)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.012222222222222223, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.15, z=0.03)>	COMP<183>
[1740780038.0324016]	Q_Header<(2621443, 19771, 257, 173, 250, 8, 58, 3, 47)>	Q_Data<(0, 0, 58, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 172, 253, 163, 253, 253, 253, 253, 253, 253, 253, 70, 131, 253, 246, 125, 67, 49, 28, 24, 0, 0, 0, 38, 40, 0, 60, 24, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 48, 0, 80, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27856297488546056, y=-0.9562327185649672, z=0.0889887855790976, w=-0.010131782171557066)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.012222222222222223, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.15, z=0.03)>	COMP<183>
[1740780038.043498]	Q_Header<(2621443, 19772, 257, 173, 250, 8, 58, 4, 47)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 195, 253, 169, 253, 253, 253, 253, 253, 253, 253, 149, 253, 253, 253, 203, 113, 38, 54, 7, 0, 15, 0, 37, 30, 39, 33, 74, 0, 3, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 86, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27917114549414057, y=-0.9560421563227411, z=0.0891711944833711, w=-0.00976549700023229)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.021111111111111112, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=-0.01)>	COMP<184>
[1740780038.0524452]	Q_Header<(2621443, 19773, 257, 173, 250, 8, 58, 5, 50)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 177, 253, 155, 253, 253, 253, 231, 195, 253, 253, 182, 253, 253, 253, 245, 133, 69, 0, 41, 21, 34, 0, 0, 0, 0, 50, 75, 38, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 22, 0, 0, 23, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27917114549414057, y=-0.9560421563227411, z=0.0891711944833711, w=-0.00976549700023229)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.021111111111111112, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=-0.01)>	COMP<184>
[1740780038.062412]	Q_Header<(2621443, 19774, 257, 173, 250, 8, 58, 6, 46)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 131, 238, 172, 253, 253, 253, 253, 253, 216, 191, 204, 253, 253, 253, 174, 214, 219, 114, 100, 18, 31, 0, 0, 0, 0, 47, 45, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27917114549414057, y=-0.9560421563227411, z=0.0891711944833711, w=-0.00976549700023229)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.021111111111111112, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=-0.01)>	COMP<184>
[1740780038.0732775]	Q_Header<(2621443, 19775, 257, 173, 250, 8, 58, 7, 35)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 74, 113, 177, 253, 253, 253, 253, 253, 253, 117, 173, 253, 253, 253, 253, 253, 253, 229, 132, 93, 0, 34, 29, 63, 0, 39, 51, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27917114549414057, y=-0.9560421563227411, z=0.0891711944833711, w=-0.00976549700023229)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.021111111111111112, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=-0.01)>	COMP<184>
[1740780038.0824318]	Q_Header<(2621443, 19776, 257, 173, 250, 8, 58, 8, 42)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 88, 150, 253, 253, 253, 253, 253, 213, 149, 69, 191, 196, 253, 253, 253, 253, 253, 221, 195, 48, 65, 94, 109, 39, 79, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27990508637207223, y=-0.9558032386800372, z=0.08947685491091537, w=-0.009338307504345191)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.01888888888888889, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.16, z=-0.07)>	COMP<184>
[1740780038.0923343]	Q_Header<(2621443, 19777, 257, 173, 250, 8, 58, 9, 36)>	Q_Data<(0, 0, 66, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 99, 55, 253, 253, 253, 253, 253, 167, 160, 79, 124, 253, 253, 253, 253, 253, 253, 253, 253, 61, 74, 119, 128, 67, 103, 114, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27990508637207223, y=-0.9558032386800372, z=0.08947685491091537, w=-0.009338307504345191)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.01888888888888889, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.16, z=-0.07)>	COMP<184>
[1740780038.1024423]	Q_Header<(2621443, 19778, 257, 173, 250, 8, 58, 10, 49)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 70, 111, 207, 253, 253, 253, 197, 206, 164, 60, 207, 253, 253, 253, 253, 253, 253, 253, 253, 46, 90, 170, 179, 114, 49, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 39, 69, 40, 56, 0, 0, 0, 0, 0, 0, 24, 0, 0, 35, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27990508637207223, y=-0.9558032386800372, z=0.08947685491091537, w=-0.009338307504345191)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.01888888888888889, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.16, z=-0.07)>	COMP<184>
