[1740780043.0024958]	Q_Header<(2621443, 20268, 257, 173, 250, 8, 58, 0, 50)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 198, 253, 253, 253, 253, 253, 253, 253, 204, 100, 109, 118, 152, 165, 114, 6, 18, 86, 170, 253, 253, 253, 253, 253, 253, 249, 202, 220, 24, 0, 30, 0, 56, 0, 115, 127, 41, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 34, 53, 76, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3735968935482573, y=-0.9234026143590239, z=0.08581559097024176, w=-0.019714392520190676)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.19, y=-0.15, z=0.07)>	COMP<185>
[1740780043.0125074]	Q_Header<(2621443, 20269, 257, 173, 250, 8, 58, 1, 47)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 230, 253, 253, 253, 253, 253, 253, 253, 184, 72, 68, 133, 253, 208, 91, 46, 40, 113, 218, 253, 253, 253, 253, 253, 253, 187, 77, 115, 30, 0, 0, 0, 0, 0, 50, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 53, 9, 71, 117, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.37432848289718085, y=-0.9230953815974178, z=0.08587643493173544, w=-0.019958489141917193)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.027777777777777776, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.13, z=0.05)>	COMP<185>
[1740780043.0226078]	Q_Header<(2621443, 20270, 257, 173, 250, 8, 58, 2, 51)>	Q_Data<(0, 0, 17, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 226, 253, 253, 253, 253, 253, 253, 253, 115, 55, 0, 124, 253, 253, 121, 56, 33, 95, 183, 253, 253, 253, 253, 175, 176, 118, 0, 54, 0, 0, 0, 28, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 51, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.37432848289718085, y=-0.9230953815974178, z=0.08587643493173544, w=-0.019958489141917193)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.027777777777777776, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.13, z=0.05)>	COMP<185>
[1740780043.0324607]	Q_Header<(2621443, 20271, 257, 173, 250, 8, 58, 3, 54)>	Q_Data<(0, 0, 60, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 186, 251, 253, 253, 253, 253, 253, 233, 28, 42, 49, 85, 226, 240, 111, 32, 21, 53, 127, 236, 253, 253, 253, 117, 150, 51, 0, 44, 0, 28, 79, 86, 27, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 51, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.37432848289718085, y=-0.9230953815974178, z=0.08587643493173544, w=-0.019958489141917193)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.027777777777777776, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.13, z=0.05)>	COMP<185>
[1740780043.0426016]	Q_Header<(2621443, 20272, 257, 173, 250, 8, 58, 4, 47)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 104, 253, 253, 253, 253, 253, 249, 228, 52, 22, 48, 29, 132, 138, 91, 7, 0, 13, 88, 149, 253, 253, 253, 161, 171, 0, 2, 34, 0, 51, 119, 107, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3752484923427185, y=-0.9226791572454255, z=0.08630471180426219, w=-0.020080799281189717)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=-0.013333333333333334, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.12, z=0.08)>	COMP<185>
[1740780043.0524495]	Q_Header<(2621443, 20273, 257, 173, 250, 8, 58, 5, 51)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 104, 253, 253, 184, 253, 253, 217, 221, 137, 74, 69, 37, 73, 89, 87, 21, 0, 0, 31, 103, 253, 253, 253, 170, 142, 0, 28, 0, 0, 36, 103, 70, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3752484923427185, y=-0.9226791572454255, z=0.08630471180426219, w=-0.020080799281189717)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=-0.013333333333333334, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.12, z=0.08)>	COMP<185>
[1740780043.0624843]	Q_Header<(2621443, 20274, 257, 173, 250, 8, 58, 6, 60)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 95, 253, 253, 106, 253, 253, 247, 190, 164, 94, 104, 97, 76, 70, 72, 0, 0, 0, 0, 90, 209, 253, 253, 133, 134, 96, 114, 29, 0, 17, 59, 27, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 25, 0, 0, 60, 77, 0, 0, 0, 86, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3752484923427185, y=-0.9226791572454255, z=0.08630471180426219, w=-0.020080799281189717)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=-0.013333333333333334, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.12, z=0.08)>	COMP<185>
[1740780043.0725732]	Q_Header<(2621443, 20275, 257, 173, 250, 8, 58, 7, 52)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 98, 240, 253, 253, 253, 253, 253, 220, 171, 181, 135, 139, 55, 143, 140, 18, 12, 0, 0, 38, 154, 240, 180, 88, 188, 212, 198, 65, 13, 0, 40, 52, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 98, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3752484923427185, y=-0.9226791572454255, z=0.08630471180426219, w=-0.020080799281189717)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=-0.013333333333333334, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.12, z=0.08)>	COMP<185>
[1740780043.082555]	Q_Header<(2621443, 20276, 257, 173, 250, 8, 58, 8, 46)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38, 135, 229, 253, 253, 225, 253, 253, 253, 253, 253, 148, 120, 124, 163, 154, 80, 0, 0, 0, 0, 105, 159, 138, 115, 199, 253, 245, 97, 39, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3758626295228183, y=-0.9223832506250129, z=0.08679387125388886, w=-0.02008100115508399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=0.0033333333333333335, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.1, z=0.11)>	COMP<188>
[1740780043.0924304]	Q_Header<(2621443, 20277, 257, 173, 250, 8, 58, 9, 48)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 103, 196, 253, 253, 207, 253, 253, 253, 253, 253, 97, 173, 253, 187, 170, 115, 28, 0, 0, 0, 69, 94, 101, 103, 163, 229, 218, 101, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 14, 45, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3758626295228183, y=-0.9223832506250129, z=0.08679387125388886, w=-0.02008100115508399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=0.0033333333333333335, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.1, z=0.11)>	COMP<188>
[1740780043.1025057]	Q_Header<(2621443, 20278, 257, 173, 250, 8, 58, 10, 51)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 164, 253, 253, 253, 239, 253, 196, 253, 253, 253, 137, 253, 253, 184, 195, 116, 51, 33, 0, 0, 36, 36, 54, 50, 99, 133, 136, 75, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 93, 0, 24, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3758626295228183, y=-0.9223832506250129, z=0.08679387125388886, w=-0.02008100115508399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=0.0033333333333333335, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.1, z=0.11)>	COMP<188>
