[1740780053.0024986]	Q_Header<(2621443, 21268, 257, 173, 250, 8, 58, 0, 54)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 182, 247, 206, 253, 253, 253, 253, 253, 253, 253, 239, 248, 173, 188, 253, 136, 32, 0, 0, 0, 50, 26, 48, 125, 180, 143, 158, 126, 26, 0, 0, 32, 0, 32, 47, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 22, 0, 45, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2800842877076138, y=-0.9551795821800295, z=0.09527382286153521, w=-0.010375752649878915)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.05333333333333334, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.0, z=0.06)>	COMP<176>
[1740780053.012531]	Q_Header<(2621443, 21269, 257, 173, 250, 8, 58, 1, 44)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 218, 253, 185, 253, 253, 253, 253, 253, 253, 253, 253, 253, 192, 151, 253, 132, 66, 29, 12, 0, 36, 0, 32, 109, 167, 117, 139, 115, 20, 0, 0, 0, 0, 35, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27960349444837784, y=-0.9552661627617467, z=0.09588672555738956, w=-0.00970463995138443)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=0.06, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.01, z=-0.02)>	COMP<170>
[1740780053.0236201]	Q_Header<(2621443, 21270, 257, 173, 250, 8, 58, 2, 44)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 221, 253, 186, 253, 253, 253, 253, 253, 253, 253, 253, 253, 150, 145, 139, 93, 109, 93, 44, 0, 28, 31, 0, 56, 115, 103, 85, 23, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 124, 104, 47, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27960349444837784, y=-0.9552661627617467, z=0.09588672555738956, w=-0.00970463995138443)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=0.06, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.01, z=-0.02)>	COMP<170>
[1740780053.0324793]	Q_Header<(2621443, 21271, 257, 173, 250, 8, 58, 3, 52)>	Q_Data<(0, 0, 57, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 214, 253, 196, 253, 253, 253, 164, 253, 253, 253, 251, 253, 253, 253, 231, 121, 119, 131, 80, 55, 0, 42, 12, 0, 64, 94, 62, 75, 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 40, 122, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27960349444837784, y=-0.9552661627617467, z=0.09588672555738956, w=-0.00970463995138443)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=0.06, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.01, z=-0.02)>	COMP<170>
[1740780053.0425906]	Q_Header<(2621443, 21272, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 163, 253, 233, 253, 253, 253, 253, 253, 253, 121, 185, 253, 253, 253, 253, 253, 164, 118, 42, 68, 15, 22, 0, 0, 41, 91, 108, 96, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 23, 82, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2791807594391902, y=-0.9553426424884575, z=0.09643760382901628, w=-0.008850286427346431)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.07222222222222222, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=-0.06)>	COMP<167>
[1740780053.0525064]	Q_Header<(2621443, 21273, 257, 173, 250, 8, 58, 5, 44)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 106, 210, 234, 222, 253, 253, 253, 253, 253, 204, 114, 253, 253, 253, 253, 253, 253, 194, 99, 51, 26, 0, 0, 0, 24, 59, 76, 69, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 27, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2791807594391902, y=-0.9553426424884575, z=0.09643760382901628, w=-0.008850286427346431)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.07222222222222222, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=-0.06)>	COMP<167>
[1740780053.0785258]	Q_Header<(2621443, 21274, 257, 173, 250, 8, 58, 6, 35)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 154, 192, 129, 253, 253, 253, 253, 253, 246, 166, 253, 253, 253, 253, 253, 253, 253, 253, 104, 32, 0, 43, 19, 14, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27855898546840985, y=-0.9554866164566074, z=0.09692192570636171, w=-0.007507176865165296)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.07666666666666666, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.01, z=-0.14)>	COMP<167>
[1740780053.079861]	Q_Header<(2621443, 21275, 257, 173, 250, 8, 58, 7, 34)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 100, 141, 219, 253, 253, 253, 253, 236, 138, 150, 253, 219, 253, 253, 253, 253, 253, 253, 253, 83, 0, 61, 63, 39, 0, 44, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27855898546840985, y=-0.9554866164566074, z=0.09692192570636171, w=-0.007507176865165296)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.07666666666666666, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.01, z=-0.14)>	COMP<167>
[1740780053.0825353]	Q_Header<(2621443, 21276, 257, 173, 250, 8, 58, 8, 35)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49, 94, 248, 253, 253, 253, 253, 253, 118, 164, 253, 253, 253, 253, 253, 253, 253, 253, 253, 118, 87, 21, 53, 0, 23, 84, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27855898546840985, y=-0.9554866164566074, z=0.09692192570636171, w=-0.007507176865165296)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.07666666666666666, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.01, z=-0.14)>	COMP<167>
[1740780053.092541]	Q_Header<(2621443, 21277, 257, 173, 250, 8, 58, 9, 63)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 195, 227, 253, 253, 253, 240, 137, 200, 253, 253, 253, 253, 245, 253, 253, 253, 253, 132, 146, 175, 153, 62, 55, 77, 55, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 50, 81, 41, 0, 0, 0, 11, 74, 60, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 65, 98, 0, 62, 106, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27855898546840985, y=-0.9554866164566074, z=0.09692192570636171, w=-0.007507176865165296)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.07666666666666666, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.01, z=-0.14)>	COMP<167>
[1740780053.1026535]	Q_Header<(2621443, 21278, 257, 173, 250, 8, 58, 10, 69)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 127, 207, 141, 253, 253, 253, 215, 198, 169, 253, 253, 253, 253, 165, 253, 253, 253, 253, 134, 253, 253, 253, 152, 173, 153, 60, 0, 0, 44, 0, 10, 0, 0, 0, 0, 0, 59, 159, 209, 107, 0, 0, 0, 44, 107, 84, 48, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 119, 182, 53, 142, 214, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27855898546840985, y=-0.9554866164566074, z=0.09692192570636171, w=-0.007507176865165296)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.07666666666666666, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.01, z=-0.14)>	COMP<167>
