[1740780055.502584]	Q_Header<(2621443, 21518, 257, 173, 250, 8, 58, 0, 56)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 183, 253, 169, 253, 253, 217, 253, 253, 253, 253, 100, 135, 253, 253, 253, 111, 15, 54, 0, 0, 0, 15, 31, 115, 214, 253, 229, 113, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 41, 105, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27753158346839946, y=-0.9558878664391035, z=0.09594890020064305, w=-0.0069581263504283125)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.02666666666666667, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.09, z=-0.31)>	COMP<165>
[1740780055.5126283]	Q_Header<(2621443, 21519, 257, 173, 250, 8, 58, 1, 50)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 172, 226, 246, 253, 253, 212, 253, 253, 253, 253, 149, 200, 253, 253, 253, 98, 38, 69, 19, 23, 0, 17, 0, 85, 145, 239, 185, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 89, 19, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27752879399175234, y=-0.9558782587870758, z=0.09607000698109043, w=-0.006713914083811911)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.01888888888888889, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.07, z=-0.21)>	COMP<171>
[1740780055.5225832]	Q_Header<(2621443, 21520, 257, 173, 250, 8, 58, 2, 48)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 139, 198, 253, 253, 253, 247, 221, 253, 253, 253, 213, 253, 253, 253, 84, 79, 46, 93, 41, 31, 0, 45, 38, 23, 54, 123, 130, 109, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 58, 59, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27752879399175234, y=-0.9558782587870758, z=0.09607000698109043, w=-0.006713914083811911)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.01888888888888889, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.07, z=-0.21)>	COMP<171>
[1740780055.5335343]	Q_Header<(2621443, 21521, 257, 173, 250, 8, 58, 3, 48)>	Q_Data<(0, 0, 52, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 113, 190, 253, 253, 253, 253, 253, 253, 114, 253, 236, 253, 253, 253, 253, 158, 112, 91, 0, 38, 0, 32, 0, 0, 0, 0, 87, 125, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 48, 53, 54, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27752879399175234, y=-0.9558782587870758, z=0.09607000698109043, w=-0.006713914083811911)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.01888888888888889, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.07, z=-0.21)>	COMP<171>
[1740780055.5446439]	Q_Header<(2621443, 21522, 257, 173, 250, 8, 58, 4, 45)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 93, 183, 253, 253, 253, 253, 253, 253, 166, 180, 205, 210, 253, 253, 253, 253, 153, 87, 31, 49, 34, 19, 0, 0, 0, 26, 46, 99, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 20, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2774743099934287, y=-0.9559008290380745, z=0.09601123836772181, w=-0.0065919985656159915)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.006666666666666667, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.03, z=-0.22)>	COMP<167>
[1740780055.5524695]	Q_Header<(2621443, 21523, 257, 173, 250, 8, 58, 5, 35)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 140, 240, 253, 253, 253, 253, 253, 174, 91, 165, 149, 253, 253, 253, 253, 253, 132, 99, 76, 31, 0, 36, 13, 22, 0, 9, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2774743099934287, y=-0.9559008290380745, z=0.09601123836772181, w=-0.0065919985656159915)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.006666666666666667, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.03, z=-0.22)>	COMP<167>
[1740780055.5624733]	Q_Header<(2621443, 21524, 257, 173, 250, 8, 58, 6, 40)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 89, 188, 205, 253, 253, 253, 212, 175, 192, 228, 253, 253, 253, 253, 253, 253, 78, 253, 133, 65, 26, 63, 47, 27, 30, 30, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2774743099934287, y=-0.9559008290380745, z=0.09601123836772181, w=-0.0065919985656159915)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.006666666666666667, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.03, z=-0.22)>	COMP<167>
[1740780055.5725276]	Q_Header<(2621443, 21525, 257, 173, 250, 8, 58, 7, 39)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 70, 211, 110, 253, 253, 253, 217, 142, 221, 244, 253, 253, 253, 253, 253, 253, 253, 253, 189, 99, 42, 55, 62, 57, 72, 104, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2774743099934287, y=-0.9559008290380745, z=0.09601123836772181, w=-0.0065919985656159915)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.006666666666666667, z=0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.03, z=-0.22)>	COMP<167>
[1740780055.583905]	Q_Header<(2621443, 21526, 257, 173, 250, 8, 58, 8, 47)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 91, 213, 134, 253, 253, 253, 253, 225, 197, 214, 253, 253, 253, 253, 162, 248, 253, 253, 236, 114, 60, 80, 67, 81, 82, 119, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2773955556854986, y=-0.9559618456990021, z=0.09563890775779457, w=-0.006469511309716799)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.0022222222222222222, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.04, z=-0.29)>	COMP<167>
[1740780055.59257]	Q_Header<(2621443, 21527, 257, 173, 250, 8, 58, 9, 60)>	Q_Data<(0, 0, 66, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 148, 176, 205, 207, 253, 253, 253, 186, 169, 231, 253, 253, 178, 138, 135, 253, 253, 253, 126, 161, 230, 151, 187, 85, 81, 55, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 48, 34, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 21, 90, 144, 4, 60, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2773955556854986, y=-0.9559618456990021, z=0.09563890775779457, w=-0.006469511309716799)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.0022222222222222222, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.04, z=-0.29)>	COMP<167>
[1740780055.6026533]	Q_Header<(2621443, 21528, 257, 173, 250, 8, 58, 10, 70)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 113, 253, 249, 195, 253, 253, 253, 159, 177, 187, 253, 142, 210, 184, 86, 253, 253, 226, 117, 253, 253, 253, 253, 253, 253, 197, 49, 0, 0, 30, 26, 0, 0, 0, 0, 0, 33, 138, 137, 83, 0, 0, 27, 0, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 48, 182, 223, 102, 117, 208, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2773955556854986, y=-0.9559618456990021, z=0.09563890775779457, w=-0.006469511309716799)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.0022222222222222222, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.04, z=-0.29)>	COMP<167>
