[1740780070.502613]	Q_Header<(2621443, 23018, 257, 173, 250, 8, 58, 0, 47)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 253, 253, 253, 132, 253, 253, 253, 253, 253, 71, 58, 125, 199, 128, 131, 0, 38, 165, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 115, 0, 0, 0, 0, 102, 128, 88, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 10, 40, 98, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3920277585551854, y=-0.9152807515636867, z=0.09045385928363456, w=-0.01983637264991986)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.014444444444444444, z=0.11888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.07, z=-0.14)>	COMP<185>
[1740780070.5127363]	Q_Header<(2621443, 23019, 257, 173, 250, 8, 58, 1, 48)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 227, 157, 206, 253, 253, 253, 253, 253, 253, 86, 10, 130, 253, 243, 109, 27, 29, 145, 253, 253, 253, 253, 253, 253, 253, 253, 166, 152, 47, 0, 0, 41, 0, 48, 77, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 83, 0, 78, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3904319700647579, y=-0.9159313076069754, z=0.09075697037459668, w=-0.01989695517291091)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.015555555555555555, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.08)>	COMP<185>
[1740780070.5226908]	Q_Header<(2621443, 23020, 257, 173, 250, 8, 58, 2, 52)>	Q_Data<(0, 0, 30, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 215, 230, 253, 253, 253, 253, 253, 253, 253, 93, 56, 111, 253, 253, 137, 54, 0, 89, 187, 253, 243, 253, 253, 196, 215, 176, 135, 102, 0, 0, 35, 86, 74, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 45, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3904319700647579, y=-0.9159313076069754, z=0.09075697037459668, w=-0.01989695517291091)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.015555555555555555, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.08)>	COMP<185>
[1740780070.5341275]	Q_Header<(2621443, 23021, 257, 173, 250, 8, 58, 3, 53)>	Q_Data<(0, 0, 61, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 181, 253, 253, 253, 253, 253, 238, 253, 178, 65, 53, 71, 209, 253, 122, 46, 0, 0, 108, 230, 253, 253, 253, 187, 151, 104, 115, 49, 0, 0, 108, 154, 102, 16, 37, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3904319700647579, y=-0.9159313076069754, z=0.09075697037459668, w=-0.01989695517291091)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.015555555555555555, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.08)>	COMP<185>
[1740780070.5427356]	Q_Header<(2621443, 23022, 257, 173, 250, 8, 58, 4, 52)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 127, 216, 253, 253, 181, 253, 253, 158, 102, 42, 44, 0, 125, 160, 79, 42, 0, 21, 60, 112, 253, 253, 253, 221, 82, 24, 87, 0, 0, 41, 152, 198, 96, 38, 36, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3904319700647579, y=-0.9159313076069754, z=0.09075697037459668, w=-0.01989695517291091)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.015555555555555555, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=-0.08)>	COMP<185>
[1740780070.552732]	Q_Header<(2621443, 23023, 257, 173, 250, 8, 58, 5, 59)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32, 83, 129, 253, 253, 253, 253, 253, 94, 81, 99, 32, 33, 70, 98, 50, 25, 0, 0, 12, 81, 253, 253, 253, 223, 48, 73, 0, 0, 0, 23, 161, 199, 59, 56, 20, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 48, 0, 67, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38880378953519884, y=-0.9165881487362765, z=0.09112779556923892, w=-0.019836928037510144)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.023333333333333334, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.06, z=-0.08)>	COMP<185>
[1740780070.5627232]	Q_Header<(2621443, 23024, 257, 173, 250, 8, 58, 6, 56)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 75, 228, 253, 253, 251, 253, 253, 142, 75, 91, 62, 100, 49, 41, 95, 49, 11, 0, 0, 26, 204, 253, 253, 181, 183, 243, 118, 19, 0, 0, 129, 161, 29, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 68, 27, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38880378953519884, y=-0.9165881487362765, z=0.09112779556923892, w=-0.019836928037510144)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.023333333333333334, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.06, z=-0.08)>	COMP<185>
[1740780070.5726614]	Q_Header<(2621443, 23025, 257, 173, 250, 8, 58, 7, 56)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 134, 253, 253, 222, 232, 162, 198, 253, 180, 69, 149, 196, 135, 141, 180, 95, 43, 0, 0, 0, 103, 204, 180, 85, 253, 253, 239, 58, 31, 0, 77, 96, 49, 79, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 51, 0, 33, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38880378953519884, y=-0.9165881487362765, z=0.09112779556923892, w=-0.019836928037510144)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.023333333333333334, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.06, z=-0.08)>	COMP<185>
[1740780070.5827358]	Q_Header<(2621443, 23026, 257, 173, 250, 8, 58, 8, 52)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 161, 253, 253, 253, 253, 253, 253, 253, 253, 234, 216, 253, 178, 182, 237, 128, 68, 0, 0, 0, 63, 135, 101, 52, 253, 253, 253, 75, 57, 25, 29, 38, 53, 116, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 55, 0, 32, 0, 113, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3872070334136879, y=-0.9172363332504574, z=0.09143066457340865, w=-0.019714355578912546)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.024444444444444446, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.13)>	COMP<183>
[1740780070.5926673]	Q_Header<(2621443, 23027, 257, 173, 250, 8, 58, 9, 52)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 118, 233, 253, 253, 253, 253, 253, 253, 253, 253, 236, 252, 211, 242, 253, 169, 85, 0, 23, 0, 0, 59, 0, 62, 174, 253, 253, 122, 72, 10, 0, 0, 37, 109, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 43, 0, 0, 0, 117, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3872070334136879, y=-0.9172363332504574, z=0.09143066457340865, w=-0.019714355578912546)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.024444444444444446, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.13)>	COMP<183>
[1740780070.6043553]	Q_Header<(2621443, 23028, 257, 173, 250, 8, 58, 10, 47)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 253, 253, 253, 253, 253, 253, 253, 253, 253, 186, 173, 218, 253, 253, 174, 18, 29, 47, 0, 0, 0, 0, 50, 76, 253, 253, 94, 43, 0, 0, 0, 0, 73, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 11, 46, 117, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3872070334136879, y=-0.9172363332504574, z=0.09143066457340865, w=-0.019714355578912546)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.024444444444444446, z=0.11666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.13)>	COMP<183>
