[1740780090.5028713]	Q_Header<(2621443, 25018, 257, 173, 250, 8, 58, 0, 66)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 211, 215, 253, 253, 253, 253, 253, 253, 253, 233, 160, 198, 139, 84, 124, 202, 0, 75, 64, 53, 59, 49, 49, 88, 86, 168, 158, 111, 147, 163, 42, 0, 175, 253, 253, 253, 216, 169, 54, 59, 0, 0, 0, 0, 34, 81, 88, 48, 0, 0, 0, 0, 0, 30, 21, 0, 70, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45678993331356904, y=-0.8845269526430041, z=0.09149226483659006, w=-0.024170071297724926)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04111111111111111, y=0.04777777777777778, z=0.11888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.01, z=-0.11)>	COMP<150>
[1740780090.5129187]	Q_Header<(2621443, 25019, 257, 173, 250, 8, 58, 1, 58)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 153, 141, 253, 253, 253, 253, 230, 253, 207, 183, 163, 143, 98, 59, 105, 161, 0, 35, 20, 55, 39, 100, 105, 223, 253, 253, 253, 253, 186, 185, 58, 0, 181, 253, 253, 253, 198, 110, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 65, 35, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4546600573797534, y=-0.8855159232736558, z=0.09259220124111772, w=-0.02392626426270148)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.043333333333333335, y=0.04888888888888889, z=0.11555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.03, z=-0.18)>	COMP<150>
[1740780090.522813]	Q_Header<(2621443, 25020, 257, 173, 250, 8, 58, 2, 52)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 99, 131, 194, 253, 253, 253, 142, 241, 162, 101, 52, 94, 31, 86, 100, 94, 0, 45, 81, 118, 137, 170, 187, 253, 253, 253, 253, 253, 165, 166, 59, 0, 138, 253, 253, 253, 147, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4546600573797534, y=-0.8855159232736558, z=0.09259220124111772, w=-0.02392626426270148)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.043333333333333335, y=0.04888888888888889, z=0.11555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.03, z=-0.18)>	COMP<150>
[1740780090.5334444]	Q_Header<(2621443, 25021, 257, 173, 250, 8, 58, 3, 56)>	Q_Data<(0, 0, 61, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 220, 253, 153, 242, 253, 253, 193, 206, 253, 114, 107, 82, 66, 139, 165, 54, 20, 81, 154, 208, 215, 224, 253, 253, 253, 253, 253, 253, 94, 121, 36, 0, 53, 168, 224, 181, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 76, 0, 8, 0, 25, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4546600573797534, y=-0.8855159232736558, z=0.09259220124111772, w=-0.02392626426270148)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.043333333333333335, y=0.04888888888888889, z=0.11555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.03, z=-0.18)>	COMP<150>
[1740780090.5433974]	Q_Header<(2621443, 25022, 257, 173, 250, 8, 58, 4, 58)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 253, 253, 168, 224, 253, 253, 253, 253, 237, 86, 106, 57, 36, 188, 199, 76, 0, 107, 199, 243, 243, 253, 253, 253, 253, 253, 253, 253, 66, 51, 0, 0, 0, 83, 134, 106, 30, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 64, 0, 0, 0, 91, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4531231735710587, y=-0.8862268965856375, z=0.09338341265675106, w=-0.023681545170470202)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04, y=0.04666666666666667, z=0.11555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.04, z=-0.15)>	COMP<152>
[1740780090.5529063]	Q_Header<(2621443, 25023, 257, 173, 250, 8, 58, 5, 63)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 253, 253, 253, 240, 245, 234, 253, 253, 175, 84, 77, 46, 110, 204, 166, 78, 7, 106, 197, 223, 244, 253, 253, 244, 240, 253, 253, 185, 46, 9, 12, 0, 0, 40, 88, 50, 9, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 95, 0, 0, 0, 109, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4531231735710587, y=-0.8862268965856375, z=0.09338341265675106, w=-0.023681545170470202)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04, y=0.04666666666666667, z=0.11555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.04, z=-0.15)>	COMP<152>
[1740780090.564036]	Q_Header<(2621443, 25024, 257, 173, 250, 8, 58, 6, 63)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 231, 223, 253, 253, 227, 253, 253, 253, 125, 82, 46, 53, 105, 163, 90, 77, 30, 87, 156, 194, 253, 253, 253, 241, 59, 177, 164, 109, 0, 0, 0, 46, 106, 58, 16, 13, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 85, 11, 0, 0, 118, 153, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4531231735710587, y=-0.8862268965856375, z=0.09338341265675106, w=-0.023681545170470202)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04, y=0.04666666666666667, z=0.11555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.04, z=-0.15)>	COMP<152>
[1740780090.5739875]	Q_Header<(2621443, 25025, 257, 173, 250, 8, 58, 7, 62)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 147, 145, 253, 253, 192, 253, 253, 253, 22, 54, 15, 44, 68, 90, 78, 62, 15, 46, 96, 154, 253, 253, 253, 246, 164, 115, 112, 76, 0, 0, 0, 114, 167, 109, 0, 44, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55, 38, 0, 0, 53, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45158605914843364, y=-0.8869372363218053, z=0.09411348874265234, w=-0.023558888881104932)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03777777777777778, y=0.03888888888888889, z=0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.06, z=-0.08)>	COMP<151>
[1740780090.5844502]	Q_Header<(2621443, 25026, 257, 173, 250, 8, 58, 8, 53)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 106, 196, 253, 225, 253, 253, 253, 130, 77, 32, 27, 21, 47, 58, 56, 47, 24, 0, 14, 86, 253, 253, 253, 198, 215, 86, 41, 68, 0, 0, 72, 169, 191, 104, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45158605914843364, y=-0.8869372363218053, z=0.09411348874265234, w=-0.023558888881104932)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03777777777777778, y=0.03888888888888889, z=0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.06, z=-0.08)>	COMP<151>
[1740780090.5935934]	Q_Header<(2621443, 25027, 257, 173, 250, 8, 58, 9, 56)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 141, 222, 200, 251, 253, 253, 253, 226, 166, 35, 51, 29, 52, 68, 57, 11, 41, 0, 0, 0, 192, 253, 253, 117, 217, 69, 33, 0, 26, 0, 97, 180, 173, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 48, 0, 6, 79, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45158605914843364, y=-0.8869372363218053, z=0.09411348874265234, w=-0.023558888881104932)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03777777777777778, y=0.03888888888888889, z=0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.06, z=-0.08)>	COMP<151>
[1740780090.604498]	Q_Header<(2621443, 25028, 257, 173, 250, 8, 58, 10, 58)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 115, 187, 177, 233, 253, 253, 253, 253, 215, 101, 17, 65, 82, 75, 49, 10, 31, 0, 0, 0, 93, 253, 253, 108, 151, 139, 201, 121, 40, 0, 74, 147, 129, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 109, 107, 71, 51, 115, 19, 114, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45158605914843364, y=-0.8869372363218053, z=0.09411348874265234, w=-0.023558888881104932)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03777777777777778, y=0.03888888888888889, z=0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.06, z=-0.08)>	COMP<151>
