[1740780093.0028908]	Q_Header<(2621443, 25268, 257, 173, 250, 8, 58, 0, 56)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 129, 173, 77, 253, 253, 253, 158, 248, 138, 110, 100, 98, 59, 111, 145, 91, 32, 0, 0, 34, 123, 253, 253, 149, 65, 186, 248, 148, 0, 0, 96, 164, 111, 45, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 160, 46, 58, 36, 108, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33714788859828665, y=-0.9361285871326068, z=0.09917909467274, w=-0.012572857540051963)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.03222222222222222, z=0.10666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.04, z=-0.15)>	COMP<136>
[1740780093.0129375]	Q_Header<(2621443, 25269, 257, 173, 250, 8, 58, 1, 60)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 109, 156, 167, 253, 231, 213, 91, 253, 232, 108, 111, 180, 116, 168, 242, 189, 86, 0, 16, 0, 56, 132, 116, 83, 172, 253, 253, 213, 64, 0, 41, 79, 66, 111, 141, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 137, 99, 0, 48, 148, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3356834572916764, y=-0.9366789125555196, z=0.09899610322310894, w=-0.012206671174242779)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.028888888888888888, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.03, z=-0.21)>	COMP<136>
[1740780093.0231068]	Q_Header<(2621443, 25270, 257, 173, 250, 8, 58, 2, 61)>	Q_Data<(0, 0, 25, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 183, 137, 236, 253, 253, 211, 253, 243, 158, 87, 200, 128, 244, 253, 225, 149, 49, 27, 0, 33, 101, 113, 82, 231, 253, 253, 253, 111, 34, 0, 0, 25, 146, 182, 26, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 110, 138, 50, 40, 128, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3356834572916764, y=-0.9366789125555196, z=0.09899610322310894, w=-0.012206671174242779)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.028888888888888888, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.03, z=-0.21)>	COMP<136>
[1740780093.0329013]	Q_Header<(2621443, 25271, 257, 173, 250, 8, 58, 3, 61)>	Q_Data<(0, 0, 55, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97, 184, 202, 253, 253, 253, 228, 253, 226, 253, 222, 136, 147, 253, 252, 195, 172, 51, 28, 6, 10, 63, 63, 17, 239, 253, 253, 253, 123, 36, 0, 0, 0, 130, 167, 25, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 127, 75, 0, 77, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3356834572916764, y=-0.9366789125555196, z=0.09899610322310894, w=-0.012206671174242779)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.028888888888888888, z=0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.03, z=-0.21)>	COMP<136>
[1740780093.0429268]	Q_Header<(2621443, 25272, 257, 173, 250, 8, 58, 4, 50)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 97, 133, 253, 253, 253, 230, 253, 253, 253, 253, 66, 170, 172, 195, 205, 148, 76, 0, 27, 0, 16, 16, 7, 199, 242, 220, 230, 110, 13, 0, 0, 0, 81, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3342912419462758, y=-0.9371995654710726, z=0.0988164178767611, w=-0.011901915680029903)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.022222222222222223, z=0.10222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.04, z=-0.17)>	COMP<135>
[1740780093.0528724]	Q_Header<(2621443, 25273, 257, 173, 250, 8, 58, 5, 54)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 208, 253, 221, 253, 253, 182, 253, 253, 253, 251, 133, 197, 245, 253, 201, 119, 110, 57, 56, 36, 29, 17, 0, 126, 146, 140, 161, 70, 35, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 35, 51, 58, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3342912419462758, y=-0.9371995654710726, z=0.0988164178767611, w=-0.011901915680029903)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.022222222222222223, z=0.10222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.04, z=-0.17)>	COMP<135>
[1740780093.0628297]	Q_Header<(2621443, 25274, 257, 173, 250, 8, 58, 6, 50)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 233, 253, 202, 153, 253, 196, 253, 253, 253, 146, 159, 253, 253, 253, 157, 112, 93, 81, 102, 71, 11, 0, 0, 45, 48, 82, 88, 53, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 33, 47, 41, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3342912419462758, y=-0.9371995654710726, z=0.0988164178767611, w=-0.011901915680029903)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.022222222222222223, z=0.10222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.04, z=-0.17)>	COMP<135>
[1740780093.0728333]	Q_Header<(2621443, 25275, 257, 173, 250, 8, 58, 7, 49)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 222, 253, 253, 238, 253, 253, 234, 253, 253, 125, 184, 253, 253, 253, 175, 48, 69, 61, 114, 47, 0, 39, 0, 0, 26, 12, 0, 35, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3342912419462758, y=-0.9371995654710726, z=0.0988164178767611, w=-0.011901915680029903)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.022222222222222223, z=0.10222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=0.04, z=-0.17)>	COMP<135>
[1740780093.083506]	Q_Header<(2621443, 25276, 257, 173, 250, 8, 58, 8, 45)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 153, 235, 231, 253, 253, 253, 229, 196, 229, 163, 235, 253, 253, 253, 253, 147, 253, 103, 112, 74, 0, 51, 0, 42, 0, 26, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 50, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33246729044325035, y=-0.9378910198184294, z=0.09845231126949931, w=-0.011535949677579276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=0.015555555555555555, z=0.09333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.08, z=-0.22)>	COMP<134>
[1740780093.092715]	Q_Header<(2621443, 25277, 257, 173, 250, 8, 58, 9, 40)>	Q_Data<(0, 0, 67, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 81, 139, 179, 253, 253, 253, 253, 253, 253, 189, 253, 253, 253, 253, 253, 253, 253, 221, 225, 215, 48, 0, 60, 88, 36, 69, 93, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 44, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33246729044325035, y=-0.9378910198184294, z=0.09845231126949931, w=-0.011535949677579276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=0.015555555555555555, z=0.09333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.08, z=-0.22)>	COMP<134>
[1740780093.1027734]	Q_Header<(2621443, 25278, 257, 173, 250, 8, 58, 10, 45)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51, 88, 142, 253, 253, 253, 218, 253, 253, 181, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 112, 61, 91, 105, 55, 103, 142, 107, 38, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 31, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33246729044325035, y=-0.9378910198184294, z=0.09845231126949931, w=-0.011535949677579276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=0.015555555555555555, z=0.09333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.08, z=-0.22)>	COMP<134>
