[1740780095.5028567]	Q_Header<(2621443, 25518, 257, 173, 250, 8, 58, 0, 54)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 94, 224, 168, 253, 253, 253, 253, 205, 253, 253, 253, 177, 189, 137, 157, 144, 121, 93, 38, 0, 36, 32, 0, 48, 71, 221, 253, 153, 71, 0, 0, 0, 19, 58, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 56, 0, 10, 78, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2722782159498982, y=-0.9570325994383331, z=0.09930433924018928, w=-0.009582533042845554)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.01888888888888889, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=0.06, z=-0.02)>	COMP<124>
[1740780095.5129154]	Q_Header<(2621443, 25519, 257, 173, 250, 8, 58, 1, 52)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 73, 198, 176, 253, 253, 247, 229, 208, 217, 253, 253, 139, 251, 253, 253, 214, 121, 96, 63, 57, 62, 26, 0, 19, 33, 126, 165, 95, 74, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 64, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2719680818708127, y=-0.9571372217006473, z=0.09918046073610202, w=-0.00921615358224702)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.02666666666666667, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.06, z=0.03)>	COMP<127>
[1740780095.522843]	Q_Header<(2621443, 25520, 257, 173, 250, 8, 58, 2, 51)>	Q_Data<(0, 0, 8, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64, 215, 253, 253, 253, 253, 212, 216, 253, 253, 253, 143, 253, 253, 253, 253, 229, 141, 90, 77, 72, 13, 0, 0, 14, 74, 101, 71, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 32, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2719680818708127, y=-0.9571372217006473, z=0.09918046073610202, w=-0.00921615358224702)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.02666666666666667, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.06, z=0.03)>	COMP<127>
[1740780095.5330977]	Q_Header<(2621443, 25521, 257, 173, 250, 8, 58, 3, 49)>	Q_Data<(0, 0, 58, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 201, 253, 253, 253, 253, 185, 222, 253, 253, 253, 142, 253, 253, 253, 253, 195, 253, 162, 170, 29, 26, 30, 51, 11, 39, 58, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 18, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2719680818708127, y=-0.9571372217006473, z=0.09918046073610202, w=-0.00921615358224702)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.02666666666666667, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.06, z=0.03)>	COMP<127>
[1740780095.5428922]	Q_Header<(2621443, 25522, 257, 173, 250, 8, 58, 4, 48)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 141, 203, 253, 253, 253, 248, 253, 253, 253, 168, 146, 253, 253, 253, 253, 225, 253, 253, 248, 206, 60, 32, 87, 104, 34, 72, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27167405289650126, y=-0.9572375132724847, z=0.09906245514514077, w=-0.008728238500157196)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.03111111111111111, z=0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.06)>	COMP<128>
[1740780095.5527682]	Q_Header<(2621443, 25523, 257, 173, 250, 8, 58, 5, 40)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 107, 232, 253, 253, 253, 253, 253, 253, 166, 170, 253, 253, 253, 253, 253, 253, 253, 253, 253, 120, 33, 72, 114, 48, 85, 99, 58, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27167405289650126, y=-0.9572375132724847, z=0.09906245514514077, w=-0.008728238500157196)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.03111111111111111, z=0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.06)>	COMP<128>
[1740780095.562849]	Q_Header<(2621443, 25524, 257, 173, 250, 8, 58, 6, 46)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 112, 233, 253, 253, 237, 253, 253, 253, 184, 218, 253, 253, 253, 253, 253, 253, 253, 253, 253, 154, 100, 123, 142, 89, 0, 65, 36, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 77, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27167405289650126, y=-0.9572375132724847, z=0.09906245514514077, w=-0.008728238500157196)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.03111111111111111, z=0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.06)>	COMP<128>
[1740780095.57371]	Q_Header<(2621443, 25525, 257, 173, 250, 8, 58, 7, 52)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 90, 217, 253, 253, 133, 253, 253, 253, 163, 211, 253, 253, 253, 253, 245, 253, 253, 253, 253, 144, 155, 253, 253, 163, 189, 113, 73, 0, 0, 35, 80, 0, 0, 0, 0, 0, 0, 136, 232, 245, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27167405289650126, y=-0.9572375132724847, z=0.09906245514514077, w=-0.008728238500157196)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.03111111111111111, z=0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.03, z=-0.06)>	COMP<128>
[1740780095.582873]	Q_Header<(2621443, 25526, 257, 173, 250, 8, 58, 8, 52)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 63, 186, 253, 253, 224, 253, 253, 253, 165, 228, 253, 253, 253, 164, 176, 152, 253, 253, 253, 104, 206, 253, 253, 253, 253, 253, 253, 125, 44, 57, 67, 0, 0, 0, 0, 0, 0, 207, 253, 253, 246, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2713662240447415, y=-0.9573502528434031, z=0.09887838123087747, w=-0.00799572095138577)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.03333333333333333, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.04, z=-0.21)>	COMP<128>
[1740780095.5928998]	Q_Header<(2621443, 25527, 257, 173, 250, 8, 58, 9, 51)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 47, 153, 253, 242, 253, 253, 253, 253, 166, 253, 253, 253, 253, 153, 162, 106, 153, 207, 174, 77, 224, 253, 253, 253, 253, 253, 253, 242, 85, 61, 37, 0, 0, 0, 0, 0, 0, 253, 253, 253, 223, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2713662240447415, y=-0.9573502528434031, z=0.09887838123087747, w=-0.00799572095138577)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.03333333333333333, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.04, z=-0.21)>	COMP<128>
[1740780095.6028306]	Q_Header<(2621443, 25528, 257, 173, 250, 8, 58, 10, 53)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 32, 122, 253, 217, 253, 253, 253, 253, 131, 253, 253, 253, 253, 226, 133, 90, 118, 115, 88, 75, 190, 253, 253, 253, 253, 253, 253, 253, 123, 236, 235, 82, 0, 0, 0, 0, 52, 253, 253, 201, 166, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2713662240447415, y=-0.9573502528434031, z=0.09887838123087747, w=-0.00799572095138577)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.016666666666666666, y=0.03333333333333333, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.04, z=-0.21)>	COMP<128>
