[1740780105.5029426]	Q_Header<(2621443, 26518, 257, 173, 250, 8, 58, 0, 61)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 235, 253, 253, 253, 253, 253, 253, 119, 253, 253, 196, 149, 102, 253, 253, 185, 71, 103, 52, 52, 53, 32, 63, 83, 79, 120, 144, 79, 133, 41, 22, 77, 237, 168, 253, 173, 193, 73, 48, 0, 19, 0, 0, 0, 42, 91, 0, 0, 0, 0, 0, 0, 52, 34, 46, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4702108482033467, y=-0.8779222274866223, z=0.0861198736779494, w=-0.02716041373967929)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=0.04555555555555556, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.15, z=-0.25)>	COMP<145>
[1740780105.5129862]	Q_Header<(2621443, 26519, 257, 173, 250, 8, 58, 1, 58)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 253, 253, 253, 253, 253, 253, 236, 116, 190, 215, 125, 117, 75, 217, 253, 135, 55, 70, 65, 75, 69, 61, 172, 232, 135, 230, 253, 141, 210, 89, 31, 57, 253, 232, 253, 237, 167, 72, 32, 0, 0, 0, 0, 0, 0, 11, 6, 0, 0, 0, 0, 0, 30, 31, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.47077248622530155, y=-0.8775789974001537, z=0.08679352721539982, w=-0.026367653837589818)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.04888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.12, z=-0.3)>	COMP<145>
[1740780105.522963]	Q_Header<(2621443, 26520, 257, 173, 250, 8, 58, 2, 57)>	Q_Data<(0, 0, 12, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 253, 253, 253, 253, 253, 253, 135, 143, 71, 142, 82, 79, 58, 134, 145, 64, 0, 65, 76, 78, 107, 123, 253, 253, 212, 253, 253, 202, 238, 118, 29, 49, 225, 220, 253, 253, 101, 34, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.47077248622530155, y=-0.8775789974001537, z=0.08679352721539982, w=-0.026367653837589818)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.04888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.12, z=-0.3)>	COMP<145>
[1740780105.533968]	Q_Header<(2621443, 26521, 257, 173, 250, 8, 58, 3, 53)>	Q_Data<(0, 0, 54, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 253, 246, 253, 253, 253, 253, 187, 206, 102, 97, 49, 57, 29, 125, 97, 0, 29, 123, 169, 116, 103, 185, 253, 253, 253, 253, 253, 235, 203, 117, 0, 13, 136, 188, 253, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.47077248622530155, y=-0.8775789974001537, z=0.08679352721539982, w=-0.026367653837589818)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.04888888888888889, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.12, z=-0.3)>	COMP<145>
[1740780105.5435653]	Q_Header<(2621443, 26522, 257, 173, 250, 8, 58, 4, 44)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 119, 253, 253, 253, 253, 208, 238, 242, 106, 33, 63, 76, 93, 158, 90, 40, 80, 221, 253, 253, 157, 253, 253, 253, 253, 253, 253, 218, 132, 84, 0, 0, 28, 142, 170, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4711857954545775, y=-0.877308889101567, z=0.08746233742051937, w=-0.02575652923339789)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.017777777777777778, y=0.05444444444444444, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.1, z=-0.29)>	COMP<144>
[1740780105.555001]	Q_Header<(2621443, 26523, 257, 173, 250, 8, 58, 5, 51)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 221, 253, 253, 253, 253, 113, 248, 200, 91, 52, 70, 93, 72, 186, 96, 55, 99, 253, 253, 253, 218, 253, 253, 253, 253, 181, 246, 149, 58, 22, 0, 0, 0, 84, 60, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4711857954545775, y=-0.877308889101567, z=0.08746233742051937, w=-0.02575652923339789)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.017777777777777778, y=0.05444444444444444, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.1, z=-0.29)>	COMP<144>
[1740780105.5629282]	Q_Header<(2621443, 26524, 257, 173, 250, 8, 58, 6, 54)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 244, 253, 253, 253, 253, 239, 168, 221, 137, 75, 62, 81, 111, 199, 108, 46, 95, 248, 253, 253, 247, 253, 253, 225, 205, 98, 150, 55, 28, 25, 0, 0, 0, 0, 0, 39, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4711857954545775, y=-0.877308889101567, z=0.08746233742051937, w=-0.02575652923339789)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.017777777777777778, y=0.05444444444444444, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.1, z=-0.29)>	COMP<144>
[1740780105.5739698]	Q_Header<(2621443, 26525, 257, 173, 250, 8, 58, 7, 56)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 249, 253, 253, 253, 253, 253, 171, 253, 143, 65, 16, 78, 162, 186, 99, 11, 68, 171, 170, 253, 253, 253, 253, 133, 148, 37, 95, 0, 0, 0, 25, 27, 56, 0, 0, 7, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 80, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4716263592464035, y=-0.8770284917835605, z=0.08807516971561541, w=-0.025146895303418952)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.05, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.06, z=-0.2)>	COMP<146>
[1740780105.583594]	Q_Header<(2621443, 26526, 257, 173, 250, 8, 58, 8, 48)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 253, 253, 253, 253, 253, 245, 250, 235, 106, 45, 0, 71, 141, 140, 71, 9, 40, 88, 0, 253, 253, 245, 169, 109, 116, 0, 0, 0, 0, 46, 83, 53, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 66, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4716263592464035, y=-0.8770284917835605, z=0.08807516971561541, w=-0.025146895303418952)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.05, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.06, z=-0.2)>	COMP<146>
[1740780105.5928726]	Q_Header<(2621443, 26527, 257, 173, 250, 8, 58, 9, 51)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 253, 253, 253, 253, 253, 253, 253, 170, 82, 0, 0, 25, 82, 91, 61, 29, 27, 30, 68, 241, 253, 253, 116, 119, 82, 19, 0, 0, 0, 56, 117, 84, 74, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 54, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4716263592464035, y=-0.8770284917835605, z=0.08807516971561541, w=-0.025146895303418952)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.05, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.06, z=-0.2)>	COMP<146>
[1740780105.6029456]	Q_Header<(2621443, 26528, 257, 173, 250, 8, 58, 10, 52)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 253, 253, 253, 253, 253, 253, 253, 178, 87, 53, 27, 19, 0, 34, 47, 16, 0, 0, 62, 181, 253, 252, 185, 165, 107, 63, 59, 0, 0, 46, 120, 88, 39, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 18, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4716263592464035, y=-0.8770284917835605, z=0.08807516971561541, w=-0.025146895303418952)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.05, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.06, z=-0.2)>	COMP<146>
