[1740780118.004233]	Q_Header<(2621443, 27768, 257, 173, 250, 8, 58, 0, 74)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 0, 27, 61, 113, 161, 147, 253, 253, 253, 253, 253, 253, 253, 253, 253, 203, 253, 197, 109, 185, 127, 104, 138, 159, 177, 253, 253, 244, 68, 194, 253, 253, 253, 111, 22, 0, 59, 119, 216, 49, 57, 23, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 183, 198, 95, 125, 63, 0, 0, 89, 175, 43, 0, 0, 57, 76, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12615938715580874, y=-0.9865090346392534, z=0.10418677981372304, w=0.005371081794732061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.01, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=0.16, z=0.04)>	COMP<93>
[1740780118.0131538]	Q_Header<(2621443, 27769, 257, 173, 250, 8, 58, 1, 72)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 16, 43, 97, 139, 152, 253, 253, 253, 253, 253, 253, 253, 253, 253, 181, 253, 178, 138, 227, 220, 204, 124, 113, 106, 217, 218, 65, 112, 191, 253, 253, 253, 107, 0, 0, 82, 157, 95, 72, 38, 127, 55, 29, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 80, 0, 76, 0, 0, 0, 49, 122, 0, 35, 103, 102, 176, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12548772541964395, y=-0.9865678957602748, z=0.10443068978259282, w=0.005554174617309144)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.015555555555555555, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.17, z=0.0)>	COMP<95>
[1740780118.0231323]	Q_Header<(2621443, 27770, 257, 173, 250, 8, 58, 2, 75)>	Q_Data<(0, 0, 14, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 36, 66, 98, 184, 253, 253, 253, 253, 253, 253, 119, 253, 253, 253, 178, 107, 157, 221, 253, 253, 226, 29, 20, 91, 129, 167, 158, 127, 253, 253, 253, 72, 0, 15, 88, 253, 253, 253, 253, 253, 47, 54, 140, 47, 0, 0, 0, 26, 0, 0, 0, 36, 0, 0, 0, 15, 6, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 140, 202, 239, 220, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12548772541964395, y=-0.9865678957602748, z=0.10443068978259282, w=0.005554174617309144)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.015555555555555555, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.17, z=0.0)>	COMP<95>
[1740780118.033091]	Q_Header<(2621443, 27771, 257, 173, 250, 8, 58, 3, 76)>	Q_Data<(0, 0, 60, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 16, 29, 24, 76, 199, 253, 253, 253, 253, 253, 253, 221, 117, 253, 253, 47, 89, 138, 171, 248, 253, 249, 30, 68, 103, 82, 169, 165, 153, 176, 228, 152, 0, 37, 87, 253, 253, 253, 253, 253, 253, 202, 164, 231, 154, 0, 0, 56, 112, 0, 0, 0, 19, 75, 96, 77, 98, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 208, 253, 253, 208, 139, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12548772541964395, y=-0.9865678957602748, z=0.10443068978259282, w=0.005554174617309144)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.015555555555555555, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.17, z=0.0)>	COMP<95>
[1740780118.0432405]	Q_Header<(2621443, 27772, 257, 173, 250, 8, 58, 4, 80)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 12, 28, 27, 56, 166, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 137, 167, 68, 144, 182, 253, 194, 55, 78, 144, 115, 205, 162, 253, 253, 184, 58, 0, 102, 141, 253, 253, 253, 253, 253, 253, 253, 253, 238, 253, 131, 0, 150, 212, 127, 37, 0, 0, 172, 198, 87, 138, 189, 188, 61, 0, 66, 60, 0, 0, 0, 0, 0, 191, 253, 253, 253, 183, 0, 89, 104, 82, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12499943422537715, y=-0.986628835084581, z=0.10443067966778335, w=0.0057372787193288345)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.014444444444444444, z=0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.16, z=-0.04)>	COMP<95>
[1740780118.053144]	Q_Header<(2621443, 27773, 257, 173, 250, 8, 58, 5, 85)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 15, 30, 38, 33, 113, 156, 223, 253, 242, 253, 253, 253, 253, 253, 253, 253, 251, 70, 203, 152, 151, 58, 162, 130, 162, 165, 253, 253, 253, 253, 208, 0, 78, 145, 173, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 90, 221, 253, 234, 80, 0, 4, 240, 253, 56, 141, 253, 253, 188, 0, 109, 61, 18, 0, 0, 0, 0, 107, 253, 253, 253, 174, 0, 135, 142, 78, 0, 0, 0, 0, 0, 0, 0, 0, 146, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12499943422537715, y=-0.986628835084581, z=0.10443067966778335, w=0.0057372787193288345)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.014444444444444444, z=0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.16, z=-0.04)>	COMP<95>
[1740780118.0631557]	Q_Header<(2621443, 27774, 257, 173, 250, 8, 58, 6, 89)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 13, 24, 32, 27, 66, 71, 133, 248, 194, 253, 253, 159, 253, 253, 253, 253, 253, 105, 253, 252, 107, 210, 226, 183, 174, 163, 253, 253, 253, 253, 157, 57, 89, 146, 167, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 144, 234, 253, 253, 79, 0, 61, 243, 253, 100, 105, 253, 253, 253, 0, 111, 42, 38, 37, 0, 0, 44, 116, 231, 253, 239, 70, 0, 116, 110, 66, 0, 0, 32, 0, 0, 0, 85, 154, 192, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12499943422537715, y=-0.986628835084581, z=0.10443067966778335, w=0.0057372787193288345)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.014444444444444444, z=0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.16, z=-0.04)>	COMP<95>
[1740780118.073649]	Q_Header<(2621443, 27775, 257, 173, 250, 8, 58, 7, 106)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 0, 17, 12, 20, 20, 53, 42, 136, 95, 243, 158, 162, 247, 253, 253, 253, 253, 76, 253, 253, 215, 253, 231, 199, 199, 253, 253, 222, 253, 253, 120, 51, 64, 112, 125, 253, 253, 253, 253, 253, 253, 248, 196, 253, 253, 253, 175, 195, 253, 225, 64, 0, 74, 197, 182, 87, 81, 253, 253, 253, 0, 84, 0, 0, 112, 15, 31, 120, 130, 29, 147, 74, 0, 0, 43, 0, 0, 0, 0, 0, 48, 75, 0, 175, 223, 217, 253, 125, 75, 0, 0, 0, 146, 214, 94, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12445022600834352, y=-0.9866907080190688, z=0.10449180329881515, w=0.005920388387841746)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=0.015555555555555555, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.17, z=0.0)>	COMP<96>
[1740780118.0833595]	Q_Header<(2621443, 27776, 257, 173, 250, 8, 58, 8, 115)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 12, 21, 23, 0, 0, 0, 46, 38, 0, 159, 219, 253, 142, 253, 253, 253, 253, 215, 164, 253, 253, 252, 253, 184, 174, 231, 253, 253, 157, 221, 253, 253, 176, 60, 72, 43, 201, 253, 253, 200, 253, 253, 253, 253, 253, 253, 162, 155, 160, 199, 119, 45, 0, 91, 137, 87, 102, 57, 205, 253, 185, 115, 76, 38, 0, 173, 129, 36, 162, 148, 91, 145, 0, 49, 88, 0, 0, 0, 0, 75, 253, 253, 253, 247, 253, 253, 244, 253, 253, 192, 52, 0, 117, 253, 253, 244, 164, 0, 0, 0, 175, 106, 0, 0, 0, 0, 0, 0, 0, 80, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12445022600834352, y=-0.9866907080190688, z=0.10449180329881515, w=0.005920388387841746)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=0.015555555555555555, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.17, z=0.0)>	COMP<96>
[1740780118.093319]	Q_Header<(2621443, 27777, 257, 173, 250, 8, 58, 9, 110)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 17, 10, 26, 24, 0, 0, 0, 34, 41, 55, 133, 197, 233, 96, 253, 253, 235, 193, 205, 184, 253, 253, 232, 210, 97, 149, 234, 233, 230, 208, 236, 253, 253, 253, 91, 84, 94, 79, 253, 253, 253, 253, 253, 253, 253, 253, 253, 124, 125, 149, 176, 0, 68, 31, 0, 116, 253, 227, 21, 137, 156, 59, 101, 125, 149, 0, 189, 159, 60, 180, 152, 135, 152, 0, 189, 193, 0, 99, 132, 0, 245, 253, 253, 253, 253, 253, 253, 248, 253, 253, 253, 0, 0, 153, 253, 253, 253, 240, 0, 0, 0, 175, 108, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12445022600834352, y=-0.9866907080190688, z=0.10449180329881515, w=0.005920388387841746)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=0.015555555555555555, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.17, z=0.0)>	COMP<96>
[1740780118.1033702]	Q_Header<(2621443, 27778, 257, 173, 250, 8, 58, 10, 107)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 12, 26, 23, 0, 0, 0, 34, 38, 29, 80, 135, 139, 146, 253, 253, 190, 250, 253, 173, 253, 253, 159, 135, 73, 133, 208, 165, 190, 188, 253, 253, 253, 253, 125, 135, 153, 121, 240, 253, 253, 253, 253, 253, 253, 118, 253, 220, 163, 145, 166, 59, 61, 172, 253, 253, 253, 253, 175, 253, 131, 145, 126, 129, 184, 0, 158, 147, 69, 155, 132, 120, 128, 0, 246, 244, 0, 209, 253, 121, 253, 253, 253, 253, 253, 253, 208, 238, 253, 253, 253, 0, 0, 125, 253, 253, 253, 196, 0, 0, 0, 85, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.12445022600834352, y=-0.9866907080190688, z=0.10449180329881515, w=0.005920388387841746)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=0.015555555555555555, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.17, z=0.0)>	COMP<96>
