[1740780120.5031512]	Q_Header<(2621443, 28018, 257, 173, 250, 8, 58, 0, 67)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 11, 16, 64, 182, 151, 232, 253, 253, 253, 253, 253, 185, 237, 253, 253, 169, 216, 123, 35, 36, 107, 162, 253, 253, 253, 253, 253, 253, 109, 253, 253, 253, 253, 89, 0, 0, 0, 192, 253, 253, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 67, 0, 13, 195, 253, 194, 0, 54, 0, 0, 85, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13696103803006662, y=-0.9855213373758849, z=0.0996690619889032, w=0.007446188342098096)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04666666666666667, y=-0.016666666666666666, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.12, z=-0.03)>	COMP<97>
[1740780120.5131934]	Q_Header<(2621443, 28019, 257, 173, 250, 8, 58, 1, 73)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 11, 17, 77, 159, 118, 169, 253, 253, 253, 253, 253, 169, 253, 253, 253, 220, 223, 135, 96, 131, 214, 253, 211, 232, 220, 253, 253, 253, 0, 253, 253, 253, 253, 103, 0, 0, 77, 201, 246, 136, 112, 85, 37, 0, 0, 0, 0, 49, 35, 0, 0, 0, 0, 0, 0, 45, 52, 0, 0, 152, 253, 157, 0, 21, 0, 0, 72, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13751614811601884, y=-0.9855629132842237, z=0.09851356549456476, w=0.007080281039262399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06111111111111111, y=-0.03333333333333333, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.1, z=-0.14)>	COMP<97>
[1740780120.5230203]	Q_Header<(2621443, 28020, 257, 173, 250, 8, 58, 2, 79)>	Q_Data<(0, 0, 4, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 14, 18, 57, 91, 86, 167, 253, 253, 253, 253, 253, 79, 253, 253, 253, 226, 149, 148, 157, 183, 253, 253, 172, 136, 104, 175, 192, 127, 33, 236, 253, 253, 228, 86, 0, 0, 124, 249, 174, 253, 253, 173, 42, 36, 0, 40, 0, 70, 40, 0, 0, 0, 0, 0, 0, 57, 75, 0, 0, 76, 156, 93, 0, 0, 0, 0, 0, 39, 0, 0, 0, 88, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13751614811601884, y=-0.9855629132842237, z=0.09851356549456476, w=0.007080281039262399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06111111111111111, y=-0.03333333333333333, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.1, z=-0.14)>	COMP<97>
[1740780120.5336525]	Q_Header<(2621443, 28021, 257, 173, 250, 8, 58, 3, 73)>	Q_Data<(0, 0, 53, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 19, 44, 44, 84, 193, 253, 253, 253, 253, 253, 194, 253, 253, 253, 212, 137, 166, 170, 186, 253, 253, 160, 121, 34, 85, 51, 146, 95, 176, 237, 253, 150, 55, 0, 42, 188, 253, 253, 253, 253, 253, 168, 150, 144, 0, 52, 74, 5, 0, 0, 0, 0, 0, 0, 89, 118, 39, 0, 0, 81, 9, 0, 0, 0, 0, 0, 0, 0, 96, 0, 253, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13751614811601884, y=-0.9855629132842237, z=0.09851356549456476, w=0.007080281039262399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06111111111111111, y=-0.03333333333333333, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.1, z=-0.14)>	COMP<97>
[1740780120.5429466]	Q_Header<(2621443, 28022, 257, 173, 250, 8, 58, 4, 66)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 30, 7, 59, 181, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 239, 150, 146, 134, 253, 253, 108, 67, 0, 107, 95, 162, 118, 168, 198, 182, 78, 34, 53, 68, 241, 253, 253, 253, 253, 253, 253, 253, 253, 208, 88, 54, 34, 74, 0, 0, 8, 0, 0, 96, 130, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 200, 253, 253, 102, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13751614811601884, y=-0.9855629132842237, z=0.09851356549456476, w=0.007080281039262399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06111111111111111, y=-0.03333333333333333, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.1, z=-0.14)>	COMP<97>
[1740780120.5529108]	Q_Header<(2621443, 28023, 257, 173, 250, 8, 58, 5, 74)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 26, 6, 12, 31, 128, 233, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 109, 135, 76, 197, 218, 87, 102, 18, 146, 152, 184, 134, 99, 253, 238, 45, 105, 141, 52, 216, 253, 253, 253, 253, 253, 253, 253, 253, 253, 111, 20, 125, 142, 0, 0, 59, 25, 102, 115, 115, 59, 114, 226, 129, 0, 78, 78, 0, 0, 0, 0, 0, 222, 253, 253, 253, 174, 184, 106, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13794060085569973, y=-0.9856039038132031, z=0.09753499122451688, w=0.006652887386403216)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06555555555555556, y=-0.04666666666666667, z=-0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.05, z=-0.11)>	COMP<95>
[1740780120.56444]	Q_Header<(2621443, 28024, 257, 173, 250, 8, 58, 6, 89)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 30, 11, 30, 13, 54, 128, 220, 253, 230, 253, 253, 253, 253, 253, 253, 253, 74, 178, 149, 108, 75, 138, 183, 65, 154, 182, 253, 91, 239, 253, 253, 8, 155, 197, 15, 131, 253, 253, 253, 253, 253, 253, 253, 253, 253, 140, 61, 186, 191, 78, 0, 43, 30, 184, 199, 0, 46, 253, 253, 207, 0, 123, 120, 0, 0, 0, 0, 0, 219, 253, 253, 253, 199, 193, 159, 184, 84, 0, 0, 0, 0, 0, 0, 0, 71, 79, 128, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13794060085569973, y=-0.9856039038132031, z=0.09753499122451688, w=0.006652887386403216)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06555555555555556, y=-0.04666666666666667, z=-0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.05, z=-0.11)>	COMP<95>
[1740780120.565782]	Q_Header<(2621443, 28025, 257, 173, 250, 8, 58, 7, 89)>	Q_Data<(0, 0, 64, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 24, 14, 25, 8, 13, 43, 156, 253, 250, 191, 253, 253, 253, 253, 253, 209, 97, 191, 187, 101, 116, 114, 198, 67, 168, 180, 253, 160, 253, 253, 179, 27, 162, 204, 75, 233, 253, 253, 253, 253, 253, 253, 253, 253, 253, 170, 122, 221, 234, 163, 0, 0, 0, 197, 218, 0, 70, 253, 253, 240, 0, 122, 100, 88, 0, 0, 0, 0, 156, 212, 253, 253, 128, 160, 156, 181, 68, 0, 0, 0, 0, 0, 0, 0, 168, 247, 253, 253, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13794060085569973, y=-0.9856039038132031, z=0.09753499122451688, w=0.006652887386403216)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06555555555555556, y=-0.04666666666666667, z=-0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.05, z=-0.11)>	COMP<95>
[1740780120.583372]	Q_Header<(2621443, 28026, 257, 173, 250, 8, 58, 8, 93)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 17, 0, 0, 0, 0, 37, 103, 211, 218, 113, 114, 247, 253, 253, 253, 248, 159, 148, 203, 253, 223, 166, 86, 196, 253, 253, 253, 201, 253, 253, 133, 76, 130, 159, 45, 223, 253, 253, 253, 253, 253, 253, 253, 253, 253, 199, 150, 224, 253, 157, 0, 0, 119, 214, 153, 0, 61, 253, 253, 224, 64, 59, 46, 120, 37, 0, 0, 130, 87, 148, 151, 110, 0, 83, 65, 124, 0, 0, 0, 0, 0, 39, 0, 0, 180, 253, 253, 253, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13848555345492122, y=-0.9856338487190494, z=0.09649434112482612, w=0.006042340146336361)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06333333333333334, y=-0.06, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.02, z=-0.16)>	COMP<95>
[1740780120.5847988]	Q_Header<(2621443, 28027, 257, 173, 250, 8, 58, 9, 103)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 0, 18, 0, 0, 0, 29, 29, 119, 160, 185, 146, 239, 253, 253, 253, 253, 179, 109, 239, 253, 253, 253, 253, 253, 253, 253, 253, 184, 253, 253, 253, 253, 54, 105, 0, 121, 253, 241, 253, 253, 253, 253, 247, 253, 253, 183, 147, 210, 245, 80, 52, 22, 176, 243, 112, 61, 59, 253, 253, 165, 116, 66, 87, 108, 91, 68, 0, 169, 116, 126, 108, 0, 0, 11, 0, 0, 0, 0, 0, 54, 111, 223, 211, 45, 228, 253, 253, 253, 36, 0, 0, 0, 223, 231, 46, 30, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13848555345492122, y=-0.9856338487190494, z=0.09649434112482612, w=0.006042340146336361)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06333333333333334, y=-0.06, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.02, z=-0.16)>	COMP<95>
[1740780120.6031828]	Q_Header<(2621443, 28028, 257, 173, 250, 8, 58, 10, 99)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 22, 27, 22, 0, 0, 37, 35, 101, 175, 144, 253, 253, 253, 253, 209, 171, 206, 253, 253, 253, 253, 253, 253, 253, 253, 253, 183, 253, 253, 253, 253, 161, 65, 0, 27, 68, 235, 182, 253, 253, 253, 253, 253, 253, 115, 94, 181, 204, 0, 74, 29, 194, 253, 117, 154, 121, 115, 205, 57, 141, 121, 118, 88, 91, 125, 0, 167, 86, 177, 172, 0, 140, 133, 0, 0, 0, 0, 0, 193, 253, 253, 253, 0, 253, 170, 253, 177, 0, 0, 0, 0, 253, 253, 171, 66, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.13848555345492122, y=-0.9856338487190494, z=0.09649434112482612, w=0.006042340146336361)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06333333333333334, y=-0.06, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.02, z=-0.16)>	COMP<95>
