[1740780130.503134]	Q_Header<(2621443, 29018, 257, 173, 250, 8, 58, 0, 64)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 31, 131, 225, 212, 105, 253, 253, 253, 253, 126, 202, 253, 253, 149, 142, 83, 82, 78, 142, 69, 58, 90, 253, 253, 253, 253, 172, 135, 53, 199, 244, 133, 87, 9, 0, 0, 0, 112, 136, 108, 56, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 145, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16918820833607676, y=-0.9815601610608897, z=0.08892756837866661, w=0.002624492409253716)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.057777777777777775, y=-0.03111111111111111, z=0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.1, z=-0.01)>	COMP<195>
[1740780130.5132565]	Q_Header<(2621443, 29019, 257, 173, 250, 8, 58, 1, 72)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 0, 95, 182, 229, 164, 199, 253, 253, 253, 120, 121, 248, 253, 164, 238, 114, 152, 136, 84, 37, 20, 56, 233, 253, 253, 253, 77, 108, 118, 253, 253, 215, 153, 81, 0, 0, 0, 165, 239, 95, 67, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 200, 227, 46, 104, 63, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1688251600982624, y=-0.9817006055750008, z=0.08807473102740153, w=0.0021972905869622004)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=-0.035555555555555556, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.13, z=-0.01)>	COMP<194>
[1740780130.523191]	Q_Header<(2621443, 29020, 257, 173, 250, 8, 58, 2, 76)>	Q_Data<(0, 0, 27, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 8, 49, 150, 253, 179, 192, 181, 214, 212, 180, 220, 253, 253, 226, 253, 154, 233, 200, 70, 103, 45, 108, 116, 253, 253, 253, 190, 46, 156, 253, 253, 237, 177, 118, 25, 0, 0, 179, 253, 151, 116, 48, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 10, 54, 0, 0, 23, 205, 250, 124, 114, 55, 0, 0, 88, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1688251600982624, y=-0.9817006055750008, z=0.08807473102740153, w=0.0021972905869622004)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=-0.035555555555555556, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.13, z=-0.01)>	COMP<194>
[1740780130.5334084]	Q_Header<(2621443, 29021, 257, 173, 250, 8, 58, 3, 70)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 18, 33, 124, 229, 153, 220, 253, 253, 253, 253, 253, 253, 253, 253, 253, 160, 253, 222, 111, 179, 151, 253, 145, 129, 211, 203, 181, 79, 160, 253, 253, 180, 153, 114, 44, 0, 39, 157, 252, 156, 89, 91, 32, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 205, 95, 106, 32, 0, 0, 69, 0, 0, 0, 0, 0, 73, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1688251600982624, y=-0.9817006055750008, z=0.08807473102740153, w=0.0021972905869622004)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=-0.035555555555555556, z=0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.13, z=-0.01)>	COMP<194>
[1740780130.5432348]	Q_Header<(2621443, 29022, 257, 173, 250, 8, 58, 4, 69)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 27, 21, 81, 146, 91, 234, 253, 253, 253, 253, 253, 253, 253, 253, 253, 145, 213, 179, 200, 232, 253, 253, 233, 75, 109, 85, 108, 129, 183, 253, 249, 249, 108, 80, 38, 0, 72, 188, 237, 131, 198, 139, 47, 0, 31, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 99, 0, 0, 0, 0, 0, 0, 0, 0, 86, 164, 95, 149, 96, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16852217191520105, y=-0.9818354427482522, z=0.0871603265102887, w=0.001586952723576685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03666666666666667, y=-0.034444444444444444, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.12, z=0.03)>	COMP<194>
[1740780130.5532303]	Q_Header<(2621443, 29023, 257, 173, 250, 8, 58, 5, 65)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 19, 44, 62, 135, 252, 253, 253, 253, 253, 253, 253, 253, 253, 253, 238, 142, 118, 253, 229, 253, 253, 253, 97, 52, 37, 104, 221, 244, 192, 240, 253, 104, 25, 0, 0, 77, 220, 253, 226, 253, 253, 148, 128, 105, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 237, 253, 242, 208, 91, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16852217191520105, y=-0.9818354427482522, z=0.0871603265102887, w=0.001586952723576685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03666666666666667, y=-0.034444444444444444, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.12, z=0.03)>	COMP<194>
[1740780130.563323]	Q_Header<(2621443, 29024, 257, 173, 250, 8, 58, 6, 80)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 17, 23, 45, 139, 248, 253, 253, 253, 253, 253, 197, 253, 253, 253, 253, 131, 151, 253, 167, 253, 253, 232, 99, 23, 47, 140, 253, 253, 142, 177, 158, 55, 52, 81, 0, 142, 163, 253, 253, 253, 253, 253, 242, 164, 132, 0, 38, 0, 45, 41, 0, 0, 0, 97, 106, 0, 0, 59, 0, 3, 0, 40, 0, 0, 0, 0, 0, 26, 253, 253, 253, 253, 243, 125, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16852217191520105, y=-0.9818354427482522, z=0.0871603265102887, w=0.001586952723576685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03666666666666667, y=-0.034444444444444444, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.12, z=0.03)>	COMP<194>
[1740780130.5733447]	Q_Header<(2621443, 29025, 257, 173, 250, 8, 58, 7, 89)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 19, 32, 100, 200, 253, 172, 165, 253, 253, 253, 160, 178, 253, 253, 70, 122, 167, 86, 209, 253, 161, 94, 82, 101, 141, 245, 253, 154, 174, 124, 0, 116, 151, 55, 216, 253, 253, 253, 253, 253, 253, 253, 157, 140, 143, 110, 88, 159, 65, 37, 0, 0, 172, 204, 103, 47, 67, 0, 118, 0, 131, 134, 0, 0, 0, 0, 49, 253, 253, 253, 253, 186, 125, 109, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16852217191520105, y=-0.9818354427482522, z=0.0871603265102887, w=0.001586952723576685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03666666666666667, y=-0.034444444444444444, z=0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.12, z=0.03)>	COMP<194>
[1740780130.5834289]	Q_Header<(2621443, 29026, 257, 173, 250, 8, 58, 8, 89)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 0, 0, 19, 33, 50, 125, 147, 163, 240, 253, 253, 253, 209, 164, 253, 253, 253, 161, 60, 174, 146, 156, 170, 201, 172, 169, 181, 193, 213, 169, 192, 126, 25, 145, 182, 76, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 165, 197, 253, 91, 72, 0, 0, 192, 242, 142, 4, 81, 124, 211, 0, 175, 167, 0, 0, 0, 0, 65, 236, 222, 253, 196, 189, 139, 154, 125, 0, 0, 0, 0, 0, 0, 0, 0, 55, 206, 249, 90, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16833131981925084, y=-0.981912354333614, z=0.08666804718757656, w=0.0011596428849041935)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=-0.03111111111111111, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.15, z=0.04)>	COMP<193>
[1740780130.593327]	Q_Header<(2621443, 29027, 257, 173, 250, 8, 58, 9, 90)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 21, 21, 0, 26, 0, 48, 7, 120, 194, 253, 253, 253, 253, 197, 253, 253, 253, 124, 97, 195, 145, 115, 245, 253, 246, 240, 253, 250, 145, 126, 130, 41, 33, 137, 156, 55, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 191, 253, 253, 174, 88, 19, 0, 153, 227, 146, 42, 95, 175, 252, 79, 164, 166, 40, 0, 0, 0, 64, 109, 6, 211, 137, 136, 52, 111, 99, 0, 0, 0, 0, 0, 0, 0, 78, 253, 253, 253, 154, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16833131981925084, y=-0.981912354333614, z=0.08666804718757656, w=0.0011596428849041935)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=-0.03111111111111111, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.15, z=0.04)>	COMP<193>
[1740780130.6033592]	Q_Header<(2621443, 29028, 257, 173, 250, 8, 58, 10, 103)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 23, 27, 0, 0, 0, 25, 43, 56, 125, 253, 253, 253, 214, 186, 253, 253, 253, 151, 72, 133, 155, 160, 253, 253, 253, 253, 253, 253, 116, 14, 192, 192, 33, 94, 88, 19, 244, 253, 253, 253, 253, 253, 253, 84, 253, 253, 253, 172, 253, 253, 253, 119, 0, 0, 164, 200, 124, 103, 87, 172, 226, 86, 79, 149, 113, 0, 34, 0, 73, 0, 106, 85, 0, 18, 0, 21, 57, 0, 0, 0, 0, 112, 21, 0, 169, 253, 253, 253, 168, 156, 0, 0, 0, 120, 175, 147, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.16833131981925084, y=-0.981912354333614, z=0.08666804718757656, w=0.0011596428849041935)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=-0.03111111111111111, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.15, z=0.04)>	COMP<193>
