[1740780232.994076]	Q_Header<(2621443, 39268, 257, 173, 250, 8, 58, 0, 105)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 28, 28, 58, 77, 208, 253, 253, 133, 222, 141, 253, 85, 226, 223, 72, 119, 253, 253, 161, 84, 103, 169, 219, 182, 77, 122, 179, 253, 253, 253, 253, 171, 129, 123, 76, 165, 225, 82, 253, 253, 253, 253, 135, 209, 244, 228, 139, 63, 160, 241, 253, 253, 253, 180, 253, 253, 119, 253, 253, 253, 181, 0, 0, 0, 0, 0, 0, 76, 139, 108, 48, 150, 253, 201, 253, 253, 101, 131, 59, 113, 0, 79, 253, 239, 253, 230, 135, 129, 201, 166, 0, 0, 0, 0, 0, 90, 33, 46, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04681489858577654, y=-0.9940994175574218, z=0.09710887046932265, w=0.012024165608080806)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=-0.025555555555555557, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.06, z=-0.29)>	COMP<81>
[1740780233.0155654]	Q_Header<(2621443, 39269, 257, 173, 250, 8, 58, 1, 111)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 20, 10, 21, 14, 38, 112, 177, 183, 118, 163, 224, 253, 79, 171, 145, 145, 109, 253, 253, 221, 99, 94, 119, 152, 96, 163, 253, 190, 253, 253, 124, 253, 146, 135, 78, 9, 80, 131, 45, 183, 196, 253, 253, 132, 191, 239, 253, 191, 38, 141, 167, 253, 253, 253, 185, 253, 253, 143, 253, 253, 253, 146, 61, 0, 0, 0, 0, 0, 94, 196, 153, 16, 253, 253, 253, 118, 91, 152, 168, 123, 46, 0, 0, 253, 253, 14, 149, 21, 32, 81, 0, 253, 210, 0, 0, 0, 192, 228, 192, 236, 117, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04614226502235762, y=-0.9941949139539461, z=0.09649592724913676, w=0.011657635739775535)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.017777777777777778, z=0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=0.03, z=-0.31)>	COMP<80>
[1740780233.0170236]	Q_Header<(2621443, 39270, 257, 173, 250, 8, 58, 2, 110)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 28, 9, 21, 0, 34, 79, 74, 112, 117, 253, 253, 153, 87, 83, 168, 197, 210, 253, 239, 73, 65, 71, 99, 65, 186, 253, 172, 146, 232, 133, 253, 94, 98, 36, 0, 26, 16, 74, 98, 85, 184, 150, 79, 148, 189, 236, 200, 26, 59, 50, 253, 253, 253, 169, 253, 217, 179, 253, 253, 253, 253, 127, 66, 0, 0, 0, 0, 86, 196, 113, 52, 253, 253, 253, 145, 58, 201, 244, 186, 182, 0, 162, 253, 253, 170, 0, 0, 118, 157, 188, 253, 253, 253, 253, 220, 198, 253, 253, 253, 187, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04614226502235762, y=-0.9941949139539461, z=0.09649592724913676, w=0.011657635739775535)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.017777777777777778, z=0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=0.03, z=-0.31)>	COMP<80>
[1740780233.0240452]	Q_Header<(2621443, 39271, 257, 173, 250, 8, 58, 3, 109)>	Q_Data<(0, 0, 54, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 25, 15, 34, 15, 15, 0, 11, 89, 52, 252, 253, 196, 176, 147, 163, 185, 200, 194, 210, 70, 68, 68, 162, 149, 142, 211, 124, 55, 105, 110, 150, 0, 28, 0, 0, 12, 0, 42, 41, 0, 21, 0, 11, 91, 110, 167, 160, 0, 0, 69, 242, 249, 182, 132, 197, 112, 128, 253, 253, 253, 253, 111, 72, 0, 0, 0, 0, 13, 114, 39, 0, 244, 253, 253, 167, 112, 209, 253, 121, 253, 148, 214, 253, 253, 228, 140, 175, 253, 253, 253, 253, 253, 253, 253, 253, 115, 253, 253, 253, 195, 138, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04614226502235762, y=-0.9941949139539461, z=0.09649592724913676, w=0.011657635739775535)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.017777777777777778, z=0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=0.03, z=-0.31)>	COMP<80>
[1740780233.0340235]	Q_Header<(2621443, 39272, 257, 173, 250, 8, 58, 4, 90)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 0, 38, 42, 22, 19, 0, 3, 51, 39, 183, 206, 203, 183, 163, 246, 75, 154, 119, 137, 136, 153, 133, 244, 217, 94, 112, 67, 43, 78, 45, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 26, 84, 77, 0, 0, 7, 56, 73, 78, 68, 93, 0, 62, 188, 253, 253, 253, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 198, 229, 240, 111, 253, 253, 253, 253, 196, 166, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 180, 253, 253, 253, 163, 133, 94, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04614226502235762, y=-0.9941949139539461, z=0.09649592724913676, w=0.011657635739775535)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.017777777777777778, z=0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=0.03, z=-0.31)>	COMP<80>
[1740780233.0441036]	Q_Header<(2621443, 39273, 257, 173, 250, 8, 58, 5, 86)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 11, 37, 31, 15, 13, 0, 2, 23, 29, 97, 102, 170, 159, 141, 253, 171, 91, 136, 132, 177, 201, 169, 253, 237, 66, 48, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 63, 0, 0, 0, 0, 41, 176, 167, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 130, 253, 230, 253, 253, 253, 253, 240, 152, 253, 253, 253, 253, 253, 253, 253, 253, 253, 221, 253, 253, 253, 240, 212, 253, 253, 94, 80, 55, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04553129698438245, y=-0.9943034305262393, z=0.09570117114143657, w=0.011352307291012246)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05333333333333334, y=-0.014444444444444444, z=0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.0, z=-0.13)>	COMP<78>
[1740780233.0541818]	Q_Header<(2621443, 39274, 257, 173, 250, 8, 58, 6, 75)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 26, 20, 8, 17, 0, 8, 0, 0, 50, 0, 114, 118, 119, 220, 179, 57, 147, 194, 197, 187, 159, 233, 199, 43, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 114, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 253, 253, 253, 253, 253, 253, 253, 204, 253, 253, 253, 253, 253, 253, 253, 253, 253, 0, 253, 253, 212, 194, 194, 253, 245, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04553129698438245, y=-0.9943034305262393, z=0.09570117114143657, w=0.011352307291012246)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05333333333333334, y=-0.014444444444444444, z=0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.0, z=-0.13)>	COMP<78>
[1740780233.0639367]	Q_Header<(2621443, 39275, 257, 173, 250, 8, 58, 7, 74)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 25, 20, 0, 0, 11, 26, 0, 36, 19, 54, 63, 80, 139, 128, 23, 127, 202, 174, 128, 104, 143, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 253, 253, 253, 253, 253, 253, 253, 165, 253, 253, 253, 253, 253, 253, 253, 253, 253, 0, 215, 253, 147, 253, 253, 147, 159, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 36, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04553129698438245, y=-0.9943034305262393, z=0.09570117114143657, w=0.011352307291012246)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05333333333333334, y=-0.014444444444444444, z=0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.0, z=-0.13)>	COMP<78>
[1740780233.0739791]	Q_Header<(2621443, 39276, 257, 173, 250, 8, 58, 8, 60)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 18, 28, 0, 0, 0, 18, 0, 25, 0, 0, 0, 29, 52, 67, 0, 81, 145, 109, 65, 35, 69, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 160, 0, 165, 145, 253, 253, 253, 86, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04461725777847055, y=-0.9944582503209587, z=0.094544640627703, w=0.01110853750435245)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.056666666666666664, y=-0.0077777777777777776, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=0.0, z=-0.12)>	COMP<78>
[1740780233.0839777]	Q_Header<(2621443, 39277, 257, 173, 250, 8, 58, 9, 64)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 15, 0, 30, 15, 0, 0, 0, 0, 2, 0, 7, 0, 4, 0, 16, 0, 24, 68, 22, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 253, 253, 253, 253, 253, 253, 253, 253, 250, 37, 106, 83, 148, 253, 253, 220, 0, 0, 139, 129, 253, 253, 194, 227, 253, 52, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04461725777847055, y=-0.9944582503209587, z=0.094544640627703, w=0.01110853750435245)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.056666666666666664, y=-0.0077777777777777776, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=0.0, z=-0.12)>	COMP<78>
[1740780233.09389]	Q_Header<(2621443, 39278, 257, 173, 250, 8, 58, 10, 50)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 21, 0, 10, 23, 0, 0, 0, 19, 0, 21, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 253, 253, 253, 253, 253, 253, 253, 253, 253, 157, 253, 133, 182, 253, 253, 208, 0, 0, 100, 150, 238, 181, 170, 253, 253, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.04461725777847055, y=-0.9944582503209587, z=0.094544640627703, w=0.01110853750435245)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.056666666666666664, y=-0.0077777777777777776, z=0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=0.0, z=-0.12)>	COMP<78>
