[1740780330.4748008]	Q_Header<(2621443, 49018, 257, 173, 250, 8, 58, 0, 48)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 44, 75, 63, 62, 111, 114, 124, 119, 0, 130, 183, 175, 237, 218, 253, 253, 222, 162, 56, 53, 18, 0, 0, 24, 25, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 36, 10, 52, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2709321926985222, y=-0.9581197479120075, z=0.09258935262979458, w=-0.005432071446309636)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.006666666666666667, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=0.02, z=0.03)>	COMP<88>
[1740780330.4896517]	Q_Header<(2621443, 49019, 257, 173, 250, 8, 58, 1, 44)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 68, 75, 77, 83, 91, 0, 133, 130, 130, 215, 212, 138, 195, 253, 253, 253, 253, 154, 69, 50, 23, 0, 0, 20, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 144, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27135855178662677, y=-0.9579945633924637, z=0.09265008583268093, w=-0.00518791653213299)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.008888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.08)>	COMP<88>
[1740780330.4950926]	Q_Header<(2621443, 49020, 257, 173, 250, 8, 58, 2, 47)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 77, 68, 7, 76, 96, 122, 89, 147, 159, 241, 232, 103, 138, 253, 253, 253, 253, 119, 21, 42, 20, 7, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 196, 253, 245, 122, 48, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27135855178662677, y=-0.9579945633924637, z=0.09265008583268093, w=-0.00518791653213299)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.008888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.08)>	COMP<88>
[1740780330.504749]	Q_Header<(2621443, 49021, 257, 173, 250, 8, 58, 3, 43)>	Q_Data<(0, 0, 56, 0, 63, 0, 0, 44, 0, 0, 76, 102, 114, 0, 114, 141, 251, 219, 90, 95, 194, 253, 238, 200, 73, 36, 40, 59, 61, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 253, 253, 253, 220, 154, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27135855178662677, y=-0.9579945633924637, z=0.09265008583268093, w=-0.00518791653213299)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.008888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.08)>	COMP<88>
[1740780330.5148537]	Q_Header<(2621443, 49022, 257, 173, 250, 8, 58, 4, 48)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 59, 99, 104, 47, 87, 110, 137, 194, 204, 98, 66, 86, 163, 138, 224, 99, 29, 79, 108, 104, 21, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 82, 253, 253, 253, 253, 240, 237, 108, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2716686210452714, y=-0.9578897638024017, z=0.09283486241515566, w=-0.0050049038251431715)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.012222222222222223, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=0.03)>	COMP<90>
[1740780330.5347257]	Q_Header<(2621443, 49023, 257, 173, 250, 8, 58, 5, 56)>	Q_Data<(0, 0, 64, 0, 63, 0, 0, 0, 77, 78, 83, 44, 114, 136, 127, 139, 124, 201, 139, 38, 93, 197, 194, 215, 73, 78, 101, 144, 124, 37, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 102, 253, 253, 253, 236, 208, 253, 161, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2716686210452714, y=-0.9578897638024017, z=0.09283486241515566, w=-0.0050049038251431715)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.012222222222222223, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=0.03)>	COMP<90>
[1740780330.5364177]	Q_Header<(2621443, 49024, 257, 173, 250, 8, 58, 6, 54)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 77, 93, 74, 63, 111, 125, 85, 154, 146, 202, 199, 45, 85, 157, 161, 175, 113, 110, 95, 148, 110, 40, 15, 11, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 98, 253, 253, 253, 253, 253, 253, 206, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2716686210452714, y=-0.9578897638024017, z=0.09283486241515566, w=-0.0050049038251431715)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.012222222222222223, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.06, z=0.03)>	COMP<90>
[1740780330.554615]	Q_Header<(2621443, 49025, 257, 173, 250, 8, 58, 7, 66)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 39, 93, 0, 0, 122, 28, 0, 0, 215, 233, 221, 86, 60, 87, 142, 180, 201, 153, 90, 123, 63, 18, 0, 14, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 50, 34, 0, 76, 246, 253, 243, 253, 253, 253, 200, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 101, 76, 75, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27210148925946853, y=-0.9577264396523825, z=0.09326403669548405, w=-0.0047608605119422494)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.012222222222222223, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.08, z=-0.03)>	COMP<86>
[1740780330.555988]	Q_Header<(2621443, 49026, 257, 173, 250, 8, 58, 8, 75)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 74, 69, 0, 90, 63, 149, 0, 200, 253, 239, 93, 74, 118, 125, 214, 253, 205, 121, 108, 32, 0, 0, 23, 6, 0, 0, 0, 0, 0, 0, 3, 0, 0, 49, 88, 49, 0, 37, 213, 253, 199, 253, 234, 221, 142, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 97, 96, 0, 37, 101, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 121, 141, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27210148925946853, y=-0.9577264396523825, z=0.09326403669548405, w=-0.0047608605119422494)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.012222222222222223, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.08, z=-0.03)>	COMP<86>
[1740780330.5746229]	Q_Header<(2621443, 49027, 257, 173, 250, 8, 58, 9, 76)>	Q_Data<(0, 0, 67, 0, 64, 0, 0, 0, 0, 35, 86, 0, 71, 103, 122, 33, 137, 253, 226, 104, 170, 211, 135, 231, 253, 212, 63, 102, 45, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 31, 66, 19, 0, 0, 162, 253, 253, 212, 143, 146, 58, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 209, 191, 68, 85, 215, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 25, 32, 0, 0, 127, 212, 155, 177, 85, 186, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.27210148925946853, y=-0.9577264396523825, z=0.09326403669548405, w=-0.0047608605119422494)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.012222222222222223, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.08, z=-0.03)>	COMP<86>
[1740780330.5768774]	Q_Header<(2621443, 49028, 257, 173, 250, 8, 58, 10, 98)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 100, 0, 44, 96, 72, 0, 103, 217, 250, 253, 253, 253, 219, 223, 253, 253, 190, 130, 67, 0, 0, 10, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 81, 121, 45, 0, 0, 82, 184, 174, 122, 82, 87, 0, 18, 39, 0, 0, 0, 0, 30, 68, 12, 0, 36, 231, 253, 252, 253, 204, 253, 226, 0, 28, 91, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 20, 0, 0, 0, 0, 91, 65, 89, 0, 0, 156, 191, 127, 115, 210, 253, 220, 31, 0, 0, 0, 0, 0, 0, 0, 37, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2724064828499181, y=-0.9576036991782131, z=0.09363019150611122, w=-0.00482189382593402)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.005555555555555556, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.11, z=-0.08)>	COMP<86>
