[1740780365.4749982]	Q_Header<(2621443, 52518, 257, 173, 250, 8, 58, 0, 85)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 77, 253, 232, 253, 253, 253, 213, 81, 154, 253, 253, 205, 128, 52, 33, 56, 97, 85, 0, 0, 44, 101, 97, 61, 110, 123, 0, 0, 50, 54, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 224, 253, 253, 232, 176, 0, 0, 106, 204, 166, 132, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 85, 54, 45, 88, 105, 0, 21, 0, 108, 152, 65, 0, 114, 62, 186, 253, 253, 253, 253, 195, 227, 253, 253, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10577243890802235, y=-0.9901594208914289, z=0.09088007012928175, w=0.01171858526851719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=-0.027777777777777776, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.1, z=0.06)>	COMP<61>
[1740780365.4851222]	Q_Header<(2621443, 52519, 257, 173, 250, 8, 58, 1, 100)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 64, 64, 0, 27, 0, 0, 96, 98, 253, 238, 253, 253, 253, 253, 110, 179, 248, 253, 253, 158, 0, 70, 126, 147, 117, 25, 26, 49, 73, 100, 96, 163, 169, 43, 0, 72, 93, 47, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 71, 126, 253, 253, 172, 112, 0, 0, 0, 108, 91, 97, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 253, 253, 64, 199, 235, 196, 0, 211, 181, 253, 253, 167, 0, 160, 0, 160, 253, 253, 253, 253, 230, 227, 253, 253, 109, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10674903858088806, y=-0.990037824368545, z=0.09112425077259341, w=0.01123031623721178)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=-0.03777777777777778, z=-0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.09, z=0.01)>	COMP<63>
[1740780365.4950416]	Q_Header<(2621443, 52520, 257, 173, 250, 8, 58, 2, 92)>	Q_Data<(0, 0, 9, 0, 61, 0, 0, 0, 83, 75, 0, 90, 0, 0, 0, 51, 253, 237, 253, 253, 253, 253, 129, 211, 243, 253, 253, 183, 53, 118, 206, 209, 117, 56, 57, 99, 95, 82, 99, 165, 172, 39, 0, 57, 82, 19, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 139, 112, 83, 43, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 156, 234, 253, 253, 74, 253, 253, 253, 253, 209, 98, 184, 0, 73, 253, 253, 253, 253, 216, 151, 253, 253, 44, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10674903858088806, y=-0.990037824368545, z=0.09112425077259341, w=0.01123031623721178)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=-0.03777777777777778, z=-0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.09, z=0.01)>	COMP<63>
[1740780365.5049968]	Q_Header<(2621443, 52521, 257, 173, 250, 8, 58, 3, 84)>	Q_Data<(0, 0, 53, 0, 60, 0, 0, 0, 86, 75, 56, 76, 0, 0, 0, 0, 228, 195, 253, 253, 253, 246, 174, 207, 214, 226, 253, 177, 49, 146, 253, 253, 113, 88, 72, 117, 130, 66, 74, 126, 139, 11, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 221, 253, 253, 246, 64, 253, 253, 253, 253, 196, 163, 167, 51, 0, 187, 78, 253, 192, 245, 81, 230, 250, 0, 0, 0, 0, 0, 0, 48, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10674903858088806, y=-0.990037824368545, z=0.09112425077259341, w=0.01123031623721178)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=-0.03777777777777778, z=-0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.09, z=0.01)>	COMP<63>
[1740780365.5166008]	Q_Header<(2621443, 52522, 257, 173, 250, 8, 58, 4, 73)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 16, 60, 22, 0, 79, 57, 0, 0, 130, 178, 231, 246, 215, 102, 207, 169, 168, 176, 200, 137, 79, 156, 253, 253, 206, 127, 80, 99, 111, 53, 29, 75, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 181, 243, 194, 253, 253, 253, 253, 177, 159, 91, 0, 0, 220, 186, 224, 215, 253, 0, 152, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10766464593847411, y=-0.9899166057120814, z=0.0914295009160058, w=0.010681016462150209)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=-0.04555555555555556, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.05, z=0.06)>	COMP<58>
[1740780365.5248573]	Q_Header<(2621443, 52523, 257, 173, 250, 8, 58, 5, 60)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 97, 88, 0, 0, 123, 189, 196, 194, 94, 180, 246, 124, 147, 146, 114, 76, 159, 253, 253, 253, 253, 149, 76, 63, 61, 15, 0, 41, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 226, 103, 178, 124, 25, 0, 0, 219, 230, 104, 204, 237, 0, 110, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10766464593847411, y=-0.9899166057120814, z=0.0914295009160058, w=0.010681016462150209)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=-0.04555555555555556, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.05, z=0.06)>	COMP<58>
[1740780365.535061]	Q_Header<(2621443, 52524, 257, 173, 250, 8, 58, 6, 61)>	Q_Data<(0, 0, 59, 0, 64, 0, 0, 0, 0, 0, 0, 0, 51, 50, 0, 0, 113, 175, 157, 136, 95, 228, 253, 106, 165, 163, 79, 118, 211, 253, 253, 253, 253, 149, 19, 45, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 205, 253, 253, 248, 253, 0, 178, 182, 129, 43, 0, 0, 188, 194, 49, 160, 158, 0, 135, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10766464593847411, y=-0.9899166057120814, z=0.0914295009160058, w=0.010681016462150209)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=-0.04555555555555556, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.05, z=0.06)>	COMP<58>
[1740780365.5449038]	Q_Header<(2621443, 52525, 257, 173, 250, 8, 58, 7, 60)>	Q_Data<(0, 0, 69, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 137, 103, 71, 96, 208, 244, 97, 172, 183, 152, 179, 225, 253, 253, 180, 209, 141, 94, 70, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 210, 223, 253, 253, 231, 158, 208, 165, 193, 248, 152, 0, 127, 100, 97, 122, 0, 181, 190, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10876267161871336, y=-0.9897891389678309, z=0.09161210443304645, w=0.009765447507853051)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.052222222222222225, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=0.06)>	COMP<58>
[1740780365.55493]	Q_Header<(2621443, 52526, 257, 173, 250, 8, 58, 8, 57)>	Q_Data<(0, 0, 61, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 81, 50, 18, 67, 148, 171, 76, 144, 163, 163, 190, 192, 253, 239, 85, 137, 143, 136, 78, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 73, 253, 253, 253, 253, 253, 253, 253, 249, 253, 253, 150, 253, 253, 228, 132, 70, 0, 187, 128, 0, 253, 253, 253, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10876267161871336, y=-0.9897891389678309, z=0.09161210443304645, w=0.009765447507853051)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.052222222222222225, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=0.06)>	COMP<58>
[1740780365.5648956]	Q_Header<(2621443, 52527, 257, 173, 250, 8, 58, 9, 58)>	Q_Data<(0, 0, 69, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 28, 34, 37, 46, 80, 91, 48, 94, 110, 133, 157, 128, 247, 148, 136, 73, 123, 122, 56, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 253, 253, 247, 253, 253, 253, 253, 253, 253, 253, 138, 253, 253, 225, 252, 156, 78, 252, 216, 58, 253, 253, 253, 222, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10876267161871336, y=-0.9897891389678309, z=0.09161210443304645, w=0.009765447507853051)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.052222222222222225, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=0.06)>	COMP<58>
[1740780365.574959]	Q_Header<(2621443, 52528, 257, 173, 250, 8, 58, 10, 56)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 35, 38, 39, 17, 30, 10, 44, 47, 82, 95, 47, 138, 105, 118, 24, 83, 83, 22, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 217, 253, 94, 253, 253, 253, 253, 253, 253, 253, 146, 253, 253, 141, 253, 231, 253, 253, 246, 0, 253, 253, 253, 253, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.10876267161871336, y=-0.9897891389678309, z=0.09161210443304645, w=0.009765447507853051)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=-0.052222222222222225, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=0.06)>	COMP<58>
