[1740780392.9648924]	Q_Header<(2621443, 55268, 257, 173, 250, 8, 58, 0, 26)>	Q_Data<(0, 0, 0, 79, 66, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 143, 118, 100, 47, 40, 0, 37, 33, 0, 0, 0, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39178040188595703, y=-0.9153953057307344, z=0.09057518560504133, w=-0.01885965791910901)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.07333333333333333, y=-0.03111111111111111, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.1, z=-0.15)>	COMP<107>
[1740780392.9759328]	Q_Header<(2621443, 55269, 257, 173, 250, 8, 58, 1, 26)>	Q_Data<(0, 0, 0, 60, 70, 50, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 91, 201, 163, 127, 75, 50, 0, 19, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3913586618418589, y=-0.915713350532347, z=0.08917264581268806, w=-0.018859923036359076)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06666666666666667, y=-0.02666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.09, z=-0.15)>	COMP<107>
[1740780392.9848866]	Q_Header<(2621443, 55270, 257, 173, 250, 8, 58, 2, 23)>	Q_Data<(0, 0, 33, 66, 53, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 180, 209, 169, 124, 79, 45, 19, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3913586618418589, y=-0.915713350532347, z=0.08917264581268806, w=-0.018859923036359076)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06666666666666667, y=-0.02666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.09, z=-0.15)>	COMP<107>
[1740780392.9961736]	Q_Header<(2621443, 55271, 257, 173, 250, 8, 58, 3, 23)>	Q_Data<(0, 0, 68, 62, 55, 47, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 194, 169, 129, 99, 67, 25, 25, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3913586618418589, y=-0.915713350532347, z=0.08917264581268806, w=-0.018859923036359076)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06666666666666667, y=-0.02666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.09, z=-0.15)>	COMP<107>
[1740780393.004902]	Q_Header<(2621443, 55272, 257, 173, 250, 8, 58, 4, 25)>	Q_Data<(0, 0, 53, 24, 66, 29, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 168, 121, 61, 77, 64, 13, 25, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3913586618418589, y=-0.915713350532347, z=0.08917264581268806, w=-0.018859923036359076)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06666666666666667, y=-0.02666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.09, z=-0.15)>	COMP<107>
[1740780393.014958]	Q_Header<(2621443, 55273, 257, 173, 250, 8, 58, 5, 22)>	Q_Data<(0, 0, 0, 53, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 124, 85, 14, 83, 82, 27, 25, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3910621423972641, y=-0.9159167330752841, z=0.08838114284239713, w=-0.0188603405651248)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=-0.016666666666666666, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.06, z=-0.09)>	COMP<106>
[1740780393.025292]	Q_Header<(2621443, 55274, 257, 173, 250, 8, 58, 6, 32)>	Q_Data<(0, 0, 0, 79, 70, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 61, 43, 87, 93, 17, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3910621423972641, y=-0.9159167330752841, z=0.08838114284239713, w=-0.0188603405651248)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=-0.016666666666666666, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.06, z=-0.09)>	COMP<106>
[1740780393.034996]	Q_Header<(2621443, 55275, 257, 173, 250, 8, 58, 7, 30)>	Q_Data<(0, 0, 0, 79, 49, 0, 87, 61, 0, 0, 0, 0, 0, 0, 0, 0, 55, 50, 41, 110, 115, 47, 34, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3910621423972641, y=-0.9159167330752841, z=0.08838114284239713, w=-0.0188603405651248)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=-0.016666666666666666, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.06, z=-0.09)>	COMP<106>
[1740780393.0450048]	Q_Header<(2621443, 55276, 257, 173, 250, 8, 58, 8, 29)>	Q_Data<(0, 0, 0, 79, 30, 73, 0, 76, 66, 0, 0, 0, 0, 0, 0, 0, 54, 42, 82, 159, 161, 91, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3908629166698633, y=-0.9160620731258553, z=0.08776715711606237, w=-0.018798528784247016)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03888888888888889, y=-0.014444444444444444, z=0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.05, z=-0.05)>	COMP<108>
[1740780393.0549455]	Q_Header<(2621443, 55277, 257, 173, 250, 8, 58, 9, 25)>	Q_Data<(0, 0, 0, 0, 61, 57, 81, 52, 54, 0, 0, 0, 0, 0, 0, 0, 38, 58, 89, 158, 188, 124, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3908629166698633, y=-0.9160620731258553, z=0.08776715711606237, w=-0.018798528784247016)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03888888888888889, y=-0.014444444444444444, z=0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.05, z=-0.05)>	COMP<108>
[1740780393.0648932]	Q_Header<(2621443, 55278, 257, 173, 250, 8, 58, 10, 26)>	Q_Data<(0, 0, 0, 0, 75, 7, 68, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 87, 136, 80, 188, 142, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3908629166698633, y=-0.9160620731258553, z=0.08776715711606237, w=-0.018798528784247016)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03888888888888889, y=-0.014444444444444444, z=0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.05, z=-0.05)>	COMP<108>
