[1740780397.964919]	Q_Header<(2621443, 55768, 257, 173, 250, 8, 58, 0, 26)>	Q_Data<(0, 0, 52, 65, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 168, 147, 50, 57, 35, 0, 13, 0, 0, 0, 0, 0, 4, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3554178802661554, y=-0.9299582386630849, z=0.09314231243107558, w=-0.013428118436983372)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.014444444444444444, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=0.01, z=-0.03)>	COMP<101>
[1740780397.975045]	Q_Header<(2621443, 55769, 257, 173, 250, 8, 58, 1, 23)>	Q_Data<(0, 0, 60, 62, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 120, 60, 46, 11, 26, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35577929692895777, y=-0.9298236077227213, z=0.09308001849659643, w=-0.01361104532769902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.015555555555555555, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=0.09)>	COMP<97>
[1740780397.9850008]	Q_Header<(2621443, 55770, 257, 173, 250, 8, 58, 2, 40)>	Q_Data<(0, 0, 0, 0, 68, 0, 53, 32, 0, 0, 0, 0, 89, 0, 0, 0, 91, 64, 11, 63, 62, 14, 0, 6, 0, 0, 0, 0, 4, 16, 0, 0, 11, 0, 0, 0, 10, 23, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35577929692895777, y=-0.9298236077227213, z=0.09308001849659643, w=-0.01361104532769902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.015555555555555555, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=0.09)>	COMP<97>
[1740780397.9950006]	Q_Header<(2621443, 55771, 257, 173, 250, 8, 58, 3, 45)>	Q_Data<(0, 0, 0, 77, 64, 56, 68, 0, 0, 0, 0, 0, 83, 78, 0, 0, 44, 19, 26, 74, 81, 40, 8, 0, 0, 0, 0, 0, 4, 5, 0, 28, 40, 0, 0, 0, 0, 44, 0, 24, 0, 0, 10, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35577929692895777, y=-0.9298236077227213, z=0.09308001849659643, w=-0.01361104532769902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.015555555555555555, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=0.09)>	COMP<97>
[1740780398.0050642]	Q_Header<(2621443, 55772, 257, 173, 250, 8, 58, 4, 42)>	Q_Data<(0, 0, 0, 79, 80, 8, 0, 0, 0, 0, 0, 0, 83, 55, 0, 0, 26, 13, 48, 63, 40, 69, 21, 0, 0, 0, 0, 0, 0, 0, 0, 31, 42, 0, 0, 20, 0, 32, 0, 21, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35577929692895777, y=-0.9298236077227213, z=0.09308001849659643, w=-0.01361104532769902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.015555555555555555, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=0.02, z=0.09)>	COMP<97>
[1740780398.0151074]	Q_Header<(2621443, 55773, 257, 173, 250, 8, 58, 5, 45)>	Q_Data<(0, 0, 0, 79, 73, 11, 27, 0, 0, 0, 0, 0, 25, 0, 0, 0, 27, 44, 99, 136, 85, 90, 33, 27, 0, 0, 0, 0, 0, 0, 0, 16, 38, 0, 0, 20, 0, 6, 14, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35614063755864356, y=-0.9296888074195817, z=0.09301770893562517, w=-0.01379396471092604)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.017777777777777778, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.0, z=0.08)>	COMP<99>
[1740780398.0251]	Q_Header<(2621443, 55774, 257, 173, 250, 8, 58, 6, 36)>	Q_Data<(0, 0, 0, 63, 61, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 65, 134, 188, 122, 85, 58, 28, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 13, 0, 0, 4, 11, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35614063755864356, y=-0.9296888074195817, z=0.09301770893562517, w=-0.01379396471092604)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.017777777777777778, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.0, z=0.08)>	COMP<99>
[1740780398.0349748]	Q_Header<(2621443, 55775, 257, 173, 250, 8, 58, 7, 33)>	Q_Data<(0, 0, 0, 40, 76, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 58, 143, 207, 152, 125, 74, 0, 15, 0, 9, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35614063755864356, y=-0.9296888074195817, z=0.09301770893562517, w=-0.01379396471092604)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.017777777777777778, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.0, z=0.08)>	COMP<99>
[1740780398.045029]	Q_Header<(2621443, 55776, 257, 173, 250, 8, 58, 8, 32)>	Q_Data<(0, 0, 0, 44, 65, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 44, 87, 177, 172, 136, 147, 85, 0, 16, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 114, 55, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35663039884493286, y=-0.9295095574207568, z=0.09289602379633541, w=-0.014038163911404168)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.015555555555555555, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.03, z=0.01)>	COMP<99>
[1740780398.0549488]	Q_Header<(2621443, 55777, 257, 173, 250, 8, 58, 9, 27)>	Q_Data<(0, 0, 0, 35, 0, 61, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 56, 112, 175, 126, 202, 118, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35663039884493286, y=-0.9295095574207568, z=0.09289602379633541, w=-0.014038163911404168)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.015555555555555555, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.03, z=0.01)>	COMP<99>
[1740780398.0649567]	Q_Header<(2621443, 55778, 257, 173, 250, 8, 58, 10, 32)>	Q_Data<(0, 0, 0, 79, 74, 67, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 60, 106, 154, 225, 205, 48, 62, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 102, 137, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35663039884493286, y=-0.9295095574207568, z=0.09289602379633541, w=-0.014038163911404168)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.015555555555555555, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.03, z=0.01)>	COMP<99>
