[1740780437.9652815]	Q_Header<(2621443, 59768, 257, 173, 250, 8, 58, 0, 25)>	Q_Data<(0, 0, 46, 0, 66, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 15, 22, 9, 0, 0, 22, 24, 51, 85, 64, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.712952735819205, y=-0.6959239015333084, z=0.07073985282205793, w=-0.048828198669237564)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.006666666666666667, z=-0.08333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.04, z=0.0)>	COMP<169>
[1740780437.9753907]	Q_Header<(2621443, 59769, 257, 173, 250, 8, 58, 1, 26)>	Q_Data<(0, 0, 70, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 0, 0, 0, 0, 0, 4, 9, 72, 106, 67, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7137437691250845, y=-0.6950670465876914, z=0.07122789281417596, w=-0.048766997736526645)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.011111111111111112, z=-0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.06, z=0.0)>	COMP<169>
[1740780437.985213]	Q_Header<(2621443, 59770, 257, 173, 250, 8, 58, 2, 21)>	Q_Data<(0, 0, 31, 77, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 66, 100, 53, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7137437691250845, y=-0.6950670465876914, z=0.07122789281417596, w=-0.048766997736526645)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.011111111111111112, z=-0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.06, z=0.0)>	COMP<169>
[1740780437.9952242]	Q_Header<(2621443, 59771, 257, 173, 250, 8, 58, 3, 23)>	Q_Data<(0, 0, 0, 79, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 14, 15, 0, 8, 0, 32, 71, 69, 34, 63, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7137437691250845, y=-0.6950670465876914, z=0.07122789281417596, w=-0.048766997736526645)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.011111111111111112, z=-0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.06, z=0.0)>	COMP<169>
[1740780438.0052383]	Q_Header<(2621443, 59772, 257, 173, 250, 8, 58, 4, 23)>	Q_Data<(0, 0, 0, 44, 36, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 27, 30, 0, 16, 3, 66, 124, 113, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7137437691250845, y=-0.6950670465876914, z=0.07122789281417596, w=-0.048766997736526645)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.011111111111111112, z=-0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.06, z=0.0)>	COMP<169>
[1740780438.0153468]	Q_Header<(2621443, 59773, 257, 173, 250, 8, 58, 5, 22)>	Q_Data<(0, 0, 57, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 36, 37, 6, 18, 26, 102, 155, 136, 33, 12, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7145231385718085, y=-0.6941988706001324, z=0.07183682703502337, w=-0.04882707020222489)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03111111111111111, y=0.008888888888888889, z=-0.07777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.13, z=-0.09)>	COMP<174>
[1740780438.0252583]	Q_Header<(2621443, 59774, 257, 173, 250, 8, 58, 6, 28)>	Q_Data<(0, 0, 62, 63, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 43, 47, 5, 6, 40, 120, 160, 127, 46, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7145231385718085, y=-0.6941988706001324, z=0.07183682703502337, w=-0.04882707020222489)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03111111111111111, y=0.008888888888888889, z=-0.07777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.13, z=-0.09)>	COMP<174>
[1740780438.035245]	Q_Header<(2621443, 59775, 257, 173, 250, 8, 58, 7, 23)>	Q_Data<(0, 0, 59, 65, 70, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44, 52, 12, 0, 39, 120, 146, 89, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7145231385718085, y=-0.6941988706001324, z=0.07183682703502337, w=-0.04882707020222489)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03111111111111111, y=0.008888888888888889, z=-0.07777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.13, z=-0.09)>	COMP<174>
[1740780438.0453284]	Q_Header<(2621443, 59776, 257, 173, 250, 8, 58, 8, 22)>	Q_Data<(0, 0, 52, 64, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 42, 51, 16, 0, 32, 109, 137, 65, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7153314103478705, y=-0.6932977380666776, z=0.07232659737732308, w=-0.049072223030690094)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03222222222222222, y=0.005555555555555556, z=-0.08)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.15, z=0.1)>	COMP<168>
[1740780438.055282]	Q_Header<(2621443, 59777, 257, 173, 250, 8, 58, 9, 26)>	Q_Data<(0, 0, 57, 71, 74, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 44, 50, 27, 2, 27, 101, 139, 95, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7153314103478705, y=-0.6932977380666776, z=0.07232659737732308, w=-0.049072223030690094)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03222222222222222, y=0.005555555555555556, z=-0.08)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.15, z=0.1)>	COMP<168>
[1740780438.0652804]	Q_Header<(2621443, 59778, 257, 173, 250, 8, 58, 10, 25)>	Q_Data<(0, 0, 62, 79, 19, 54, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 22, 46, 52, 36, 9, 17, 87, 131, 97, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7153314103478705, y=-0.6932977380666776, z=0.07232659737732308, w=-0.049072223030690094)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03222222222222222, y=0.005555555555555556, z=-0.08)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.15, z=0.1)>	COMP<168>
