[1740780447.965278]	Q_Header<(2621443, 60768, 257, 173, 250, 8, 58, 0, 22)>	Q_Data<(0, 0, 63, 62, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 0, 0, 0, 0, 14, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7663610747506174, y=-0.6358672886868376, z=0.07116733140802962, w=-0.05743435579327262)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.042222222222222223, y=0.0022222222222222222, z=0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.12, z=0.04)>	COMP<169>
[1740780447.9754066]	Q_Header<(2621443, 60769, 257, 173, 250, 8, 58, 1, 21)>	Q_Data<(0, 0, 58, 65, 83, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7662152085093683, y=-0.6361527097573002, z=0.07067685291172922, w=-0.056822236667374695)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05444444444444444, y=0.0, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=0.07)>	COMP<172>
[1740780447.9861727]	Q_Header<(2621443, 60770, 257, 173, 250, 8, 58, 2, 18)>	Q_Data<(0, 0, 24, 79, 79, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7662152085093683, y=-0.6361527097573002, z=0.07067685291172922, w=-0.056822236667374695)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05444444444444444, y=0.0, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=0.07)>	COMP<172>
[1740780447.9953346]	Q_Header<(2621443, 60771, 257, 173, 250, 8, 58, 3, 22)>	Q_Data<(0, 0, 0, 44, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 19, 14, 5, 0, 0, 0, 0, 0, 13, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7662152085093683, y=-0.6361527097573002, z=0.07067685291172922, w=-0.056822236667374695)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05444444444444444, y=0.0, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=0.07)>	COMP<172>
[1740780448.005292]	Q_Header<(2621443, 60772, 257, 173, 250, 8, 58, 4, 23)>	Q_Data<(0, 0, 0, 0, 70, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 40, 24, 13, 0, 0, 0, 0, 0, 4, 32, 45, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7662152085093683, y=-0.6361527097573002, z=0.07067685291172922, w=-0.056822236667374695)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05444444444444444, y=0.0, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=0.07)>	COMP<172>
[1740780448.0153913]	Q_Header<(2621443, 60773, 257, 173, 250, 8, 58, 5, 24)>	Q_Data<(0, 0, 72, 0, 81, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 23, 17, 6, 0, 0, 0, 0, 42, 52, 62, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7660501428761324, y=-0.6364728619163659, z=0.07006816700038243, w=-0.056213224570864306)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06, y=-0.0022222222222222222, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.12, z=0.02)>	COMP<172>
[1740780448.0252903]	Q_Header<(2621443, 60774, 257, 173, 250, 8, 58, 6, 24)>	Q_Data<(0, 0, 53, 0, 60, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 14, 15, 0, 0, 0, 0, 59, 78, 54, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7660501428761324, y=-0.6364728619163659, z=0.07006816700038243, w=-0.056213224570864306)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06, y=-0.0022222222222222222, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.12, z=0.02)>	COMP<172>
[1740780448.0353098]	Q_Header<(2621443, 60775, 257, 173, 250, 8, 58, 7, 25)>	Q_Data<(0, 0, 49, 57, 60, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 14, 0, 0, 0, 0, 9, 13, 19, 40, 85, 25, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7660501428761324, y=-0.6364728619163659, z=0.07006816700038243, w=-0.056213224570864306)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06, y=-0.0022222222222222222, z=0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.12, z=0.02)>	COMP<172>
[1740780448.0453684]	Q_Header<(2621443, 60776, 257, 173, 250, 8, 58, 8, 22)>	Q_Data<(0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 0, 0, 0, 8, 27, 71, 57, 25, 59, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.765737528443061, y=-0.6370159879132973, z=0.06927403911867322, w=-0.05529716250354003)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06444444444444444, y=-0.006666666666666667, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.16, z=-0.13)>	COMP<166>
[1740780448.0552952]	Q_Header<(2621443, 60777, 257, 173, 250, 8, 58, 9, 22)>	Q_Data<(0, 0, 0, 64, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 34, 46, 63, 118, 100, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.765737528443061, y=-0.6370159879132973, z=0.06927403911867322, w=-0.05529716250354003)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06444444444444444, y=-0.006666666666666667, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.16, z=-0.13)>	COMP<166>
[1740780448.0653012]	Q_Header<(2621443, 60778, 257, 173, 250, 8, 58, 10, 22)>	Q_Data<(0, 0, 44, 27, 83, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 14, 56, 75, 93, 144, 114, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.765737528443061, y=-0.6370159879132973, z=0.06927403911867322, w=-0.05529716250354003)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06444444444444444, y=-0.006666666666666667, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.16, z=-0.13)>	COMP<166>
