[1740780470.465424]	Q_Header<(2621443, 63018, 257, 173, 250, 8, 58, 0, 23)>	Q_Data<(0, 0, 54, 0, 61, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 40, 40, 14, 31, 31, 63, 133, 127, 20, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6948335747900043, y=-0.7134495481131728, z=0.07965195143191808, w=-0.043030364566668394)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04555555555555556, y=0.051111111111111114, z=0.12555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.08, z=-0.02)>	COMP<141>
[1740780470.4753716]	Q_Header<(2621443, 63019, 257, 173, 250, 8, 58, 1, 22)>	Q_Data<(0, 0, 0, 56, 60, 61, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 42, 39, 19, 40, 28, 94, 152, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6929574045154699, y=-0.715113974394719, z=0.08105764407615115, w=-0.043031354724161565)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=0.06222222222222222, z=0.12666666666666668)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.09, z=-0.09)>	COMP<141>
[1740780470.4854417]	Q_Header<(2621443, 63020, 257, 173, 250, 8, 58, 2, 20)>	Q_Data<(0, 0, 0, 73, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 42, 36, 22, 30, 0, 104, 133, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6929574045154699, y=-0.715113974394719, z=0.08105764407615115, w=-0.043031354724161565)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=0.06222222222222222, z=0.12666666666666668)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.09, z=-0.09)>	COMP<141>
[1740780470.495496]	Q_Header<(2621443, 63021, 257, 173, 250, 8, 58, 3, 25)>	Q_Data<(0, 0, 0, 0, 35, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 36, 39, 20, 0, 25, 86, 81, 27, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6929574045154699, y=-0.715113974394719, z=0.08105764407615115, w=-0.043031354724161565)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=0.06222222222222222, z=0.12666666666666668)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.09, z=-0.09)>	COMP<141>
[1740780470.5054896]	Q_Header<(2621443, 63022, 257, 173, 250, 8, 58, 4, 21)>	Q_Data<(0, 0, 0, 0, 7, 20, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 42, 43, 17, 0, 14, 41, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6929574045154699, y=-0.715113974394719, z=0.08105764407615115, w=-0.043031354724161565)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=0.06222222222222222, z=0.12666666666666668)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.09, z=-0.09)>	COMP<141>
[1740780470.5155327]	Q_Header<(2621443, 63023, 257, 173, 250, 8, 58, 5, 24)>	Q_Data<(0, 0, 55, 18, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 46, 44, 19, 0, 0, 0, 38, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6914635977614636, y=-0.7164268435452431, z=0.08221391704340113, w=-0.043029555690866965)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05, y=0.06777777777777778, z=0.13111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.03, z=0.07)>	COMP<139>
[1740780470.525502]	Q_Header<(2621443, 63024, 257, 173, 250, 8, 58, 6, 24)>	Q_Data<(0, 0, 62, 58, 6, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 48, 49, 23, 0, 0, 0, 11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6914635977614636, y=-0.7164268435452431, z=0.08221391704340113, w=-0.043029555690866965)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05, y=0.06777777777777778, z=0.13111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.03, z=0.07)>	COMP<139>
[1740780470.5356529]	Q_Header<(2621443, 63025, 257, 173, 250, 8, 58, 7, 27)>	Q_Data<(0, 0, 0, 79, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 51, 27, 0, 0, 0, 0, 16, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6914635977614636, y=-0.7164268435452431, z=0.08221391704340113, w=-0.043029555690866965)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05, y=0.06777777777777778, z=0.13111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.03, z=0.07)>	COMP<139>
[1740780470.5454385]	Q_Header<(2621443, 63026, 257, 173, 250, 8, 58, 8, 17)>	Q_Data<(0, 0, 0, 39, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 50, 46, 20, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6899396058095124, y=-0.7177715644302783, z=0.0833127708713716, w=-0.04296863787065612)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.043333333333333335, y=0.07222222222222222, z=0.13666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.03, z=0.09)>	COMP<135>
[1740780470.555506]	Q_Header<(2621443, 63027, 257, 173, 250, 8, 58, 9, 18)>	Q_Data<(0, 0, 0, 76, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 53, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6899396058095124, y=-0.7177715644302783, z=0.0833127708713716, w=-0.04296863787065612)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.043333333333333335, y=0.07222222222222222, z=0.13666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.03, z=0.09)>	COMP<135>
[1740780470.5654154]	Q_Header<(2621443, 63028, 257, 173, 250, 8, 58, 10, 14)>	Q_Data<(0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 50, 41, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6899396058095124, y=-0.7177715644302783, z=0.0833127708713716, w=-0.04296863787065612)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.043333333333333335, y=0.07222222222222222, z=0.13666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.03, z=0.09)>	COMP<135>
